radius,mean_patchiness,mean_phi,num_points
2,0.592387,10.77104,44
3,0.6177717,8.458032,394
4,0.5914153,9.055708,823
5,0.5685515,10.97735,1401
6,0.5324603,9.026361,2311
7,0.5161988,7.932972,3739
8,0.5314826,8.850555,5171
9,0.5527426,9.306291,6732
10,0.5800304,9.447937,8372
11,0.5916973,9.397415,9931
12,0.5874829,8.851552,11505
13,0.5826027,9.044535,13195
14,0.5831631,9.443129,14818
15,0.5818327,9.488511,16570
16,0.5775608,9.360734,18521
17,0.5752182,9.443562,21043
18,0.5742003,9.772538,23858
19,0.5703637,10.10235,27086
20,0.5741836,9.948318,30154
21,0.5791487,9.831263,33475
22,0.5800711,9.666076,36550
23,0.5747087,9.449404,40023
24,0.565981,9.012586,43450
25,0.5596142,8.804852,47539
26,0.5501353,8.634321,52329
27,0.5419278,8.495256,57588
28,0.5308529,8.091259,63472
29,0.5237664,7.633227,69733
30,0.5151461,7.080769,77050
31,0.5063887,6.715757,84364
32,0.5017726,6.440486,90940
33,0.4995385,6.208135,97606
34,0.5004081,6.073251,103248
35,0.5023113,5.938374,107899
36,0.5029318,5.78115,111568
37,0.500946,5.713754,114922
38,0.499242,5.5874,118174
39,0.4994003,5.552626,121367
40,0.498347,5.585166,124855
41,0.496122,5.618642,129369
42,0.4948712,5.652349,133534
43,0.4938567,5.652788,136746
44,0.4926517,5.631215,139954
45,0.4922455,5.623167,143108
46,0.490852,5.629533,146364
47,0.4865884,5.597869,149855
48,0.4833984,5.53094,152969
49,0.4830338,5.512533,154800
50,0.4837704,5.404209,156315
51,0.4846455,5.313227,157154
52,0.4842214,5.317449,157359
53,0.4839583,5.318211,157477
