patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-10.44864,6.628389,-2.041792,-16.41987,4.164869
-10.44864,6.628389,-2.041792,-16.41987,12.26411
-10.44864,6.628389,-2.041792,-16.41987,17.65944
-10.44864,6.628389,-2.041792,-16.41987,5.57228
-10.44864,6.628389,-2.041792,-16.41987,10.84562
-10.44864,6.628389,-2.041792,-16.41987,9.350722
-10.44864,6.628389,-2.041792,-16.41987,9.985731
-10.44864,6.628389,-2.041792,-16.41987,7.951038
-10.44864,6.628389,-2.041792,-16.41987,2.69687
-10.44864,6.628389,-2.041792,-16.41987,5.30928
-10.44864,6.628389,-2.041792,-16.41987,9.96023
-10.44864,6.628389,-2.041792,-16.41987,9.642136
-10.44864,6.628389,-2.041792,-16.41987,15.69413
-10.44864,6.628389,-2.041792,-16.41987,4.27676
-10.44864,6.628389,-2.041792,-16.41987,13.76525
-10.44864,6.628389,-2.041792,-16.41987,5.445848
-10.44864,6.628389,-2.041792,-16.41987,7.676579
-10.44864,6.628389,-2.041792,-16.41987,8.202796
-10.44864,6.628389,-2.041792,-16.41987,12.49422
-10.44864,6.628389,-2.041792,-16.41987,1.008074
-10.44864,6.628389,-2.041792,-16.41987,5.579454
-10.44864,6.628389,-2.041792,-16.41987,8.634263
-10.44864,6.628389,-2.041792,-16.41987,5.894985
-10.44864,6.628389,-2.041792,-16.41987,8.555176
-10.44864,6.628389,-2.041792,-16.41987,10.1512
-10.44864,6.628389,-2.041792,-16.41987,6.653479
-10.44864,6.628389,-2.041792,-16.41987,4.227867
-10.44864,6.628389,-2.041792,-16.41987,3.585271
-10.44864,6.628389,-2.041792,-16.41987,6.46595
-10.44864,6.628389,-2.041792,-16.41987,10.23602
-10.44864,6.628389,-2.041792,-16.41987,13.58017
-10.44864,6.628389,-2.041792,-16.41987,12.76088
-10.44864,6.628389,-2.041792,-16.41987,1.824089
-10.44864,6.628389,-2.041792,-16.41987,5.495123
