patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
2.686167,-49.20641,6.303535,-13.87289,47.66203
2.686167,-49.20641,6.303535,-13.87289,49.61139
2.686167,-49.20641,6.303535,-13.87289,45.11397
2.686167,-49.20641,6.303535,-13.87289,50.01525
2.686167,-49.20641,6.303535,-13.87289,48.17236
2.686167,-49.20641,6.303535,-13.87289,59.28439
2.686167,-49.20641,6.303535,-13.87289,46.51572
2.686167,-49.20641,6.303535,-13.87289,50.88664
2.686167,-49.20641,6.303535,-13.87289,51.371
2.686167,-49.20641,6.303535,-13.87289,47.79099
2.686167,-49.20641,6.303535,-13.87289,50.9976
2.686167,-49.20641,6.303535,-13.87289,49.70962
2.686167,-49.20641,6.303535,-13.87289,45.03207
2.686167,-49.20641,6.303535,-13.87289,44.41996
2.686167,-49.20641,6.303535,-13.87289,45.4952
2.686167,-49.20641,6.303535,-13.87289,48.62475
2.686167,-49.20641,6.303535,-13.87289,40.78553
2.686167,-49.20641,6.303535,-13.87289,45.58344
2.686167,-49.20641,6.303535,-13.87289,48.69161
2.686167,-49.20641,6.303535,-13.87289,48.51253
2.686167,-49.20641,6.303535,-13.87289,48.45142
2.686167,-49.20641,6.303535,-13.87289,42.79826
2.686167,-49.20641,6.303535,-13.87289,46.2651
2.686167,-49.20641,6.303535,-13.87289,39.88261
2.686167,-49.20641,6.303535,-13.87289,51.85152
2.686167,-49.20641,6.303535,-13.87289,39.08553
2.686167,-49.20641,6.303535,-13.87289,46.38823
2.686167,-49.20641,6.303535,-13.87289,50.38359
2.686167,-49.20641,6.303535,-13.87289,47.38306
2.686167,-49.20641,6.303535,-13.87289,53.86762
2.686167,-49.20641,6.303535,-13.87289,48.49219
2.686167,-49.20641,6.303535,-13.87289,44.2672
2.686167,-49.20641,6.303535,-13.87289,53.78874
2.686167,-49.20641,6.303535,-13.87289,46.33359
2.686167,-49.20641,6.303535,-13.87289,50.01859
2.686167,-49.20641,6.303535,-13.87289,43.44635
2.686167,-49.20641,6.303535,-13.87289,48.13585
2.686167,-49.20641,6.303535,-13.87289,51.56914
2.686167,-49.20641,6.303535,-13.87289,42.53008
2.686167,-49.20641,6.303535,-13.87289,49.75032
2.686167,-49.20641,6.303535,-13.87289,49.82749
2.686167,-49.20641,6.303535,-13.87289,44.73359
2.686167,-49.20641,6.303535,-13.87289,42.57694
2.686167,-49.20641,6.303535,-13.87289,59.40448
2.686167,-49.20641,6.303535,-13.87289,42.97789
2.686167,-49.20641,6.303535,-13.87289,49.46923
