radius,mean_patchiness,mean_phi,num_points
2,0.3368455,5.440165,120
3,0.3780456,0.5752592,406
4,0.4276711,-1.161075,811
5,0.396129,-0.1154229,1266
6,0.3774213,1.315788,1843
7,0.3345631,1.814192,2595
8,0.3189476,1.982855,3871
9,0.317298,2.677561,5332
10,0.3279176,2.40898,6665
11,0.3372397,2.789389,8117
12,0.3600054,3.44401,9899
13,0.3971577,3.714452,11961
14,0.4344984,3.598118,14327
15,0.4609101,3.670816,16562
16,0.4834676,3.697057,18889
17,0.5015087,3.40991,21275
18,0.5086479,3.285781,23748
19,0.5134811,3.2867,26578
20,0.5149526,3.243532,29736
21,0.5146221,2.929035,33248
22,0.5144127,2.487008,37703
23,0.5123164,2.138082,41942
24,0.51207,1.795456,46623
25,0.5121139,1.383896,51998
26,0.5124765,1.053271,57508
27,0.5141982,0.8195155,63027
28,0.5123029,0.7713295,68300
29,0.5065761,0.6718351,73448
30,0.5001273,0.6613456,78720
31,0.4941989,0.6760506,84686
32,0.4870352,0.7503118,91508
33,0.4824754,0.9282774,98042
34,0.4801059,1.045365,104340
35,0.4789557,1.223263,111047
36,0.476092,1.232466,117201
37,0.4752941,1.230286,122802
38,0.475276,1.174428,128351
39,0.4763043,1.274191,134525
40,0.4771491,1.317906,142170
41,0.4773278,1.432627,150149
42,0.4762063,1.519601,157534
43,0.4735543,1.611918,164798
44,0.4702691,1.596377,171942
45,0.4685951,1.47441,180044
46,0.4653991,1.401865,187700
47,0.4602374,1.441397,194793
48,0.4561044,1.525139,200703
49,0.4553292,1.56923,206575
50,0.4545757,1.535146,210509
51,0.4530611,1.521004,213411
52,0.4521828,1.511213,215765
53,0.451941,1.512074,218109
54,0.4524901,1.546173,219971
55,0.4526521,1.580353,221657
56,0.4523087,1.605675,222967
57,0.4521607,1.595263,224226
58,0.4513544,1.579433,225576
59,0.4500851,1.575055,227000
60,0.448869,1.574244,228120
61,0.448823,1.570436,228924
62,0.4493465,1.571793,229578
63,0.4499227,1.59413,230093
64,0.4502669,1.621457,230367
65,0.4503955,1.63563,230606
