surface_dist,mean_patchiness,mean_phi,num_points
2,0.3658268,6.749895,130
3,0.3255971,6.163704,293
4,0.2768931,3.264142,517
5,0.318098,2.539321,808
6,0.385632,3.549112,1202
7,0.411478,4.164527,1670
8,0.4335628,5.099359,2254
9,0.4695538,5.446989,2885
10,0.4903605,5.271204,3585
11,0.4869304,4.637969,4346
12,0.4760734,4.499981,5179
13,0.4695577,4.697951,6072
14,0.4689604,5.15896,7089
15,0.4617752,5.133855,8234
16,0.4550412,5.082427,9522
17,0.4516053,5.124133,10885
18,0.4506162,5.229377,12340
19,0.4596938,5.326118,13804
20,0.4704944,5.385112,15351
21,0.4784778,5.722874,16917
22,0.4831137,5.958714,18417
23,0.4876077,5.925882,19982
24,0.4926655,5.925755,21774
25,0.4958624,5.988454,23702
26,0.4996387,5.969758,25647
27,0.5051976,5.899213,27494
28,0.5097139,5.798112,29285
29,0.5128385,5.945277,31092
30,0.5147483,6.205351,32891
31,0.512814,6.15027,34535
32,0.5092367,6.092278,35973
33,0.5025288,6.03579,37330
34,0.4958361,6.034556,38587
35,0.4894733,5.95143,39696
36,0.4855706,5.769958,40689
37,0.4830592,5.628809,41605
38,0.4816437,5.520931,42422
39,0.481636,5.350765,43193
40,0.4825977,5.190044,43971
41,0.4825997,5.103342,44757
42,0.4801494,5.120465,45509
43,0.4791761,5.067171,46042
44,0.4796394,4.990026,46466
45,0.4798436,4.900747,46810
46,0.4789152,4.832563,47127
47,0.4776828,4.775624,47475
48,0.4770905,4.735774,47843
49,0.4768914,4.732335,48234
50,0.4770721,4.767769,48669
51,0.4781159,4.801763,49052
52,0.4785623,4.752936,49378
53,0.4784922,4.653133,49720
54,0.4776451,4.586591,50085
55,0.4764816,4.556218,50436
56,0.4756201,4.513725,50766
57,0.4745434,4.449846,51167
58,0.472066,4.374828,51676
59,0.4688276,4.355373,52255
60,0.4652556,4.305479,52850
61,0.4631741,4.271312,53378
62,0.4624601,4.286304,53853
63,0.4617614,4.278647,54352
64,0.4613813,4.271479,54893
65,0.4609151,4.30291,55417
66,0.460829,4.379588,55922
67,0.4603388,4.415929,56424
68,0.4584705,4.406573,56956
69,0.4556251,4.373399,57570
70,0.4533535,4.336922,58300
71,0.4510093,4.320263,59150
72,0.4483623,4.30241,60041
73,0.4460717,4.327304,60982
74,0.4447473,4.341032,62016
75,0.4452455,4.379306,63156
76,0.4481032,4.363465,64378
77,0.4511615,4.317093,65666
78,0.4521195,4.274084,66989
79,0.4522185,4.247691,68385
80,0.4520442,4.166784,69791
81,0.4506543,4.047444,71127
82,0.4483513,3.875483,72509
83,0.4455849,3.813468,73954
84,0.4429582,3.739609,75326
85,0.4404806,3.642709,76838
86,0.4385865,3.534103,78395
87,0.4393435,3.420247,79915
88,0.4408769,3.339278,81435
89,0.4420855,3.294613,82909
90,0.4434038,3.224991,84429
91,0.4442444,3.144292,85829
92,0.4450473,3.083993,87116
93,0.4446656,3.091542,88344
94,0.4441123,3.080087,89571
95,0.4434811,3.094965,90757
96,0.4419835,3.11418,91902
97,0.4410397,3.121903,93001
98,0.4407799,3.160809,94116
99,0.4411828,3.191953,95200
100,0.4423911,3.237146,96175
101,0.4437613,3.258829,96980
102,0.4452677,3.274144,97670
103,0.4462061,3.287457,98179
104,0.44635,3.288013,98278
