surface_dist,mean_patchiness,mean_phi,num_points
2,0.8102968,38.23653,171
3,0.67626,37.14888,376
4,0.5427016,30.11178,675
5,0.4602916,20.03095,1040
6,0.4154876,11.85628,1548
7,0.3869225,7.175093,2113
8,0.384856,4.616188,2572
9,0.3991255,2.71271,3086
10,0.4056567,1.465462,3620
11,0.3981604,0.7914897,4152
12,0.3758929,0.6935359,4747
13,0.3485251,0.7895429,5389
14,0.3214485,0.7513355,6075
15,0.3051457,0.4921171,6806
16,0.3087161,-0.07067041,7494
17,0.317596,-0.8882372,8313
18,0.3246677,-1.583765,9202
19,0.3196862,-1.743554,9921
20,0.3069768,-1.627346,10471
21,0.2972306,-1.640626,11071
22,0.2904191,-1.700296,11698
23,0.283745,-1.701336,12378
24,0.2782757,-1.713795,13074
25,0.2786235,-1.831499,13744
26,0.2852272,-2.030749,14461
27,0.2947359,-2.316451,15153
28,0.2982374,-2.456582,15758
29,0.2979268,-2.563355,16303
30,0.2981744,-2.712237,16785
31,0.2979753,-2.813435,17281
32,0.2955954,-2.742053,17770
33,0.2927053,-2.596944,18334
34,0.2892932,-2.499022,18969
35,0.2875847,-2.363392,19715
36,0.287542,-2.143987,20569
37,0.2854103,-1.883956,21380
38,0.2828851,-1.714865,22022
39,0.2815606,-1.671918,22716
40,0.2834266,-1.721387,23496
41,0.289839,-1.783317,24287
42,0.2959475,-1.657427,25037
43,0.3009967,-1.331494,25700
44,0.301924,-1.142257,26209
45,0.3017721,-1.167845,26689
46,0.3046576,-1.201351,27236
47,0.3085911,-1.194523,27862
48,0.3105513,-1.176522,28556
49,0.3091439,-1.119729,29191
50,0.3063115,-1.049991,29834
51,0.3031292,-1.039069,30538
52,0.3009542,-1.090999,31337
53,0.3009433,-1.140565,32224
54,0.301681,-1.184253,33153
55,0.304407,-1.286757,34114
56,0.3073222,-1.395293,35045
57,0.3105507,-1.529109,35987
58,0.3158214,-1.611164,36902
59,0.3194425,-1.657808,37648
60,0.3210341,-1.744367,38270
61,0.3204957,-1.736228,38652
62,0.3212945,-1.666441,39032
63,0.322311,-1.613048,39465
64,0.3223402,-1.622317,39976
65,0.3222588,-1.651124,40502
66,0.3219042,-1.654723,41075
67,0.3206131,-1.599501,41593
68,0.3203202,-1.521562,42084
69,0.3216057,-1.411245,42585
70,0.3228074,-1.326135,43046
71,0.3234621,-1.288432,43441
72,0.3235701,-1.256398,43797
73,0.3233596,-1.273151,44163
74,0.3240616,-1.259692,44515
75,0.3237889,-1.195108,44864
76,0.322634,-1.167532,45174
77,0.3223777,-1.140505,45460
78,0.3223327,-1.100333,45843
79,0.322229,-1.051959,46273
80,0.3228207,-0.9724521,46701
81,0.323758,-0.8882393,47166
82,0.3240984,-0.8345256,47625
83,0.3251341,-0.7732794,48119
84,0.3262807,-0.7461035,48650
85,0.3285857,-0.7256336,49135
86,0.332586,-0.7272062,49628
87,0.3360954,-0.771042,50131
88,0.3383649,-0.8891755,50612
89,0.339053,-0.9290615,50866
90,0.3387761,-0.8725519,50967
91,0.3387969,-0.8568845,50989
