patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
37.66497,7.592336,25.181,16.9815,50.78064
37.66497,7.592336,25.181,16.9815,49.9504
37.66497,7.592336,25.181,16.9815,43.08636
37.66497,7.592336,25.181,16.9815,69.15345
37.66497,7.592336,25.181,16.9815,68.10033
37.66497,7.592336,25.181,16.9815,37.31521
37.66497,7.592336,25.181,16.9815,54.87325
37.66497,7.592336,25.181,16.9815,67.97953
37.66497,7.592336,25.181,16.9815,65.34581
37.66497,7.592336,25.181,16.9815,56.68728
37.66497,7.592336,25.181,16.9815,47.52958
37.66497,7.592336,25.181,16.9815,52.25545
37.66497,7.592336,25.181,16.9815,64.77209
37.66497,7.592336,25.181,16.9815,51.83058
37.66497,7.592336,25.181,16.9815,42.46171
37.66497,7.592336,25.181,16.9815,62.87285
37.66497,7.592336,25.181,16.9815,47.11317
37.66497,7.592336,25.181,16.9815,38.81327
37.66497,7.592336,25.181,16.9815,66.04895
37.66497,7.592336,25.181,16.9815,54.79663
37.66497,7.592336,25.181,16.9815,25.83743
37.66497,7.592336,25.181,16.9815,41.36684
37.66497,7.592336,25.181,16.9815,48.97452
37.66497,7.592336,25.181,16.9815,65.22065
37.66497,7.592336,25.181,16.9815,24.79869
37.66497,7.592336,25.181,16.9815,49.23427
37.66497,7.592336,25.181,16.9815,45.50488
37.66497,7.592336,25.181,16.9815,63.55024
37.66497,7.592336,25.181,16.9815,49.28004
37.66497,7.592336,25.181,16.9815,42.1185
37.66497,7.592336,25.181,16.9815,68.09351
37.66497,7.592336,25.181,16.9815,70.74419
37.66497,7.592336,25.181,16.9815,68.66156
37.66497,7.592336,25.181,16.9815,48.22548
37.66497,7.592336,25.181,16.9815,56.67231
37.66497,7.592336,25.181,16.9815,52.12307
37.66497,7.592336,25.181,16.9815,60.92618
37.66497,7.592336,25.181,16.9815,44.34625
37.66497,7.592336,25.181,16.9815,51.43941
37.66497,7.592336,25.181,16.9815,52.41636
37.66497,7.592336,25.181,16.9815,68.30579
37.66497,7.592336,25.181,16.9815,26.37068
37.66497,7.592336,25.181,16.9815,68.63578
37.66497,7.592336,25.181,16.9815,61.84288
37.66497,7.592336,25.181,16.9815,41.32289
37.66497,7.592336,25.181,16.9815,65.25174
37.66497,7.592336,25.181,16.9815,64.74416
37.66497,7.592336,25.181,16.9815,65.68147
37.66497,7.592336,25.181,16.9815,37.38027
37.66497,7.592336,25.181,16.9815,40.05754
37.66497,7.592336,25.181,16.9815,48.70702
37.66497,7.592336,25.181,16.9815,39.39565
37.66497,7.592336,25.181,16.9815,37.32584
37.66497,7.592336,25.181,16.9815,61.96161
37.66497,7.592336,25.181,16.9815,55.35482
37.66497,7.592336,25.181,16.9815,57.17329
37.66497,7.592336,25.181,16.9815,65.39926
37.66497,7.592336,25.181,16.9815,52.3777
37.66497,7.592336,25.181,16.9815,67.87157
37.66497,7.592336,25.181,16.9815,66.97992
37.66497,7.592336,25.181,16.9815,51.51154
37.66497,7.592336,25.181,16.9815,51.34757
37.66497,7.592336,25.181,16.9815,42.06723
37.66497,7.592336,25.181,16.9815,48.43419
37.66497,7.592336,25.181,16.9815,23.56673
37.66497,7.592336,25.181,16.9815,60.7386
37.66497,7.592336,25.181,16.9815,68.91021
37.66497,7.592336,25.181,16.9815,23.56793
37.66497,7.592336,25.181,16.9815,54.77024
37.66497,7.592336,25.181,16.9815,54.76185
37.66497,7.592336,25.181,16.9815,40.88739
37.66497,7.592336,25.181,16.9815,26.88142
37.66497,7.592336,25.181,16.9815,53.82505
37.66497,7.592336,25.181,16.9815,23.62533
37.66497,7.592336,25.181,16.9815,49.18324
37.66497,7.592336,25.181,16.9815,42.84936
37.66497,7.592336,25.181,16.9815,68.64866
37.66497,7.592336,25.181,16.9815,65.21152
37.66497,7.592336,25.181,16.9815,46.24223
37.66497,7.592336,25.181,16.9815,59.69101
37.66497,7.592336,25.181,16.9815,50.61222
37.66497,7.592336,25.181,16.9815,57.47626
37.66497,7.592336,25.181,16.9815,67.20169
37.66497,7.592336,25.181,16.9815,55.41911
37.66497,7.592336,25.181,16.9815,51.07204
37.66497,7.592336,25.181,16.9815,55.69812
37.66497,7.592336,25.181,16.9815,64.80885
37.66497,7.592336,25.181,16.9815,70.00249
37.66497,7.592336,25.181,16.9815,50.0766
37.66497,7.592336,25.181,16.9815,52.04772
37.66497,7.592336,25.181,16.9815,70.16365
37.66497,7.592336,25.181,16.9815,42.82339
37.66497,7.592336,25.181,16.9815,68.12143
37.66497,7.592336,25.181,16.9815,49.41816
37.66497,7.592336,25.181,16.9815,66.73937
37.66497,7.592336,25.181,16.9815,37.73502
37.66497,7.592336,25.181,16.9815,44.96933
37.66497,7.592336,25.181,16.9815,46.90182
37.66497,7.592336,25.181,16.9815,66.17277
37.66497,7.592336,25.181,16.9815,29.33186
37.66497,7.592336,25.181,16.9815,35.60042
37.66497,7.592336,25.181,16.9815,37.60226
37.66497,7.592336,25.181,16.9815,62.67064
37.66497,7.592336,25.181,16.9815,56.92063
37.66497,7.592336,25.181,16.9815,66.16669
37.66497,7.592336,25.181,16.9815,42.65574
37.66497,7.592336,25.181,16.9815,60.70292
37.66497,7.592336,25.181,16.9815,51.52665
37.66497,7.592336,25.181,16.9815,60.64499
37.66497,7.592336,25.181,16.9815,66.44055
37.66497,7.592336,25.181,16.9815,53.07319
37.66497,7.592336,25.181,16.9815,65.14929
37.66497,7.592336,25.181,16.9815,42.47529
37.66497,7.592336,25.181,16.9815,43.5059
37.66497,7.592336,25.181,16.9815,48.46467
37.66497,7.592336,25.181,16.9815,49.97911
37.66497,7.592336,25.181,16.9815,25.00895
37.66497,7.592336,25.181,16.9815,50.60818
37.66497,7.592336,25.181,16.9815,55.46729
37.66497,7.592336,25.181,16.9815,45.60027
37.66497,7.592336,25.181,16.9815,48.41991
37.66497,7.592336,25.181,16.9815,66.15222
37.66497,7.592336,25.181,16.9815,48.23892
37.66497,7.592336,25.181,16.9815,71.35441
37.66497,7.592336,25.181,16.9815,62.364
37.66497,7.592336,25.181,16.9815,59.14069
37.66497,7.592336,25.181,16.9815,52.33249
37.66497,7.592336,25.181,16.9815,48.17802
37.66497,7.592336,25.181,16.9815,62.09649
37.66497,7.592336,25.181,16.9815,50.82708
37.66497,7.592336,25.181,16.9815,45.60432
37.66497,7.592336,25.181,16.9815,53.70679
37.66497,7.592336,25.181,16.9815,54.74609
37.66497,7.592336,25.181,16.9815,26.05041
37.66497,7.592336,25.181,16.9815,53.29597
37.66497,7.592336,25.181,16.9815,30.41391
37.66497,7.592336,25.181,16.9815,66.68131
37.66497,7.592336,25.181,16.9815,49.25654
37.66497,7.592336,25.181,16.9815,48.43385
37.66497,7.592336,25.181,16.9815,68.43887
37.66497,7.592336,25.181,16.9815,67.60278
37.66497,7.592336,25.181,16.9815,55.02021
37.66497,7.592336,25.181,16.9815,42.59436
37.66497,7.592336,25.181,16.9815,61.952
37.66497,7.592336,25.181,16.9815,69.57877
37.66497,7.592336,25.181,16.9815,52.45785
37.66497,7.592336,25.181,16.9815,27.97519
37.66497,7.592336,25.181,16.9815,43.12865
37.66497,7.592336,25.181,16.9815,66.90193
37.66497,7.592336,25.181,16.9815,37.19039
37.66497,7.592336,25.181,16.9815,65.99722
37.66497,7.592336,25.181,16.9815,29.54013
37.66497,7.592336,25.181,16.9815,27.41901
37.66497,7.592336,25.181,16.9815,48.53174
37.66497,7.592336,25.181,16.9815,56.55501
37.66497,7.592336,25.181,16.9815,49.92943
37.66497,7.592336,25.181,16.9815,51.33259
37.66497,7.592336,25.181,16.9815,49.91364
37.66497,7.592336,25.181,16.9815,67.81948
37.66497,7.592336,25.181,16.9815,39.731
37.66497,7.592336,25.181,16.9815,47.2394
37.66497,7.592336,25.181,16.9815,63.02319
37.66497,7.592336,25.181,16.9815,56.92334
37.66497,7.592336,25.181,16.9815,49.73234
37.66497,7.592336,25.181,16.9815,45.016
37.66497,7.592336,25.181,16.9815,49.98518
37.66497,7.592336,25.181,16.9815,61.33585
37.66497,7.592336,25.181,16.9815,65.4477
37.66497,7.592336,25.181,16.9815,66.77684
37.66497,7.592336,25.181,16.9815,36.03975
37.66497,7.592336,25.181,16.9815,57.9925
37.66497,7.592336,25.181,16.9815,41.88123
37.66497,7.592336,25.181,16.9815,46.53595
37.66497,7.592336,25.181,16.9815,67.06518
37.66497,7.592336,25.181,16.9815,36.09728
37.66497,7.592336,25.181,16.9815,41.79716
37.66497,7.592336,25.181,16.9815,38.01672
37.66497,7.592336,25.181,16.9815,45.45861
37.66497,7.592336,25.181,16.9815,39.49119
37.66497,7.592336,25.181,16.9815,52.51112
37.66497,7.592336,25.181,16.9815,51.31449
37.66497,7.592336,25.181,16.9815,49.07293
37.66497,7.592336,25.181,16.9815,43.63176
37.66497,7.592336,25.181,16.9815,67.94091
37.66497,7.592336,25.181,16.9815,63.01615
37.66497,7.592336,25.181,16.9815,55.58733
37.66497,7.592336,25.181,16.9815,43.98332
37.66497,7.592336,25.181,16.9815,54.63099
37.66497,7.592336,25.181,16.9815,66.73779
37.66497,7.592336,25.181,16.9815,40.9765
37.66497,7.592336,25.181,16.9815,45.57561
37.66497,7.592336,25.181,16.9815,48.33179
37.66497,7.592336,25.181,16.9815,67.82473
37.66497,7.592336,25.181,16.9815,53.64508
37.66497,7.592336,25.181,16.9815,55.05747
37.66497,7.592336,25.181,16.9815,69.79977
37.66497,7.592336,25.181,16.9815,54.83624
37.66497,7.592336,25.181,16.9815,27.3406
37.66497,7.592336,25.181,16.9815,58.89909
37.66497,7.592336,25.181,16.9815,47.20704
37.66497,7.592336,25.181,16.9815,52.20494
