surface_dist,mean_patchiness,mean_phi,num_points
2,0.2116628,-2.237035,163
3,0.3527364,-7.525145,368
4,0.4463417,-14.05258,668
5,0.4861629,-14.81247,1003
6,0.4988752,-13.92786,1410
7,0.4738076,-11.93622,1841
8,0.4637928,-9.290684,2307
9,0.4846316,-6.402081,2864
10,0.5026144,-3.299941,3588
11,0.4971219,-0.5363863,4520
12,0.4749718,0.9939025,5590
13,0.4531049,2.11799,6738
14,0.4245902,2.329427,7966
15,0.3995083,2.445002,9306
16,0.3755075,1.996997,10843
17,0.3611774,1.418729,12510
18,0.3625713,0.7064474,14330
19,0.3678078,0.2768985,16250
20,0.3745755,0.2404102,18319
21,0.3789059,0.3802107,20571
22,0.3857817,0.3066918,22880
23,0.3948892,0.4840752,25373
24,0.4009571,0.6761066,27774
25,0.4035173,0.8202776,29986
26,0.4020101,0.8829656,32229
27,0.398791,1.113229,34430
28,0.3969533,1.417199,36564
29,0.3980717,1.557241,38701
30,0.4016452,1.617731,40956
31,0.4055168,1.612119,43389
32,0.4057489,1.652146,45813
33,0.4044752,1.712612,48168
34,0.4044038,1.800294,50517
35,0.4041936,1.920414,52912
36,0.4001625,2.02738,55292
37,0.3949239,2.012571,57607
38,0.3897157,1.936252,60028
39,0.3862875,1.86103,62540
40,0.3845373,1.79394,64970
41,0.3855573,1.718174,67429
42,0.3857269,1.743301,69816
43,0.3868394,1.724078,72219
44,0.3892386,1.661165,74482
45,0.3911852,1.639178,76509
46,0.3938234,1.635044,78279
47,0.3976084,1.696399,80034
48,0.4007312,1.822501,81594
49,0.4028845,2.019229,83025
50,0.4029868,2.179455,84280
51,0.4022309,2.244586,85305
52,0.4016483,2.235335,86092
53,0.4009244,2.224225,86650
54,0.4005644,2.216407,86842
55,0.4005767,2.213953,86859
