radius,mean_patchiness,mean_phi,num_points
2,0.4786669,-4.025864,81
3,0.5429127,0.7720281,358
4,0.6038527,-3.91199,759
5,0.5361094,-4.613722,1251
6,0.4703316,-2.198081,1749
7,0.4564618,-1.605288,2293
8,0.4281721,-2.015454,2913
9,0.3993659,-2.116129,3822
10,0.4049567,-2.383757,5260
11,0.4241336,-0.9022606,6745
12,0.4457545,0.972194,8718
13,0.4774261,3.28436,10738
14,0.503402,4.818255,12917
15,0.5202672,5.810742,15064
16,0.5315858,6.566421,17526
17,0.5461197,6.96808,19666
18,0.5550795,7.40975,21849
19,0.5602958,7.845726,23760
20,0.5654927,8.447393,25767
21,0.5672935,8.425911,28140
22,0.5639423,8.145085,30586
23,0.5624154,7.825027,32997
24,0.5588279,7.740434,35405
25,0.5521156,7.634433,37839
26,0.5434299,7.498539,40037
27,0.5362708,7.142314,42726
28,0.5325039,6.719403,45850
29,0.5326492,6.482216,49394
30,0.5284335,6.298745,53157
31,0.5205112,6.098356,56772
32,0.5144876,5.937024,60237
33,0.5065416,5.760174,64217
34,0.4970297,5.613313,67479
35,0.4914583,5.55339,70667
36,0.4881169,5.511934,73723
37,0.48324,5.275546,76817
38,0.4802886,5.04081,80251
39,0.4806933,4.792384,83965
40,0.479187,4.611786,87377
41,0.4767108,4.412511,91102
42,0.4763028,4.272389,94491
43,0.4775701,4.121256,97794
44,0.4798138,3.990464,100677
45,0.4813445,3.755273,103953
46,0.4803052,3.611918,108180
47,0.4801665,3.585679,112680
48,0.481814,3.557237,116948
49,0.4815939,3.523229,121021
50,0.4817756,3.418997,125293
51,0.4806919,3.34681,129668
52,0.4793564,3.334984,133935
53,0.4776949,3.327436,138224
54,0.4741353,3.307212,142467
55,0.4723073,3.347603,146915
56,0.4725463,3.358699,151242
57,0.4720004,3.284007,155782
58,0.4709834,3.265909,160202
59,0.4694706,3.248225,164644
60,0.4679798,3.202087,168834
61,0.4660419,3.210676,172571
62,0.464132,3.15685,176364
63,0.4634996,3.075354,180494
64,0.4635732,3.001447,184383
65,0.462867,2.929995,188663
66,0.4625776,2.917088,193011
67,0.4634418,2.915936,197020
68,0.4633599,2.954644,201441
69,0.4627088,2.935357,206102
70,0.4632299,2.958745,209316
71,0.4637595,2.978519,212241
72,0.4636357,2.975701,215220
73,0.4638909,2.990325,217382
74,0.4639123,3.005928,218997
75,0.4646249,3.046421,220086
76,0.4657269,3.059264,220904
77,0.4659219,3.079503,221296
78,0.4659059,3.09622,221579
79,0.4659934,3.120282,221813
80,0.4659828,3.126341,222009
81,0.4659306,3.127362,222042
