patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-32.78888,37.42648,131.2869,-14.36953,62.20065
-32.78888,37.42648,131.2869,-14.36953,23.10343
-32.78888,37.42648,131.2869,-14.36953,69.85665
-32.78888,37.42648,131.2869,-14.36953,22.94796
-32.78888,37.42648,131.2869,-14.36953,68.20103
-32.78888,37.42648,131.2869,-14.36953,44.92956
-32.78888,37.42648,131.2869,-14.36953,71.59561
-32.78888,37.42648,131.2869,-14.36953,55.61325
-32.78888,37.42648,131.2869,-14.36953,48.95871
-32.78888,37.42648,131.2869,-14.36953,45.08442
-32.78888,37.42648,131.2869,-14.36953,41.0757
-32.78888,37.42648,131.2869,-14.36953,38.20641
-32.78888,37.42648,131.2869,-14.36953,66.0181
-32.78888,37.42648,131.2869,-14.36953,64.02165
-32.78888,37.42648,131.2869,-14.36953,30.51851
-32.78888,37.42648,131.2869,-14.36953,56.06015
-32.78888,37.42648,131.2869,-14.36953,15.56892
-32.78888,37.42648,131.2869,-14.36953,43.13925
-32.78888,37.42648,131.2869,-14.36953,44.65887
-32.78888,37.42648,131.2869,-14.36953,52.16476
-32.78888,37.42648,131.2869,-14.36953,43.65342
-32.78888,37.42648,131.2869,-14.36953,47.4189
-32.78888,37.42648,131.2869,-14.36953,61.3542
-32.78888,37.42648,131.2869,-14.36953,56.8871
-32.78888,37.42648,131.2869,-14.36953,49.63667
-32.78888,37.42648,131.2869,-14.36953,32.82475
-32.78888,37.42648,131.2869,-14.36953,30.49096
-32.78888,37.42648,131.2869,-14.36953,48.90629
-32.78888,37.42648,131.2869,-14.36953,72.31142
-32.78888,37.42648,131.2869,-14.36953,67.48512
-32.78888,37.42648,131.2869,-14.36953,47.49796
-32.78888,37.42648,131.2869,-14.36953,21.95566
-32.78888,37.42648,131.2869,-14.36953,37.90224
-32.78888,37.42648,131.2869,-14.36953,30.96617
-32.78888,37.42648,131.2869,-14.36953,49.55411
-32.78888,37.42648,131.2869,-14.36953,55.0824
-32.78888,37.42648,131.2869,-14.36953,46.06737
-32.78888,37.42648,131.2869,-14.36953,56.63015
-32.78888,37.42648,131.2869,-14.36953,48.77129
-32.78888,37.42648,131.2869,-14.36953,26.87498
-32.78888,37.42648,131.2869,-14.36953,25.58443
-32.78888,37.42648,131.2869,-14.36953,52.33981
-32.78888,37.42648,131.2869,-14.36953,50.57642
-32.78888,37.42648,131.2869,-14.36953,66.9678
-32.78888,37.42648,131.2869,-14.36953,42.26994
-32.78888,37.42648,131.2869,-14.36953,31.13026
-32.78888,37.42648,131.2869,-14.36953,60.18788
-32.78888,37.42648,131.2869,-14.36953,52.72698
-32.78888,37.42648,131.2869,-14.36953,49.03465
-32.78888,37.42648,131.2869,-14.36953,47.50973
-32.78888,37.42648,131.2869,-14.36953,56.28753
-32.78888,37.42648,131.2869,-14.36953,55.67842
-32.78888,37.42648,131.2869,-14.36953,28.39115
-32.78888,37.42648,131.2869,-14.36953,68.4568
-32.78888,37.42648,131.2869,-14.36953,29.76189
-32.78888,37.42648,131.2869,-14.36953,55.77965
-32.78888,37.42648,131.2869,-14.36953,63.07499
-32.78888,37.42648,131.2869,-14.36953,22.60558
-32.78888,37.42648,131.2869,-14.36953,31.63912
-32.78888,37.42648,131.2869,-14.36953,46.25114
-32.78888,37.42648,131.2869,-14.36953,34.40022
-32.78888,37.42648,131.2869,-14.36953,48.19954
-32.78888,37.42648,131.2869,-14.36953,39.98119
-32.78888,37.42648,131.2869,-14.36953,46.0143
-32.78888,37.42648,131.2869,-14.36953,66.43446
-32.78888,37.42648,131.2869,-14.36953,60.6918
-32.78888,37.42648,131.2869,-14.36953,46.19614
-32.78888,37.42648,131.2869,-14.36953,46.41312
-32.78888,37.42648,131.2869,-14.36953,38.52596
-32.78888,37.42648,131.2869,-14.36953,40.54845
-32.78888,37.42648,131.2869,-14.36953,60.89225
-32.78888,37.42648,131.2869,-14.36953,22.88198
-32.78888,37.42648,131.2869,-14.36953,48.67491
-32.78888,37.42648,131.2869,-14.36953,66.02271
-32.78888,37.42648,131.2869,-14.36953,21.00302
-32.78888,37.42648,131.2869,-14.36953,37.41175
-32.78888,37.42648,131.2869,-14.36953,45.30162
-32.78888,37.42648,131.2869,-14.36953,35.74831
-32.78888,37.42648,131.2869,-14.36953,45.2208
-32.78888,37.42648,131.2869,-14.36953,30.59958
-32.78888,37.42648,131.2869,-14.36953,49.22745
-32.78888,37.42648,131.2869,-14.36953,55.65267
-32.78888,37.42648,131.2869,-14.36953,31.51857
-32.78888,37.42648,131.2869,-14.36953,31.07183
-32.78888,37.42648,131.2869,-14.36953,31.76604
-32.78888,37.42648,131.2869,-14.36953,51.51046
-32.78888,37.42648,131.2869,-14.36953,66.11115
-32.78888,37.42648,131.2869,-14.36953,47.03137
-32.78888,37.42648,131.2869,-14.36953,53.28935
-32.78888,37.42648,131.2869,-14.36953,68.40951
-32.78888,37.42648,131.2869,-14.36953,31.20652
-32.78888,37.42648,131.2869,-14.36953,44.02884
-32.78888,37.42648,131.2869,-14.36953,32.02618
-32.78888,37.42648,131.2869,-14.36953,41.79622
-32.78888,37.42648,131.2869,-14.36953,50.29569
-32.78888,37.42648,131.2869,-14.36953,33.43689
-32.78888,37.42648,131.2869,-14.36953,51.76348
-32.78888,37.42648,131.2869,-14.36953,33.67264
-32.78888,37.42648,131.2869,-14.36953,28.38484
-32.78888,37.42648,131.2869,-14.36953,49.31234
-32.78888,37.42648,131.2869,-14.36953,66.76382
-32.78888,37.42648,131.2869,-14.36953,40.20148
-32.78888,37.42648,131.2869,-14.36953,52.55915
-32.78888,37.42648,131.2869,-14.36953,44.72635
-32.78888,37.42648,131.2869,-14.36953,32.86057
-32.78888,37.42648,131.2869,-14.36953,51.13409
-32.78888,37.42648,131.2869,-14.36953,46.31779
