surface_dist,mean_patchiness,mean_phi,num_points
2,0.1267219,3.096161,176
3,0.2594555,3.930905,423
4,0.3286905,2.595088,794
5,0.3331911,2.877977,1279
6,0.3357265,1.383664,1860
7,0.3445384,0.3233211,2505
8,0.343422,0.1422429,3264
9,0.3472008,-0.5310425,4103
10,0.3654135,-1.214902,4979
11,0.378624,-1.211041,5947
12,0.3818873,-0.8552979,7060
13,0.3876503,0.05426026,8310
14,0.3962042,0.1105476,9750
15,0.4003605,-0.2494441,11357
16,0.4033858,-0.7046508,12974
17,0.4118979,-0.7774878,14729
18,0.4257916,-0.6822456,16603
19,0.4290927,-0.6356859,18492
20,0.4286058,-0.8609439,20629
21,0.4268935,-1.316908,22976
22,0.4215606,-1.69683,25597
23,0.4167627,-1.822872,28372
24,0.4133162,-1.657188,31154
25,0.4144013,-1.344511,34135
26,0.4175865,-1.190029,37322
27,0.4218269,-1.193439,40601
28,0.4224533,-1.143914,43968
29,0.420716,-1.143475,47564
30,0.4179165,-1.192003,51301
31,0.4167022,-1.166361,54874
32,0.4160956,-0.8379256,58398
33,0.4176441,-0.6391461,62230
34,0.4185903,-0.5559416,65855
35,0.4181166,-0.55332,69476
36,0.420624,-0.5681413,73169
37,0.4234075,-0.6525236,77032
38,0.4224077,-0.7473745,80938
39,0.4199008,-0.8016236,84912
40,0.4194744,-0.7737585,88852
41,0.4216993,-0.7526342,92493
42,0.4237063,-0.7062473,95861
43,0.4273089,-0.609151,99113
44,0.4316371,-0.546021,102358
45,0.433899,-0.5501899,105464
46,0.4337826,-0.5397586,108272
47,0.4338248,-0.5547262,110745
48,0.4331794,-0.5258546,113055
49,0.4313652,-0.4374824,115494
50,0.4285115,-0.3213023,117877
51,0.424953,-0.2282251,120309
52,0.4218573,-0.1696627,122778
53,0.4202349,-0.1129,125369
54,0.4200135,-0.04694449,128110
55,0.4203381,0.02382999,131133
56,0.4202768,0.05027516,134440
57,0.4206179,0.001121608,137740
58,0.4202107,0.009508295,141211
59,0.4184058,0.0482836,144624
60,0.4162373,0.06707242,147919
61,0.4141559,0.1033,151121
62,0.4119966,0.1089012,154052
63,0.4111739,0.05532448,156773
64,0.411525,0.01049611,159341
65,0.4118261,0.02073081,161377
66,0.4121088,0.0315986,162694
67,0.4120762,0.02882584,163618
68,0.4116421,0.03046679,164332
69,0.4110851,0.03226696,165030
70,0.4107566,0.04465277,165652
71,0.4102828,0.06527913,166298
72,0.4096276,0.06347739,166975
73,0.409309,0.04708416,167634
74,0.4096915,0.02586886,168034
75,0.4099672,0.01018279,168352
76,0.4098362,0.01102471,168533
77,0.4098219,0.009377549,168560
