patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
14.50128,53.64485,77.32388,17.45359,18.85499
14.50128,53.64485,77.32388,17.45359,18.75712
14.50128,53.64485,77.32388,17.45359,8.748678
14.50128,53.64485,77.32388,17.45359,10.65576
14.50128,53.64485,77.32388,17.45359,10.14172
14.50128,53.64485,77.32388,17.45359,23.14864
14.50128,53.64485,77.32388,17.45359,19.86651
14.50128,53.64485,77.32388,17.45359,25.16124
14.50128,53.64485,77.32388,17.45359,13.38801
14.50128,53.64485,77.32388,17.45359,16.38102
14.50128,53.64485,77.32388,17.45359,11.15675
14.50128,53.64485,77.32388,17.45359,17.42155
14.50128,53.64485,77.32388,17.45359,23.15102
14.50128,53.64485,77.32388,17.45359,24.51555
14.50128,53.64485,77.32388,17.45359,20.27994
14.50128,53.64485,77.32388,17.45359,16.99833
14.50128,53.64485,77.32388,17.45359,21.57243
14.50128,53.64485,77.32388,17.45359,19.49177
14.50128,53.64485,77.32388,17.45359,15.95741
14.50128,53.64485,77.32388,17.45359,23.03784
14.50128,53.64485,77.32388,17.45359,13.66396
14.50128,53.64485,77.32388,17.45359,16.70799
14.50128,53.64485,77.32388,17.45359,21.92591
14.50128,53.64485,77.32388,17.45359,12.76567
14.50128,53.64485,77.32388,17.45359,25.19367
14.50128,53.64485,77.32388,17.45359,24.71534
14.50128,53.64485,77.32388,17.45359,25.09705
14.50128,53.64485,77.32388,17.45359,6.930005
14.50128,53.64485,77.32388,17.45359,11.05763
14.50128,53.64485,77.32388,17.45359,19.32624
14.50128,53.64485,77.32388,17.45359,25.00381
14.50128,53.64485,77.32388,17.45359,21.5545
14.50128,53.64485,77.32388,17.45359,22.18611
14.50128,53.64485,77.32388,17.45359,25.08508
14.50128,53.64485,77.32388,17.45359,25.89978
14.50128,53.64485,77.32388,17.45359,20.20665
14.50128,53.64485,77.32388,17.45359,4.267486
14.50128,53.64485,77.32388,17.45359,28.99947
14.50128,53.64485,77.32388,17.45359,25.12577
14.50128,53.64485,77.32388,17.45359,21.05095
14.50128,53.64485,77.32388,17.45359,19.5797
14.50128,53.64485,77.32388,17.45359,11.50235
14.50128,53.64485,77.32388,17.45359,5.112658
14.50128,53.64485,77.32388,17.45359,13.90304
14.50128,53.64485,77.32388,17.45359,26.75585
14.50128,53.64485,77.32388,17.45359,19.42817
14.50128,53.64485,77.32388,17.45359,27.73776
14.50128,53.64485,77.32388,17.45359,18.83668
14.50128,53.64485,77.32388,17.45359,24.17628
14.50128,53.64485,77.32388,17.45359,21.85945
14.50128,53.64485,77.32388,17.45359,18.05276
14.50128,53.64485,77.32388,17.45359,26.57345
14.50128,53.64485,77.32388,17.45359,12.96876
14.50128,53.64485,77.32388,17.45359,11.83107
14.50128,53.64485,77.32388,17.45359,15.08065
14.50128,53.64485,77.32388,17.45359,28.18856
14.50128,53.64485,77.32388,17.45359,23.218
14.50128,53.64485,77.32388,17.45359,16.81001
14.50128,53.64485,77.32388,17.45359,9.807509
14.50128,53.64485,77.32388,17.45359,6.236929
14.50128,53.64485,77.32388,17.45359,19.85094
14.50128,53.64485,77.32388,17.45359,13.69856
14.50128,53.64485,77.32388,17.45359,25.11859
14.50128,53.64485,77.32388,17.45359,23.71107
14.50128,53.64485,77.32388,17.45359,10.38162
14.50128,53.64485,77.32388,17.45359,18.71767
14.50128,53.64485,77.32388,17.45359,20.10102
14.50128,53.64485,77.32388,17.45359,15.69247
14.50128,53.64485,77.32388,17.45359,19.66941
14.50128,53.64485,77.32388,17.45359,28.14426
14.50128,53.64485,77.32388,17.45359,19.37741
14.50128,53.64485,77.32388,17.45359,24.09778
14.50128,53.64485,77.32388,17.45359,28.74031
14.50128,53.64485,77.32388,17.45359,22.40074
14.50128,53.64485,77.32388,17.45359,18.85945
