radius,mean_patchiness,mean_phi,num_points
2,0.009742404,0.6765195,35
3,0.1037286,0.6809344,169
4,0.1528669,-1.025351,359
5,0.172461,-1.238873,755
6,0.1910645,-0.3120164,2085
7,0.2390188,0.2714649,3747
8,0.2674558,1.711187,5657
9,0.2822523,3.031074,7622
10,0.2977326,3.769684,9696
11,0.3246953,4.29393,12151
12,0.3464483,4.706728,14524
13,0.3613495,4.637296,17202
14,0.3771116,3.806804,19962
15,0.3865323,3.10386,22237
16,0.3936215,2.745684,24721
17,0.3974994,2.312227,27762
18,0.4013785,2.008176,31424
19,0.3970002,2.004589,35578
20,0.3950602,1.988268,40398
21,0.3943389,2.028863,46156
22,0.3929572,2.255668,53147
23,0.3860294,2.498464,60504
24,0.3813467,2.781891,67036
25,0.3754635,2.950674,73181
26,0.3746246,3.074378,77980
27,0.3732936,3.003526,81143
28,0.3750719,3.038161,83970
29,0.3770908,3.112611,85925
30,0.3773965,3.131197,87596
31,0.3783039,3.15063,88806
32,0.3782574,3.117365,89571
33,0.3790071,3.051789,90439
34,0.380648,3.048785,90807
35,0.3821557,3.092135,91099
36,0.3829095,3.132549,91228
