radius,mean_patchiness,mean_phi,num_points
2,0,-0.1190576,63
3,0.02055611,-0.7467655,269
4,0.08037814,-1.753139,614
5,0.1184652,-1.341077,1132
6,0.1824892,-1.033673,1846
7,0.2500616,-1.489752,2888
8,0.3191301,-1.461531,4466
9,0.3552808,-2.075987,6254
10,0.3813412,-0.9368404,8524
11,0.3981459,-0.6322099,10743
12,0.413727,-0.8774663,12915
13,0.41297,-1.087865,15002
14,0.4085207,-0.605742,17154
15,0.3944649,-0.1545578,19914
16,0.3819941,0.7487842,22832
17,0.374088,1.081596,26903
18,0.373245,1.314422,31218
19,0.3787485,1.445453,35444
20,0.3807309,1.884125,39530
21,0.3833627,1.916436,43522
22,0.3895554,2.270657,48220
23,0.3993364,2.782755,53606
24,0.4091633,3.131297,58525
25,0.4154738,3.027677,63898
26,0.420537,2.872265,68970
27,0.4192691,2.711289,74045
28,0.4158759,2.684951,78213
29,0.4135582,2.584356,81472
30,0.4114587,2.506772,84303
31,0.410346,2.524021,86504
32,0.409418,2.527076,88660
33,0.409364,2.390363,90196
34,0.4090774,2.328585,91040
35,0.4093546,2.225753,91477
36,0.4092959,2.213409,91662
37,0.4091879,2.213649,91696
