patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-0.03653546,7.520716,-27.05777,-11.34038,19.74608
-0.03653546,7.520716,-27.05777,-11.34038,25.62513
-0.03653546,7.520716,-27.05777,-11.34038,18.7734
-0.03653546,7.520716,-27.05777,-11.34038,24.71237
-0.03653546,7.520716,-27.05777,-11.34038,5.220523
-0.03653546,7.520716,-27.05777,-11.34038,24.16639
-0.03653546,7.520716,-27.05777,-11.34038,35.58578
-0.03653546,7.520716,-27.05777,-11.34038,26.08355
-0.03653546,7.520716,-27.05777,-11.34038,13.21448
-0.03653546,7.520716,-27.05777,-11.34038,40.8868
-0.03653546,7.520716,-27.05777,-11.34038,30.28196
-0.03653546,7.520716,-27.05777,-11.34038,28.33988
-0.03653546,7.520716,-27.05777,-11.34038,10.17901
-0.03653546,7.520716,-27.05777,-11.34038,21.70174
-0.03653546,7.520716,-27.05777,-11.34038,12.17382
-0.03653546,7.520716,-27.05777,-11.34038,6.038552
-0.03653546,7.520716,-27.05777,-11.34038,25.0496
-0.03653546,7.520716,-27.05777,-11.34038,17.24109
-0.03653546,7.520716,-27.05777,-11.34038,36.45916
-0.03653546,7.520716,-27.05777,-11.34038,19.77982
-0.03653546,7.520716,-27.05777,-11.34038,35.65998
-0.03653546,7.520716,-27.05777,-11.34038,46.21932
-0.03653546,7.520716,-27.05777,-11.34038,49.2959
-0.03653546,7.520716,-27.05777,-11.34038,10.10985
-0.03653546,7.520716,-27.05777,-11.34038,23.48007
-0.03653546,7.520716,-27.05777,-11.34038,45.63941
-0.03653546,7.520716,-27.05777,-11.34038,28.27692
-0.03653546,7.520716,-27.05777,-11.34038,3.92648
-0.03653546,7.520716,-27.05777,-11.34038,19.25425
-0.03653546,7.520716,-27.05777,-11.34038,21.49327
-0.03653546,7.520716,-27.05777,-11.34038,26.39106
-0.03653546,7.520716,-27.05777,-11.34038,32.5251
-0.03653546,7.520716,-27.05777,-11.34038,45.64738
-0.03653546,7.520716,-27.05777,-11.34038,3.581461
-0.03653546,7.520716,-27.05777,-11.34038,21.12398
-0.03653546,7.520716,-27.05777,-11.34038,42.3429
-0.03653546,7.520716,-27.05777,-11.34038,24.15596
-0.03653546,7.520716,-27.05777,-11.34038,36.287
-0.03653546,7.520716,-27.05777,-11.34038,32.39232
-0.03653546,7.520716,-27.05777,-11.34038,12.47654
-0.03653546,7.520716,-27.05777,-11.34038,17.07984
-0.03653546,7.520716,-27.05777,-11.34038,33.58774
-0.03653546,7.520716,-27.05777,-11.34038,25.29443
-0.03653546,7.520716,-27.05777,-11.34038,25.88077
-0.03653546,7.520716,-27.05777,-11.34038,9.910859
-0.03653546,7.520716,-27.05777,-11.34038,33.48571
-0.03653546,7.520716,-27.05777,-11.34038,42.02396
-0.03653546,7.520716,-27.05777,-11.34038,36.28098
-0.03653546,7.520716,-27.05777,-11.34038,41.46195
-0.03653546,7.520716,-27.05777,-11.34038,36.61465
-0.03653546,7.520716,-27.05777,-11.34038,10.17828
-0.03653546,7.520716,-27.05777,-11.34038,16.37876
-0.03653546,7.520716,-27.05777,-11.34038,17.86545
-0.03653546,7.520716,-27.05777,-11.34038,3.254004
-0.03653546,7.520716,-27.05777,-11.34038,36.94802
-0.03653546,7.520716,-27.05777,-11.34038,3.306182
-0.03653546,7.520716,-27.05777,-11.34038,41.0808
-0.03653546,7.520716,-27.05777,-11.34038,22.54451
-0.03653546,7.520716,-27.05777,-11.34038,27.75694
-0.03653546,7.520716,-27.05777,-11.34038,28.00803
-0.03653546,7.520716,-27.05777,-11.34038,22.22512
-0.03653546,7.520716,-27.05777,-11.34038,49.59438
-0.03653546,7.520716,-27.05777,-11.34038,36.6499
-0.03653546,7.520716,-27.05777,-11.34038,21.71199
-0.03653546,7.520716,-27.05777,-11.34038,22.93044
-0.03653546,7.520716,-27.05777,-11.34038,26.49268
-0.03653546,7.520716,-27.05777,-11.34038,46.42902
-0.03653546,7.520716,-27.05777,-11.34038,23.44299
-0.03653546,7.520716,-27.05777,-11.34038,36.79035
-0.03653546,7.520716,-27.05777,-11.34038,24.25003
-0.03653546,7.520716,-27.05777,-11.34038,35.2155
-0.03653546,7.520716,-27.05777,-11.34038,28.51925
-0.03653546,7.520716,-27.05777,-11.34038,26.06025
-0.03653546,7.520716,-27.05777,-11.34038,26.41557
-0.03653546,7.520716,-27.05777,-11.34038,14.73914
-0.03653546,7.520716,-27.05777,-11.34038,25.88986
-0.03653546,7.520716,-27.05777,-11.34038,5.414174
-0.03653546,7.520716,-27.05777,-11.34038,24.35179
-0.03653546,7.520716,-27.05777,-11.34038,17.97635
-0.03653546,7.520716,-27.05777,-11.34038,23.1031
-0.03653546,7.520716,-27.05777,-11.34038,27.37208
-0.03653546,7.520716,-27.05777,-11.34038,31.60598
-0.03653546,7.520716,-27.05777,-11.34038,16.37539
-0.03653546,7.520716,-27.05777,-11.34038,33.46101
-0.03653546,7.520716,-27.05777,-11.34038,26.51235
-0.03653546,7.520716,-27.05777,-11.34038,34.60066
-0.03653546,7.520716,-27.05777,-11.34038,21.47881
-0.03653546,7.520716,-27.05777,-11.34038,20.58103
-0.03653546,7.520716,-27.05777,-11.34038,14.98197
-0.03653546,7.520716,-27.05777,-11.34038,32.80513
-0.03653546,7.520716,-27.05777,-11.34038,45.55331
-0.03653546,7.520716,-27.05777,-11.34038,31.90182
-0.03653546,7.520716,-27.05777,-11.34038,12.60034
-0.03653546,7.520716,-27.05777,-11.34038,26.14738
-0.03653546,7.520716,-27.05777,-11.34038,24.94772
-0.03653546,7.520716,-27.05777,-11.34038,23.69479
-0.03653546,7.520716,-27.05777,-11.34038,14.23825
-0.03653546,7.520716,-27.05777,-11.34038,13.2425
-0.03653546,7.520716,-27.05777,-11.34038,43.9421
-0.03653546,7.520716,-27.05777,-11.34038,24.79919
-0.03653546,7.520716,-27.05777,-11.34038,29.89681
-0.03653546,7.520716,-27.05777,-11.34038,35.55314
-0.03653546,7.520716,-27.05777,-11.34038,29.67898
-0.03653546,7.520716,-27.05777,-11.34038,7.336747
-0.03653546,7.520716,-27.05777,-11.34038,9.620032
-0.03653546,7.520716,-27.05777,-11.34038,17.14971
-0.03653546,7.520716,-27.05777,-11.34038,8.924228
-0.03653546,7.520716,-27.05777,-11.34038,42.65132
-0.03653546,7.520716,-27.05777,-11.34038,32.92748
-0.03653546,7.520716,-27.05777,-11.34038,24.21054
-0.03653546,7.520716,-27.05777,-11.34038,5.694445
-0.03653546,7.520716,-27.05777,-11.34038,12.997
-0.03653546,7.520716,-27.05777,-11.34038,27.58607
-0.03653546,7.520716,-27.05777,-11.34038,33.23583
-0.03653546,7.520716,-27.05777,-11.34038,18.04814
-0.03653546,7.520716,-27.05777,-11.34038,25.47711
-0.03653546,7.520716,-27.05777,-11.34038,8.615246
-0.03653546,7.520716,-27.05777,-11.34038,35.38286
-0.03653546,7.520716,-27.05777,-11.34038,39.26824
-0.03653546,7.520716,-27.05777,-11.34038,9.267824
-0.03653546,7.520716,-27.05777,-11.34038,35.0308
-0.03653546,7.520716,-27.05777,-11.34038,27.249
-0.03653546,7.520716,-27.05777,-11.34038,13.78047
-0.03653546,7.520716,-27.05777,-11.34038,11.22771
-0.03653546,7.520716,-27.05777,-11.34038,9.078086
-0.03653546,7.520716,-27.05777,-11.34038,9.206195
-0.03653546,7.520716,-27.05777,-11.34038,36.2951
-0.03653546,7.520716,-27.05777,-11.34038,2.145342
-0.03653546,7.520716,-27.05777,-11.34038,13.74355
-0.03653546,7.520716,-27.05777,-11.34038,5.475712
-0.03653546,7.520716,-27.05777,-11.34038,39.95702
-0.03653546,7.520716,-27.05777,-11.34038,21.00644
-0.03653546,7.520716,-27.05777,-11.34038,25.72157
-0.03653546,7.520716,-27.05777,-11.34038,38.88965
-0.03653546,7.520716,-27.05777,-11.34038,31.633
-0.03653546,7.520716,-27.05777,-11.34038,46.33283
-0.03653546,7.520716,-27.05777,-11.34038,30.96902
-0.03653546,7.520716,-27.05777,-11.34038,12.55239
-0.03653546,7.520716,-27.05777,-11.34038,32.72427
-0.03653546,7.520716,-27.05777,-11.34038,0
-0.03653546,7.520716,-27.05777,-11.34038,36.59253
-0.03653546,7.520716,-27.05777,-11.34038,24.0287
-0.03653546,7.520716,-27.05777,-11.34038,2.539302
-0.03653546,7.520716,-27.05777,-11.34038,3.781476
-0.03653546,7.520716,-27.05777,-11.34038,10.80449
