patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
9.272847,14.61882,29.15938,-11.88807,17.64401
9.272847,14.61882,29.15938,-11.88807,5.586335
9.272847,14.61882,29.15938,-11.88807,33.02633
9.272847,14.61882,29.15938,-11.88807,20.24916
9.272847,14.61882,29.15938,-11.88807,20.70569
9.272847,14.61882,29.15938,-11.88807,8.76194
9.272847,14.61882,29.15938,-11.88807,8.153506
9.272847,14.61882,29.15938,-11.88807,6.640314
9.272847,14.61882,29.15938,-11.88807,12.94704
9.272847,14.61882,29.15938,-11.88807,12.25096
9.272847,14.61882,29.15938,-11.88807,13.60912
9.272847,14.61882,29.15938,-11.88807,8.097155
9.272847,14.61882,29.15938,-11.88807,16.0694
9.272847,14.61882,29.15938,-11.88807,18.7396
9.272847,14.61882,29.15938,-11.88807,22.46607
9.272847,14.61882,29.15938,-11.88807,13.92254
9.272847,14.61882,29.15938,-11.88807,4.254522
9.272847,14.61882,29.15938,-11.88807,33.38597
9.272847,14.61882,29.15938,-11.88807,15.69901
9.272847,14.61882,29.15938,-11.88807,15.85505
9.272847,14.61882,29.15938,-11.88807,20.44627
9.272847,14.61882,29.15938,-11.88807,29.01917
9.272847,14.61882,29.15938,-11.88807,21.33576
9.272847,14.61882,29.15938,-11.88807,7.680444
9.272847,14.61882,29.15938,-11.88807,7.944464
9.272847,14.61882,29.15938,-11.88807,16.574
9.272847,14.61882,29.15938,-11.88807,8.98744
9.272847,14.61882,29.15938,-11.88807,19.86144
9.272847,14.61882,29.15938,-11.88807,22.08885
9.272847,14.61882,29.15938,-11.88807,6.844092
9.272847,14.61882,29.15938,-11.88807,24.28425
9.272847,14.61882,29.15938,-11.88807,32.55643
9.272847,14.61882,29.15938,-11.88807,33.22702
9.272847,14.61882,29.15938,-11.88807,20.83631
9.272847,14.61882,29.15938,-11.88807,16.85258
9.272847,14.61882,29.15938,-11.88807,8.992935
9.272847,14.61882,29.15938,-11.88807,17.15463
9.272847,14.61882,29.15938,-11.88807,5.12769
9.272847,14.61882,29.15938,-11.88807,23.36765
9.272847,14.61882,29.15938,-11.88807,9.745163
9.272847,14.61882,29.15938,-11.88807,19.45942
9.272847,14.61882,29.15938,-11.88807,22.94262
9.272847,14.61882,29.15938,-11.88807,20.2064
9.272847,14.61882,29.15938,-11.88807,9.58815
9.272847,14.61882,29.15938,-11.88807,8.990235
9.272847,14.61882,29.15938,-11.88807,6.89044
9.272847,14.61882,29.15938,-11.88807,25.011
9.272847,14.61882,29.15938,-11.88807,25.40214
9.272847,14.61882,29.15938,-11.88807,21.29672
9.272847,14.61882,29.15938,-11.88807,8.669056
9.272847,14.61882,29.15938,-11.88807,34.48988
9.272847,14.61882,29.15938,-11.88807,16.78897
9.272847,14.61882,29.15938,-11.88807,22.4154
9.272847,14.61882,29.15938,-11.88807,8.951677
9.272847,14.61882,29.15938,-11.88807,9.027348
9.272847,14.61882,29.15938,-11.88807,25.78247
9.272847,14.61882,29.15938,-11.88807,31.56135
9.272847,14.61882,29.15938,-11.88807,5.784061
9.272847,14.61882,29.15938,-11.88807,17.85947
9.272847,14.61882,29.15938,-11.88807,2.251571
9.272847,14.61882,29.15938,-11.88807,11.94301
9.272847,14.61882,29.15938,-11.88807,6.674087
9.272847,14.61882,29.15938,-11.88807,11.98104
9.272847,14.61882,29.15938,-11.88807,9.202661
9.272847,14.61882,29.15938,-11.88807,35.22417
9.272847,14.61882,29.15938,-11.88807,15.72576
9.272847,14.61882,29.15938,-11.88807,14.85704
9.272847,14.61882,29.15938,-11.88807,16.37752
9.272847,14.61882,29.15938,-11.88807,22.62688
9.272847,14.61882,29.15938,-11.88807,20.57464
9.272847,14.61882,29.15938,-11.88807,3.901017
9.272847,14.61882,29.15938,-11.88807,24.43181
9.272847,14.61882,29.15938,-11.88807,7.273138
9.272847,14.61882,29.15938,-11.88807,15.67903
9.272847,14.61882,29.15938,-11.88807,14.74241
9.272847,14.61882,29.15938,-11.88807,20.60341
9.272847,14.61882,29.15938,-11.88807,20.60274
9.272847,14.61882,29.15938,-11.88807,13.31668
9.272847,14.61882,29.15938,-11.88807,8.969966
9.272847,14.61882,29.15938,-11.88807,19.34367
9.272847,14.61882,29.15938,-11.88807,9.768414
9.272847,14.61882,29.15938,-11.88807,15.90602
9.272847,14.61882,29.15938,-11.88807,10.23097
9.272847,14.61882,29.15938,-11.88807,17.53488
9.272847,14.61882,29.15938,-11.88807,20.60188
9.272847,14.61882,29.15938,-11.88807,17.14217
9.272847,14.61882,29.15938,-11.88807,9.156908
9.272847,14.61882,29.15938,-11.88807,9.065365
9.272847,14.61882,29.15938,-11.88807,17.29101
9.272847,14.61882,29.15938,-11.88807,8.848728
9.272847,14.61882,29.15938,-11.88807,4.316161
9.272847,14.61882,29.15938,-11.88807,7.953838
