patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
36.0671,21.29139,16.16061,-12.60098,44.29427
36.0671,21.29139,16.16061,-12.60098,52.22774
36.0671,21.29139,16.16061,-12.60098,54.03533
36.0671,21.29139,16.16061,-12.60098,45.52245
36.0671,21.29139,16.16061,-12.60098,50.19032
36.0671,21.29139,16.16061,-12.60098,47.75603
36.0671,21.29139,16.16061,-12.60098,48.36537
36.0671,21.29139,16.16061,-12.60098,53.02794
36.0671,21.29139,16.16061,-12.60098,46.83669
36.0671,21.29139,16.16061,-12.60098,52.97909
36.0671,21.29139,16.16061,-12.60098,43.18033
36.0671,21.29139,16.16061,-12.60098,42.95329
36.0671,21.29139,16.16061,-12.60098,48.25466
36.0671,21.29139,16.16061,-12.60098,54.58039
36.0671,21.29139,16.16061,-12.60098,54.71201
36.0671,21.29139,16.16061,-12.60098,51.04021
36.0671,21.29139,16.16061,-12.60098,44.49901
36.0671,21.29139,16.16061,-12.60098,47.59184
36.0671,21.29139,16.16061,-12.60098,50.58139
36.0671,21.29139,16.16061,-12.60098,54.66872
36.0671,21.29139,16.16061,-12.60098,53.97427
36.0671,21.29139,16.16061,-12.60098,40.47679
36.0671,21.29139,16.16061,-12.60098,50.64265
36.0671,21.29139,16.16061,-12.60098,51.80095
36.0671,21.29139,16.16061,-12.60098,53.44658
36.0671,21.29139,16.16061,-12.60098,49.38375
36.0671,21.29139,16.16061,-12.60098,39.22186
36.0671,21.29139,16.16061,-12.60098,43.24236
36.0671,21.29139,16.16061,-12.60098,40.24031
36.0671,21.29139,16.16061,-12.60098,42.40474
36.0671,21.29139,16.16061,-12.60098,52.19576
36.0671,21.29139,16.16061,-12.60098,53.52799
36.0671,21.29139,16.16061,-12.60098,53.14153
36.0671,21.29139,16.16061,-12.60098,50.41574
36.0671,21.29139,16.16061,-12.60098,46.74778
36.0671,21.29139,16.16061,-12.60098,48.7564
36.0671,21.29139,16.16061,-12.60098,53.53395
36.0671,21.29139,16.16061,-12.60098,45.95675
36.0671,21.29139,16.16061,-12.60098,51.946
36.0671,21.29139,16.16061,-12.60098,53.51138
36.0671,21.29139,16.16061,-12.60098,53.2266
36.0671,21.29139,16.16061,-12.60098,44.04554
36.0671,21.29139,16.16061,-12.60098,50.73259
36.0671,21.29139,16.16061,-12.60098,52.86711
36.0671,21.29139,16.16061,-12.60098,49.43023
36.0671,21.29139,16.16061,-12.60098,40.10457
36.0671,21.29139,16.16061,-12.60098,43.60939
36.0671,21.29139,16.16061,-12.60098,44.5139
36.0671,21.29139,16.16061,-12.60098,39.3497
36.0671,21.29139,16.16061,-12.60098,46.15741
36.0671,21.29139,16.16061,-12.60098,40.44413
36.0671,21.29139,16.16061,-12.60098,41.31116
36.0671,21.29139,16.16061,-12.60098,44.83883
36.0671,21.29139,16.16061,-12.60098,44.49355
36.0671,21.29139,16.16061,-12.60098,45.17897
36.0671,21.29139,16.16061,-12.60098,45.27051
36.0671,21.29139,16.16061,-12.60098,53.02436
36.0671,21.29139,16.16061,-12.60098,53.12459
36.0671,21.29139,16.16061,-12.60098,40.54202
36.0671,21.29139,16.16061,-12.60098,53.85361
36.0671,21.29139,16.16061,-12.60098,45.49535
36.0671,21.29139,16.16061,-12.60098,46.88419
36.0671,21.29139,16.16061,-12.60098,44.10732
36.0671,21.29139,16.16061,-12.60098,50.12777
36.0671,21.29139,16.16061,-12.60098,54.24796
36.0671,21.29139,16.16061,-12.60098,54.30669
36.0671,21.29139,16.16061,-12.60098,55.12572
36.0671,21.29139,16.16061,-12.60098,52.47519
36.0671,21.29139,16.16061,-12.60098,48.23388
36.0671,21.29139,16.16061,-12.60098,44.54909
36.0671,21.29139,16.16061,-12.60098,52.14474
36.0671,21.29139,16.16061,-12.60098,48.57183
36.0671,21.29139,16.16061,-12.60098,40.22978
36.0671,21.29139,16.16061,-12.60098,50.66035
36.0671,21.29139,16.16061,-12.60098,45.2934
36.0671,21.29139,16.16061,-12.60098,40.36022
36.0671,21.29139,16.16061,-12.60098,43.85441
36.0671,21.29139,16.16061,-12.60098,52.48878
36.0671,21.29139,16.16061,-12.60098,48.38905
36.0671,21.29139,16.16061,-12.60098,48.93207
36.0671,21.29139,16.16061,-12.60098,40.59417
36.0671,21.29139,16.16061,-12.60098,47.85939
36.0671,21.29139,16.16061,-12.60098,44.26682
36.0671,21.29139,16.16061,-12.60098,49.83688
36.0671,21.29139,16.16061,-12.60098,53.6769
36.0671,21.29139,16.16061,-12.60098,44.92664
