patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
10.2591,-6.734232,-2.412536,16.21708,48.49323
10.2591,-6.734232,-2.412536,16.21708,29.58899
10.2591,-6.734232,-2.412536,16.21708,34.60934
10.2591,-6.734232,-2.412536,16.21708,40.18983
10.2591,-6.734232,-2.412536,16.21708,43.07979
10.2591,-6.734232,-2.412536,16.21708,30.99323
10.2591,-6.734232,-2.412536,16.21708,45.64745
10.2591,-6.734232,-2.412536,16.21708,39.78268
10.2591,-6.734232,-2.412536,16.21708,34.60313
10.2591,-6.734232,-2.412536,16.21708,37.52567
10.2591,-6.734232,-2.412536,16.21708,29.96121
10.2591,-6.734232,-2.412536,16.21708,48.8679
10.2591,-6.734232,-2.412536,16.21708,36.51343
10.2591,-6.734232,-2.412536,16.21708,33.33566
10.2591,-6.734232,-2.412536,16.21708,39.94622
10.2591,-6.734232,-2.412536,16.21708,34.33795
10.2591,-6.734232,-2.412536,16.21708,42.3857
10.2591,-6.734232,-2.412536,16.21708,43.56266
10.2591,-6.734232,-2.412536,16.21708,30.13292
10.2591,-6.734232,-2.412536,16.21708,32.69217
10.2591,-6.734232,-2.412536,16.21708,49.99086
10.2591,-6.734232,-2.412536,16.21708,32.5269
10.2591,-6.734232,-2.412536,16.21708,37.65629
10.2591,-6.734232,-2.412536,16.21708,46.59782
10.2591,-6.734232,-2.412536,16.21708,46.43085
10.2591,-6.734232,-2.412536,16.21708,42.95947
10.2591,-6.734232,-2.412536,16.21708,44.4295
10.2591,-6.734232,-2.412536,16.21708,24.55802
10.2591,-6.734232,-2.412536,16.21708,31.47211
10.2591,-6.734232,-2.412536,16.21708,42.68446
10.2591,-6.734232,-2.412536,16.21708,33.30757
10.2591,-6.734232,-2.412536,16.21708,30.2645
10.2591,-6.734232,-2.412536,16.21708,48.63937
10.2591,-6.734232,-2.412536,16.21708,44.41708
10.2591,-6.734232,-2.412536,16.21708,35.95831
10.2591,-6.734232,-2.412536,16.21708,43.49333
10.2591,-6.734232,-2.412536,16.21708,36.89498
10.2591,-6.734232,-2.412536,16.21708,42.33087
10.2591,-6.734232,-2.412536,16.21708,46.96686
10.2591,-6.734232,-2.412536,16.21708,38.7091
10.2591,-6.734232,-2.412536,16.21708,34.20254
10.2591,-6.734232,-2.412536,16.21708,38.91032
10.2591,-6.734232,-2.412536,16.21708,31.06856
10.2591,-6.734232,-2.412536,16.21708,44.7377
10.2591,-6.734232,-2.412536,16.21708,39.81546
10.2591,-6.734232,-2.412536,16.21708,29.71982
10.2591,-6.734232,-2.412536,16.21708,33.57878
10.2591,-6.734232,-2.412536,16.21708,40.8349
10.2591,-6.734232,-2.412536,16.21708,35.37601
10.2591,-6.734232,-2.412536,16.21708,45.97894
10.2591,-6.734232,-2.412536,16.21708,44.3539
10.2591,-6.734232,-2.412536,16.21708,40.61433
10.2591,-6.734232,-2.412536,16.21708,40.45889
10.2591,-6.734232,-2.412536,16.21708,46.52875
10.2591,-6.734232,-2.412536,16.21708,31.59921
10.2591,-6.734232,-2.412536,16.21708,35.07403
10.2591,-6.734232,-2.412536,16.21708,41.72942
10.2591,-6.734232,-2.412536,16.21708,30.51998
10.2591,-6.734232,-2.412536,16.21708,43.35377
10.2591,-6.734232,-2.412536,16.21708,45.58503
10.2591,-6.734232,-2.412536,16.21708,33.61978
