surface_dist,mean_patchiness,mean_phi,num_points
2,0.6320589,-5.297386,177
3,0.4928344,-5.549105,366
4,0.3739829,-4.422319,626
5,0.3316092,-2.395165,960
6,0.3497724,1.208379,1346
7,0.3694977,2.593412,1828
8,0.3636298,2.132179,2458
9,0.3501708,1.909242,3203
10,0.3151346,1.626441,4120
11,0.2914663,2.043804,5226
12,0.2881518,2.099357,6525
13,0.2869888,2.077771,7967
14,0.2872338,1.954156,9510
15,0.2949745,2.077559,11317
16,0.3022431,2.275836,13351
17,0.3058284,2.354732,15442
18,0.3156515,2.74982,17933
19,0.3270669,3.428395,20803
20,0.3361964,3.5221,23666
21,0.3471196,3.461035,26455
22,0.3564262,3.493878,29095
23,0.3630275,3.494031,31797
24,0.3680547,3.466947,34505
25,0.3722669,3.520442,37264
26,0.3741715,3.600878,40168
27,0.3746241,3.717389,42950
28,0.3755244,3.703054,45652
29,0.3763479,3.563301,48198
30,0.375709,3.41818,50538
31,0.3732683,3.457938,52967
32,0.3701628,3.503968,55468
33,0.3678263,3.491891,58009
34,0.367433,3.39523,60521
35,0.3678431,3.3644,63047
36,0.3711632,3.366107,65611
37,0.3751919,3.3881,67936
38,0.3803208,3.381223,70085
39,0.383577,3.26809,72062
40,0.3850972,3.134229,73943
41,0.3839017,3.077712,75775
42,0.3823526,3.12358,77613
43,0.3797674,3.200077,79207
44,0.3772747,3.171983,80518
45,0.3774333,3.154243,81692
46,0.3780262,3.141687,82770
47,0.3777109,3.20004,83584
48,0.3768065,3.230667,84312
49,0.3760664,3.225362,84792
50,0.3759003,3.219337,85133
51,0.3757955,3.189747,85403
52,0.3761162,3.116136,85633
53,0.376719,3.05593,85851
54,0.3772942,3.022233,86006
55,0.3773743,3.018047,86018
