surface_dist,mean_patchiness,mean_phi,num_points
2,0.9987898,51.10682,187
3,0.9767618,46.89311,436
4,0.9305312,40.235,810
5,0.8783695,30.46457,1292
6,0.8184521,23.04433,1872
7,0.7630445,18.43682,2477
8,0.7168273,15.71719,3029
9,0.6839266,13.26877,3668
10,0.6682593,11.44256,4434
11,0.6641157,10.6899,5246
12,0.6441308,10.10645,6132
13,0.6141964,9.488434,7084
14,0.5909429,9.416528,8122
15,0.5819264,9.431869,9256
16,0.5806354,9.695184,10443
17,0.5749399,10.20078,11641
18,0.5579623,9.935251,12887
19,0.5368168,9.546232,14193
20,0.5181431,8.966616,15581
21,0.5034176,7.860759,17050
22,0.4971468,6.671173,18618
23,0.4927951,5.990986,20309
24,0.4934475,5.52793,22045
25,0.4921983,5.102148,23828
26,0.4861909,4.770589,25689
27,0.4835898,4.41587,27579
28,0.4817964,4.127985,29566
29,0.479388,4.010999,31790
30,0.4744877,3.790421,34074
31,0.4689111,3.573193,36433
32,0.4642242,3.302243,38756
33,0.4593813,2.956604,41226
34,0.4587021,2.737104,43699
35,0.461767,2.763279,46137
36,0.4637603,2.708783,48400
37,0.4643572,2.736298,50537
38,0.4637387,2.826399,52627
39,0.4627002,2.916193,54726
40,0.4615614,2.894569,56856
41,0.4622758,2.77417,59060
42,0.4648954,2.762013,61351
43,0.4653488,2.840677,63636
44,0.4646841,2.941759,66009
45,0.4631825,3.024737,68333
46,0.4606745,3.063581,70743
47,0.4605467,3.151292,73115
48,0.4611018,3.202777,75367
49,0.4627508,3.295732,77295
50,0.4644489,3.342398,79263
51,0.4651761,3.302405,80934
52,0.465261,3.186669,82312
53,0.4665335,3.066531,83390
54,0.4667905,2.964062,84247
55,0.4666393,2.890887,84972
56,0.4661195,2.89415,85537
57,0.4658687,2.904593,85987
58,0.4659551,2.895014,86368
59,0.4661512,2.868565,86578
60,0.4662093,2.8646,86589
