radius,mean_patchiness,mean_phi,num_points
2,0.1806345,-2.403342,76
3,0.3186985,-4.777749,340
4,0.2880776,-5.366112,853
5,0.2129984,-2.573117,1475
6,0.2407884,0.09116229,2378
7,0.2887373,0.9912404,3540
8,0.3191415,1.465729,5129
9,0.3459304,2.613195,7003
10,0.390671,4.01718,9186
11,0.4262652,5.231824,11539
12,0.4567013,5.413193,14173
13,0.4704708,5.556453,16971
14,0.4680675,5.390209,19638
15,0.4574914,5.188719,22670
16,0.4550387,4.789394,26316
17,0.4607286,4.612013,30628
18,0.4725201,4.285473,36177
19,0.4783481,4.015975,41849
20,0.4761785,3.693526,46245
21,0.4726582,3.591826,50377
22,0.4734257,3.50615,54490
23,0.4718086,3.435793,58688
24,0.4661208,3.191511,64369
25,0.4612322,3.095638,70438
26,0.4573779,3.287524,76508
27,0.4560602,3.358864,83148
28,0.457327,3.498161,90006
29,0.4558198,3.620999,96853
30,0.452467,3.644372,103880
31,0.4507893,3.518531,110432
32,0.4493099,3.455307,117024
33,0.4434316,3.304367,123620
34,0.4404607,3.238438,129098
35,0.4409107,3.258628,133861
36,0.4389709,3.231791,138198
37,0.4373737,3.260418,141973
38,0.4376671,3.248707,145977
39,0.4397292,3.258703,149327
40,0.4401531,3.247486,151761
41,0.4383106,3.211472,154174
42,0.4350997,3.122856,156193
43,0.4339935,3.116905,156939
44,0.4336599,3.098608,157293
45,0.4337288,3.095058,157319
