surface_dist,mean_patchiness,mean_phi,num_points
2,0.3566884,-5.239217,166
3,0.3754246,-7.564803,385
4,0.2945362,-6.219935,724
5,0.2390936,-3.595457,1161
6,0.234571,-1.323479,1736
7,0.2533146,0.4587978,2480
8,0.2712148,1.265279,3381
9,0.2932534,1.851085,4414
10,0.3242872,2.645873,5616
11,0.3664697,3.491963,7024
12,0.4077675,4.114954,8862
13,0.4306631,4.484802,11008
14,0.4436508,4.771325,13624
15,0.4491456,4.812487,16480
16,0.4479162,4.516216,19491
17,0.4434595,4.402169,22478
18,0.4442001,4.39791,25443
19,0.4519125,4.308052,28515
20,0.461055,4.067843,31524
21,0.4678045,4.043807,34379
22,0.4723453,4.187987,37215
23,0.4754608,4.138113,40120
24,0.4771236,3.971579,43221
25,0.4762794,3.699017,46376
26,0.4757291,3.388495,49462
27,0.4728858,3.159789,52622
28,0.4680074,3.005349,55992
29,0.4635453,2.891345,59543
30,0.4615416,2.836506,63400
31,0.4589965,2.760884,67510
32,0.4568235,2.813716,71822
33,0.4578871,2.931662,76235
34,0.4599592,3.158435,80940
35,0.4614711,3.319036,85800
36,0.459958,3.463291,90555
37,0.4559309,3.500975,95031
38,0.4527483,3.439495,99223
39,0.4517875,3.428509,103439
40,0.451436,3.490293,107578
41,0.4510261,3.55319,111689
42,0.4493605,3.600976,115742
43,0.4461558,3.562066,119691
44,0.4433272,3.482145,123717
45,0.442995,3.469491,127842
46,0.4446132,3.472496,131917
47,0.4447419,3.445823,135821
48,0.4439151,3.396679,139252
49,0.4430898,3.381102,142131
50,0.4419436,3.359677,144605
51,0.4402398,3.35423,146862
52,0.4384684,3.310613,148800
53,0.4369659,3.262019,150286
54,0.4358658,3.231734,151594
55,0.4348486,3.231012,152744
56,0.4340877,3.228996,153836
57,0.4332458,3.211666,154888
58,0.4323678,3.198117,155800
59,0.4318947,3.186257,156422
60,0.4321658,3.155039,156816
61,0.4328883,3.129785,157080
62,0.4334842,3.106385,157246
63,0.4337288,3.095058,157319
