patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-0.8528545,-23.51387,29.9544,17.57718,6.84463
-0.8528545,-23.51387,29.9544,17.57718,25.55552
-0.8528545,-23.51387,29.9544,17.57718,17.18945
-0.8528545,-23.51387,29.9544,17.57718,5.092747
-0.8528545,-23.51387,29.9544,17.57718,28.12585
-0.8528545,-23.51387,29.9544,17.57718,29.41836
-0.8528545,-23.51387,29.9544,17.57718,46.17208
-0.8528545,-23.51387,29.9544,17.57718,27.6655
-0.8528545,-23.51387,29.9544,17.57718,42.84196
-0.8528545,-23.51387,29.9544,17.57718,14.78679
-0.8528545,-23.51387,29.9544,17.57718,44.91008
-0.8528545,-23.51387,29.9544,17.57718,26.67256
-0.8528545,-23.51387,29.9544,17.57718,23.06403
-0.8528545,-23.51387,29.9544,17.57718,50.80307
-0.8528545,-23.51387,29.9544,17.57718,18.70834
-0.8528545,-23.51387,29.9544,17.57718,11.93864
-0.8528545,-23.51387,29.9544,17.57718,24.36802
-0.8528545,-23.51387,29.9544,17.57718,46.91504
-0.8528545,-23.51387,29.9544,17.57718,20.49751
-0.8528545,-23.51387,29.9544,17.57718,10.43659
-0.8528545,-23.51387,29.9544,17.57718,27.59283
-0.8528545,-23.51387,29.9544,17.57718,9.961664
-0.8528545,-23.51387,29.9544,17.57718,37.22581
-0.8528545,-23.51387,29.9544,17.57718,21.55959
-0.8528545,-23.51387,29.9544,17.57718,3.022281
-0.8528545,-23.51387,29.9544,17.57718,15.01826
-0.8528545,-23.51387,29.9544,17.57718,29.78337
-0.8528545,-23.51387,29.9544,17.57718,44.94359
-0.8528545,-23.51387,29.9544,17.57718,42.41187
-0.8528545,-23.51387,29.9544,17.57718,43.50706
-0.8528545,-23.51387,29.9544,17.57718,36.24993
-0.8528545,-23.51387,29.9544,17.57718,14.66222
-0.8528545,-23.51387,29.9544,17.57718,15.76066
-0.8528545,-23.51387,29.9544,17.57718,42.95699
-0.8528545,-23.51387,29.9544,17.57718,13.03216
-0.8528545,-23.51387,29.9544,17.57718,50.55984
-0.8528545,-23.51387,29.9544,17.57718,26.87226
-0.8528545,-23.51387,29.9544,17.57718,48.02636
-0.8528545,-23.51387,29.9544,17.57718,20.21752
-0.8528545,-23.51387,29.9544,17.57718,26.50199
-0.8528545,-23.51387,29.9544,17.57718,49.89884
-0.8528545,-23.51387,29.9544,17.57718,16.42427
-0.8528545,-23.51387,29.9544,17.57718,28.42378
-0.8528545,-23.51387,29.9544,17.57718,49.39457
-0.8528545,-23.51387,29.9544,17.57718,17.51114
-0.8528545,-23.51387,29.9544,17.57718,43.3292
