radius,mean_patchiness,mean_phi,num_points
2,0.9442567,-12.35591,110
3,0.8725627,-22.30467,475
4,0.7725363,-15.94965,1104
5,0.7180963,-12.86043,1618
6,0.7012009,-11.55024,2141
7,0.6778182,-11.00978,2808
8,0.649291,-9.415149,3748
9,0.6011613,-7.66591,4754
10,0.554002,-6.415351,5846
11,0.5121084,-5.44641,7196
12,0.4829185,-4.72439,8343
13,0.4563056,-4.462558,9686
14,0.4309285,-3.93781,11663
15,0.4073758,-3.145586,13215
16,0.386569,-2.369232,14966
17,0.366165,-2.01017,16838
18,0.3498783,-1.876989,18761
19,0.3424913,-1.94094,20661
20,0.3383131,-2.043275,22699
21,0.3310423,-1.977777,24841
22,0.329524,-1.730186,27250
23,0.3334047,-1.678312,29744
24,0.3364195,-1.4969,32327
25,0.3430462,-1.331584,35783
26,0.3513618,-0.9954444,39761
27,0.3656412,-0.3651032,44854
28,0.3756776,0.1943108,49958
29,0.3859877,1.25596,54872
30,0.3928308,1.762147,59280
31,0.3994074,2.040466,62972
32,0.4055307,2.294979,66372
33,0.4083273,2.36984,69259
34,0.4078017,2.512409,72396
35,0.4063793,2.565851,75584
36,0.4052551,2.510995,78416
37,0.4047515,2.489351,81228
38,0.4039044,2.423897,83656
39,0.4032554,2.430376,86003
40,0.4033898,2.391638,89013
41,0.404079,2.278836,92817
42,0.4032004,2.191347,96579
43,0.4010289,2.181695,99186
44,0.397132,2.172673,101899
45,0.3942047,2.161426,104558
46,0.3923207,2.130459,106855
47,0.3899489,2.089218,109134
48,0.3878472,2.083254,111421
49,0.385699,2.060884,113538
50,0.3833022,2.065512,115486
51,0.3810222,2.104249,117157
52,0.3793384,2.109486,119594
53,0.3789138,2.094716,121419
54,0.3803644,2.047713,122554
55,0.3821128,2.030462,123115
56,0.383547,2.040933,123493
57,0.3848921,2.081572,123790
58,0.3850062,2.091873,123815
