patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
1.752991,-26.57442,11.53629,-13.53885,39.77551
1.752991,-26.57442,11.53629,-13.53885,49.69784
1.752991,-26.57442,11.53629,-13.53885,41.97124
1.752991,-26.57442,11.53629,-13.53885,57.20556
1.752991,-26.57442,11.53629,-13.53885,38.15425
1.752991,-26.57442,11.53629,-13.53885,62.93451
1.752991,-26.57442,11.53629,-13.53885,32.27669
1.752991,-26.57442,11.53629,-13.53885,53.15312
1.752991,-26.57442,11.53629,-13.53885,60.45087
1.752991,-26.57442,11.53629,-13.53885,38.68931
1.752991,-26.57442,11.53629,-13.53885,36.81912
1.752991,-26.57442,11.53629,-13.53885,34.74705
1.752991,-26.57442,11.53629,-13.53885,37.25129
1.752991,-26.57442,11.53629,-13.53885,54.03083
1.752991,-26.57442,11.53629,-13.53885,53.69289
1.752991,-26.57442,11.53629,-13.53885,30.68493
1.752991,-26.57442,11.53629,-13.53885,36.91101
1.752991,-26.57442,11.53629,-13.53885,51.18783
1.752991,-26.57442,11.53629,-13.53885,63.95731
1.752991,-26.57442,11.53629,-13.53885,62.82949
1.752991,-26.57442,11.53629,-13.53885,37.48699
1.752991,-26.57442,11.53629,-13.53885,28.20867
1.752991,-26.57442,11.53629,-13.53885,60.88784
1.752991,-26.57442,11.53629,-13.53885,58.32204
1.752991,-26.57442,11.53629,-13.53885,66.3765
1.752991,-26.57442,11.53629,-13.53885,33.64597
1.752991,-26.57442,11.53629,-13.53885,45.43734
1.752991,-26.57442,11.53629,-13.53885,63.14448
1.752991,-26.57442,11.53629,-13.53885,38.86211
1.752991,-26.57442,11.53629,-13.53885,37.11654
1.752991,-26.57442,11.53629,-13.53885,41.91768
1.752991,-26.57442,11.53629,-13.53885,46.6915
1.752991,-26.57442,11.53629,-13.53885,38.2466
1.752991,-26.57442,11.53629,-13.53885,42.28199
1.752991,-26.57442,11.53629,-13.53885,32.73056
1.752991,-26.57442,11.53629,-13.53885,28.12865
1.752991,-26.57442,11.53629,-13.53885,60.24167
1.752991,-26.57442,11.53629,-13.53885,44.31227
1.752991,-26.57442,11.53629,-13.53885,24.90767
1.752991,-26.57442,11.53629,-13.53885,24.70775
1.752991,-26.57442,11.53629,-13.53885,56.98592
1.752991,-26.57442,11.53629,-13.53885,39.79275
1.752991,-26.57442,11.53629,-13.53885,41.24119
1.752991,-26.57442,11.53629,-13.53885,40.78193
1.752991,-26.57442,11.53629,-13.53885,57.91319
1.752991,-26.57442,11.53629,-13.53885,44.44374
1.752991,-26.57442,11.53629,-13.53885,60.01054
1.752991,-26.57442,11.53629,-13.53885,56.28008
1.752991,-26.57442,11.53629,-13.53885,32.49871
1.752991,-26.57442,11.53629,-13.53885,62.46778
1.752991,-26.57442,11.53629,-13.53885,58.39764
1.752991,-26.57442,11.53629,-13.53885,54.36497
1.752991,-26.57442,11.53629,-13.53885,62.60008
1.752991,-26.57442,11.53629,-13.53885,32.13063
1.752991,-26.57442,11.53629,-13.53885,51.47408
1.752991,-26.57442,11.53629,-13.53885,30.76131
1.752991,-26.57442,11.53629,-13.53885,54.46181
1.752991,-26.57442,11.53629,-13.53885,60.38136
1.752991,-26.57442,11.53629,-13.53885,43.62371
1.752991,-26.57442,11.53629,-13.53885,55.47408
1.752991,-26.57442,11.53629,-13.53885,41.72536
1.752991,-26.57442,11.53629,-13.53885,60.31869
1.752991,-26.57442,11.53629,-13.53885,41.6381
1.752991,-26.57442,11.53629,-13.53885,60.96785
1.752991,-26.57442,11.53629,-13.53885,53.10652
1.752991,-26.57442,11.53629,-13.53885,36.08825
1.752991,-26.57442,11.53629,-13.53885,56.52594
1.752991,-26.57442,11.53629,-13.53885,33.35998
1.752991,-26.57442,11.53629,-13.53885,27.9884
1.752991,-26.57442,11.53629,-13.53885,45.07179
1.752991,-26.57442,11.53629,-13.53885,33.95483
1.752991,-26.57442,11.53629,-13.53885,60.61576
1.752991,-26.57442,11.53629,-13.53885,62.37462
1.752991,-26.57442,11.53629,-13.53885,63.85016
1.752991,-26.57442,11.53629,-13.53885,58.05325
1.752991,-26.57442,11.53629,-13.53885,58.46571
1.752991,-26.57442,11.53629,-13.53885,45.04009
1.752991,-26.57442,11.53629,-13.53885,33.86697
1.752991,-26.57442,11.53629,-13.53885,42.10199
1.752991,-26.57442,11.53629,-13.53885,36.01149
1.752991,-26.57442,11.53629,-13.53885,40.59101
1.752991,-26.57442,11.53629,-13.53885,34.45668
1.752991,-26.57442,11.53629,-13.53885,62.27759
1.752991,-26.57442,11.53629,-13.53885,36.88736
1.752991,-26.57442,11.53629,-13.53885,64.80949
1.752991,-26.57442,11.53629,-13.53885,42.86625
1.752991,-26.57442,11.53629,-13.53885,55.30719
1.752991,-26.57442,11.53629,-13.53885,62.35559
1.752991,-26.57442,11.53629,-13.53885,31.04895
1.752991,-26.57442,11.53629,-13.53885,65.61224
1.752991,-26.57442,11.53629,-13.53885,48.86014
1.752991,-26.57442,11.53629,-13.53885,37.00507
1.752991,-26.57442,11.53629,-13.53885,32.77448
1.752991,-26.57442,11.53629,-13.53885,44.66083
1.752991,-26.57442,11.53629,-13.53885,63.673
1.752991,-26.57442,11.53629,-13.53885,30.81488
1.752991,-26.57442,11.53629,-13.53885,45.82117
1.752991,-26.57442,11.53629,-13.53885,57.5463
1.752991,-26.57442,11.53629,-13.53885,64.90569
1.752991,-26.57442,11.53629,-13.53885,58.48196
1.752991,-26.57442,11.53629,-13.53885,60.22451
1.752991,-26.57442,11.53629,-13.53885,30.10776
1.752991,-26.57442,11.53629,-13.53885,39.79264
1.752991,-26.57442,11.53629,-13.53885,58.72382
1.752991,-26.57442,11.53629,-13.53885,57.06153
1.752991,-26.57442,11.53629,-13.53885,42.20034
1.752991,-26.57442,11.53629,-13.53885,34.84871
1.752991,-26.57442,11.53629,-13.53885,55.23232
1.752991,-26.57442,11.53629,-13.53885,59.65592
1.752991,-26.57442,11.53629,-13.53885,35.14935
1.752991,-26.57442,11.53629,-13.53885,32.79335
1.752991,-26.57442,11.53629,-13.53885,54.17219
1.752991,-26.57442,11.53629,-13.53885,34.20428
1.752991,-26.57442,11.53629,-13.53885,66.56368
1.752991,-26.57442,11.53629,-13.53885,46.54522
1.752991,-26.57442,11.53629,-13.53885,36.75774
1.752991,-26.57442,11.53629,-13.53885,64.75502
1.752991,-26.57442,11.53629,-13.53885,58.86995
1.752991,-26.57442,11.53629,-13.53885,48.09331
1.752991,-26.57442,11.53629,-13.53885,49.81907
1.752991,-26.57442,11.53629,-13.53885,36.98543
1.752991,-26.57442,11.53629,-13.53885,31.24947
1.752991,-26.57442,11.53629,-13.53885,65.42509
1.752991,-26.57442,11.53629,-13.53885,53.73345
1.752991,-26.57442,11.53629,-13.53885,56.05055
1.752991,-26.57442,11.53629,-13.53885,63.7784
1.752991,-26.57442,11.53629,-13.53885,42.08546
1.752991,-26.57442,11.53629,-13.53885,53.35505
1.752991,-26.57442,11.53629,-13.53885,57.74208
1.752991,-26.57442,11.53629,-13.53885,58.61057
1.752991,-26.57442,11.53629,-13.53885,34.43845
1.752991,-26.57442,11.53629,-13.53885,55.81003
1.752991,-26.57442,11.53629,-13.53885,53.67547
1.752991,-26.57442,11.53629,-13.53885,49.49211
1.752991,-26.57442,11.53629,-13.53885,63.22822
1.752991,-26.57442,11.53629,-13.53885,59.52797
1.752991,-26.57442,11.53629,-13.53885,57.44506
1.752991,-26.57442,11.53629,-13.53885,36.22301
1.752991,-26.57442,11.53629,-13.53885,58.39754
1.752991,-26.57442,11.53629,-13.53885,56.61996
1.752991,-26.57442,11.53629,-13.53885,61.74526
1.752991,-26.57442,11.53629,-13.53885,33.26134
1.752991,-26.57442,11.53629,-13.53885,29.25821
1.752991,-26.57442,11.53629,-13.53885,31.8778
1.752991,-26.57442,11.53629,-13.53885,39.66784
1.752991,-26.57442,11.53629,-13.53885,21.60754
1.752991,-26.57442,11.53629,-13.53885,40.42109
1.752991,-26.57442,11.53629,-13.53885,40.53473
1.752991,-26.57442,11.53629,-13.53885,55.08946
1.752991,-26.57442,11.53629,-13.53885,41.06556
1.752991,-26.57442,11.53629,-13.53885,67.87209
1.752991,-26.57442,11.53629,-13.53885,40.24258
1.752991,-26.57442,11.53629,-13.53885,61.38929
1.752991,-26.57442,11.53629,-13.53885,60.86576
1.752991,-26.57442,11.53629,-13.53885,66.57669
1.752991,-26.57442,11.53629,-13.53885,39.87307
1.752991,-26.57442,11.53629,-13.53885,42.65456
1.752991,-26.57442,11.53629,-13.53885,60.29949
1.752991,-26.57442,11.53629,-13.53885,41.32524
1.752991,-26.57442,11.53629,-13.53885,32.1517
1.752991,-26.57442,11.53629,-13.53885,41.69117
1.752991,-26.57442,11.53629,-13.53885,55.81736
1.752991,-26.57442,11.53629,-13.53885,56.28917
1.752991,-26.57442,11.53629,-13.53885,42.007
