surface_dist,mean_patchiness,mean_phi,num_points
2,0.4185252,6.633966,189
3,0.4262061,7.47735,414
4,0.4238397,4.473094,777
5,0.405682,3.022818,1265
6,0.3985858,1.5145,1867
7,0.3883996,1.17698,2510
8,0.3755784,1.495941,3228
9,0.3725648,2.511497,4037
10,0.392203,4.422002,4813
11,0.4034422,5.521904,5641
12,0.4076169,5.90051,6450
13,0.4063403,5.747796,7266
14,0.4114602,5.282373,8160
15,0.4270376,4.913684,9219
16,0.4495281,4.835536,10417
17,0.4752865,5.118127,11859
18,0.4887151,5.347848,13476
19,0.4998365,5.365309,15345
20,0.5101936,5.589805,17396
21,0.5183897,6.083425,19584
22,0.5316989,6.774689,21783
23,0.5434609,7.183647,24165
24,0.5564814,7.478179,26747
25,0.5721292,7.97949,29614
26,0.5882064,8.447001,32789
27,0.6000715,8.509198,36121
28,0.6054052,8.717347,39707
29,0.6043531,8.887334,43142
30,0.6013736,8.703259,46222
31,0.5960147,8.515407,49345
32,0.5892074,8.487181,52636
33,0.5816677,8.517398,55906
34,0.5727363,8.386492,59392
35,0.5629053,8.130946,63200
36,0.5522476,7.793044,67340
37,0.5394583,7.500998,71359
38,0.526619,7.147177,75416
39,0.5132405,6.789567,79798
40,0.499974,6.507596,84135
41,0.4873011,6.19248,88726
42,0.4770783,5.854228,93103
43,0.4675016,5.476438,97434
44,0.4574296,5.123919,101439
45,0.4501867,4.794396,105071
46,0.4452492,4.538524,108210
47,0.4402958,4.322333,111207
48,0.4359182,4.1623,113876
49,0.4313836,4.032156,116250
50,0.425459,3.951808,118413
51,0.4193296,3.878575,120465
52,0.4135454,3.797219,122477
53,0.4082699,3.724028,124501
54,0.4039038,3.674445,126680
55,0.3999916,3.607748,129052
56,0.3965214,3.536368,131352
57,0.3929841,3.476231,133660
58,0.3902718,3.438857,136007
59,0.3870071,3.39654,138258
60,0.3834499,3.366179,140436
61,0.3798519,3.344959,142679
62,0.3762054,3.300083,144995
63,0.3736265,3.251278,147463
64,0.3717043,3.226251,150001
65,0.3701843,3.222217,152566
66,0.3695771,3.19557,155269
67,0.3701359,3.173575,157999
68,0.3706099,3.165411,160761
69,0.3707606,3.172514,163771
70,0.3708905,3.204751,166855
71,0.371032,3.182215,169844
72,0.3716852,3.168768,172824
73,0.3727863,3.150224,175747
74,0.3757755,3.138612,178656
75,0.3782859,3.09587,181333
76,0.379799,3.077532,184103
77,0.3812172,3.029304,187027
78,0.3826076,2.961808,189755
79,0.3851345,2.882784,192396
80,0.3887669,2.774719,194927
81,0.3924374,2.645423,197485
82,0.3945465,2.52544,199779
83,0.3952013,2.447927,201479
84,0.395555,2.442691,202689
85,0.3958354,2.450944,203814
86,0.396291,2.442484,204826
87,0.3966564,2.414291,205712
88,0.3971798,2.380638,206602
89,0.3978055,2.329242,207422
90,0.3984973,2.24335,208283
91,0.3988341,2.177405,209125
92,0.3986205,2.146803,209847
93,0.3982923,2.127762,210455
94,0.3982222,2.115505,210844
95,0.3981567,2.113894,211059
96,0.3980916,2.114581,211192
97,0.3980464,2.114606,211234
