patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-3.148957,-1.120485,4.441912,-12.37005,13.63362
-3.148957,-1.120485,4.441912,-12.37005,41.42539
-3.148957,-1.120485,4.441912,-12.37005,49.40564
-3.148957,-1.120485,4.441912,-12.37005,35.89794
-3.148957,-1.120485,4.441912,-12.37005,25.08753
-3.148957,-1.120485,4.441912,-12.37005,30.13053
-3.148957,-1.120485,4.441912,-12.37005,30.04413
-3.148957,-1.120485,4.441912,-12.37005,14.69794
-3.148957,-1.120485,4.441912,-12.37005,31.96395
-3.148957,-1.120485,4.441912,-12.37005,9.304859
-3.148957,-1.120485,4.441912,-12.37005,41.22897
-3.148957,-1.120485,4.441912,-12.37005,23.10352
-3.148957,-1.120485,4.441912,-12.37005,13.9212
-3.148957,-1.120485,4.441912,-12.37005,30.41703
-3.148957,-1.120485,4.441912,-12.37005,38.44196
-3.148957,-1.120485,4.441912,-12.37005,12.74133
-3.148957,-1.120485,4.441912,-12.37005,14.64263
-3.148957,-1.120485,4.441912,-12.37005,10.45471
-3.148957,-1.120485,4.441912,-12.37005,31.46633
-3.148957,-1.120485,4.441912,-12.37005,29.00735
-3.148957,-1.120485,4.441912,-12.37005,52.27766
-3.148957,-1.120485,4.441912,-12.37005,20.90195
-3.148957,-1.120485,4.441912,-12.37005,20.68076
-3.148957,-1.120485,4.441912,-12.37005,26.9844
-3.148957,-1.120485,4.441912,-12.37005,49.7905
-3.148957,-1.120485,4.441912,-12.37005,37.4996
-3.148957,-1.120485,4.441912,-12.37005,15.51603
-3.148957,-1.120485,4.441912,-12.37005,41.50429
-3.148957,-1.120485,4.441912,-12.37005,26.33013
-3.148957,-1.120485,4.441912,-12.37005,33.97991
-3.148957,-1.120485,4.441912,-12.37005,30.31262
-3.148957,-1.120485,4.441912,-12.37005,48.51736
-3.148957,-1.120485,4.441912,-12.37005,5.879063
-3.148957,-1.120485,4.441912,-12.37005,43.78906
-3.148957,-1.120485,4.441912,-12.37005,3.391089
-3.148957,-1.120485,4.441912,-12.37005,11.64887
-3.148957,-1.120485,4.441912,-12.37005,29.97125
-3.148957,-1.120485,4.441912,-12.37005,21.34482
-3.148957,-1.120485,4.441912,-12.37005,31.42696
-3.148957,-1.120485,4.441912,-12.37005,42.12587
-3.148957,-1.120485,4.441912,-12.37005,30.34507
-3.148957,-1.120485,4.441912,-12.37005,36.0518
-3.148957,-1.120485,4.441912,-12.37005,35.62246
-3.148957,-1.120485,4.441912,-12.37005,32.04282
-3.148957,-1.120485,4.441912,-12.37005,9.892834
-3.148957,-1.120485,4.441912,-12.37005,47.67739
-3.148957,-1.120485,4.441912,-12.37005,18.69792
-3.148957,-1.120485,4.441912,-12.37005,24.68251
-3.148957,-1.120485,4.441912,-12.37005,31.05924
-3.148957,-1.120485,4.441912,-12.37005,33.96108
-3.148957,-1.120485,4.441912,-12.37005,35.74516
-3.148957,-1.120485,4.441912,-12.37005,30.10771
-3.148957,-1.120485,4.441912,-12.37005,29.75233
-3.148957,-1.120485,4.441912,-12.37005,37.37304
-3.148957,-1.120485,4.441912,-12.37005,40.80748
-3.148957,-1.120485,4.441912,-12.37005,31.9743
-3.148957,-1.120485,4.441912,-12.37005,33.40103
-3.148957,-1.120485,4.441912,-12.37005,19.15104
-3.148957,-1.120485,4.441912,-12.37005,42.47019
-3.148957,-1.120485,4.441912,-12.37005,28.97891
-3.148957,-1.120485,4.441912,-12.37005,3.21065
-3.148957,-1.120485,4.441912,-12.37005,9.209331
-3.148957,-1.120485,4.441912,-12.37005,45.84363
-3.148957,-1.120485,4.441912,-12.37005,14.35711
-3.148957,-1.120485,4.441912,-12.37005,34.69638
-3.148957,-1.120485,4.441912,-12.37005,7.745105
-3.148957,-1.120485,4.441912,-12.37005,29.068
-3.148957,-1.120485,4.441912,-12.37005,12.10019
-3.148957,-1.120485,4.441912,-12.37005,30.37338
-3.148957,-1.120485,4.441912,-12.37005,12.89527
-3.148957,-1.120485,4.441912,-12.37005,5.613904
-3.148957,-1.120485,4.441912,-12.37005,5.405252
-3.148957,-1.120485,4.441912,-12.37005,40.06961
-3.148957,-1.120485,4.441912,-12.37005,12.67436
-3.148957,-1.120485,4.441912,-12.37005,25.32261
-3.148957,-1.120485,4.441912,-12.37005,27.90285
-3.148957,-1.120485,4.441912,-12.37005,26.9481
-3.148957,-1.120485,4.441912,-12.37005,28.82635
-3.148957,-1.120485,4.441912,-12.37005,38.42761
-3.148957,-1.120485,4.441912,-12.37005,46.39069
-3.148957,-1.120485,4.441912,-12.37005,43.96005
-3.148957,-1.120485,4.441912,-12.37005,17.50641
-3.148957,-1.120485,4.441912,-12.37005,32.16361
-3.148957,-1.120485,4.441912,-12.37005,19.56482
-3.148957,-1.120485,4.441912,-12.37005,29.89871
-3.148957,-1.120485,4.441912,-12.37005,27.72813
-3.148957,-1.120485,4.441912,-12.37005,29.65022
-3.148957,-1.120485,4.441912,-12.37005,32.5183
-3.148957,-1.120485,4.441912,-12.37005,15.86506
-3.148957,-1.120485,4.441912,-12.37005,31.61323
-3.148957,-1.120485,4.441912,-12.37005,37.5714
-3.148957,-1.120485,4.441912,-12.37005,18.70253
-3.148957,-1.120485,4.441912,-12.37005,8.243157
-3.148957,-1.120485,4.441912,-12.37005,20.22214
-3.148957,-1.120485,4.441912,-12.37005,12.75551
-3.148957,-1.120485,4.441912,-12.37005,25.48762
-3.148957,-1.120485,4.441912,-12.37005,18.27502
-3.148957,-1.120485,4.441912,-12.37005,16.64516
-3.148957,-1.120485,4.441912,-12.37005,21.92405
-3.148957,-1.120485,4.441912,-12.37005,32.29312
-3.148957,-1.120485,4.441912,-12.37005,44.8879
-3.148957,-1.120485,4.441912,-12.37005,29.86884
-3.148957,-1.120485,4.441912,-12.37005,32.09898
-3.148957,-1.120485,4.441912,-12.37005,18.02705
-3.148957,-1.120485,4.441912,-12.37005,30.19765
-3.148957,-1.120485,4.441912,-12.37005,38.13243
-3.148957,-1.120485,4.441912,-12.37005,3.653225
-3.148957,-1.120485,4.441912,-12.37005,6.171658
-3.148957,-1.120485,4.441912,-12.37005,13.93092
-3.148957,-1.120485,4.441912,-12.37005,16.10219
-3.148957,-1.120485,4.441912,-12.37005,49.24876
-3.148957,-1.120485,4.441912,-12.37005,35.16216
-3.148957,-1.120485,4.441912,-12.37005,26.90314
-3.148957,-1.120485,4.441912,-12.37005,17.34275
-3.148957,-1.120485,4.441912,-12.37005,36.83027
-3.148957,-1.120485,4.441912,-12.37005,16.7118
-3.148957,-1.120485,4.441912,-12.37005,7.373391
-3.148957,-1.120485,4.441912,-12.37005,29.71994
-3.148957,-1.120485,4.441912,-12.37005,11.6361
-3.148957,-1.120485,4.441912,-12.37005,13.66989
-3.148957,-1.120485,4.441912,-12.37005,29.59555
-3.148957,-1.120485,4.441912,-12.37005,38.58893
-3.148957,-1.120485,4.441912,-12.37005,13.82225
-3.148957,-1.120485,4.441912,-12.37005,49.01312
-3.148957,-1.120485,4.441912,-12.37005,7.739175
-3.148957,-1.120485,4.441912,-12.37005,24.94491
-3.148957,-1.120485,4.441912,-12.37005,30.06033
-3.148957,-1.120485,4.441912,-12.37005,35.10693
-3.148957,-1.120485,4.441912,-12.37005,49.3658
-3.148957,-1.120485,4.441912,-12.37005,42.09535
-3.148957,-1.120485,4.441912,-12.37005,49.8759
-3.148957,-1.120485,4.441912,-12.37005,25.7188
-3.148957,-1.120485,4.441912,-12.37005,20.02741
-3.148957,-1.120485,4.441912,-12.37005,32.84381
-3.148957,-1.120485,4.441912,-12.37005,19.84282
-3.148957,-1.120485,4.441912,-12.37005,19.34289
-3.148957,-1.120485,4.441912,-12.37005,21.50467
-3.148957,-1.120485,4.441912,-12.37005,32.75311
-3.148957,-1.120485,4.441912,-12.37005,23.03629
-3.148957,-1.120485,4.441912,-12.37005,29.3264
-3.148957,-1.120485,4.441912,-12.37005,33.18971
-3.148957,-1.120485,4.441912,-12.37005,11.18474
-3.148957,-1.120485,4.441912,-12.37005,47.2445
-3.148957,-1.120485,4.441912,-12.37005,32.03608
-3.148957,-1.120485,4.441912,-12.37005,11.9069
-3.148957,-1.120485,4.441912,-12.37005,19.61906
-3.148957,-1.120485,4.441912,-12.37005,32.20638
-3.148957,-1.120485,4.441912,-12.37005,7.828413
-3.148957,-1.120485,4.441912,-12.37005,22.48558
-3.148957,-1.120485,4.441912,-12.37005,27.18614
-3.148957,-1.120485,4.441912,-12.37005,28.81869
-3.148957,-1.120485,4.441912,-12.37005,28.44128
-3.148957,-1.120485,4.441912,-12.37005,30.93447
-3.148957,-1.120485,4.441912,-12.37005,38.12975
-3.148957,-1.120485,4.441912,-12.37005,49.98926
-3.148957,-1.120485,4.441912,-12.37005,42.95437
-3.148957,-1.120485,4.441912,-12.37005,37.68679
-3.148957,-1.120485,4.441912,-12.37005,11.65056
-3.148957,-1.120485,4.441912,-12.37005,7.263595
-3.148957,-1.120485,4.441912,-12.37005,15.99139
-3.148957,-1.120485,4.441912,-12.37005,31.96489
-3.148957,-1.120485,4.441912,-12.37005,32.57843
-3.148957,-1.120485,4.441912,-12.37005,13.07238
-3.148957,-1.120485,4.441912,-12.37005,18.22993
-3.148957,-1.120485,4.441912,-12.37005,45.42553
-3.148957,-1.120485,4.441912,-12.37005,12.35266
-3.148957,-1.120485,4.441912,-12.37005,38.95987
-3.148957,-1.120485,4.441912,-12.37005,29.55368
-3.148957,-1.120485,4.441912,-12.37005,15.58529
-3.148957,-1.120485,4.441912,-12.37005,5.064365
-3.148957,-1.120485,4.441912,-12.37005,35.91641
-3.148957,-1.120485,4.441912,-12.37005,27.19224
-3.148957,-1.120485,4.441912,-12.37005,31.41592
-3.148957,-1.120485,4.441912,-12.37005,49.35158
-3.148957,-1.120485,4.441912,-12.37005,47.98554
-3.148957,-1.120485,4.441912,-12.37005,11.83129
-3.148957,-1.120485,4.441912,-12.37005,5.842465
-3.148957,-1.120485,4.441912,-12.37005,3.91324
-3.148957,-1.120485,4.441912,-12.37005,18.18216
-3.148957,-1.120485,4.441912,-12.37005,46.07114
-3.148957,-1.120485,4.441912,-12.37005,15.40295
-3.148957,-1.120485,4.441912,-12.37005,36.12102
-3.148957,-1.120485,4.441912,-12.37005,8.715317
-3.148957,-1.120485,4.441912,-12.37005,23.42623
-3.148957,-1.120485,4.441912,-12.37005,11.11598
-3.148957,-1.120485,4.441912,-12.37005,35.04068
-3.148957,-1.120485,4.441912,-12.37005,28.41455
-3.148957,-1.120485,4.441912,-12.37005,30.23453
-3.148957,-1.120485,4.441912,-12.37005,10.61887
-3.148957,-1.120485,4.441912,-12.37005,42.10158
-3.148957,-1.120485,4.441912,-12.37005,4.763375
-3.148957,-1.120485,4.441912,-12.37005,6.735116
-3.148957,-1.120485,4.441912,-12.37005,13.74481
-3.148957,-1.120485,4.441912,-12.37005,4.540864
-3.148957,-1.120485,4.441912,-12.37005,49.60561
-3.148957,-1.120485,4.441912,-12.37005,30.43236
-3.148957,-1.120485,4.441912,-12.37005,15.44956
-3.148957,-1.120485,4.441912,-12.37005,15.18446
-3.148957,-1.120485,4.441912,-12.37005,46.82507
-3.148957,-1.120485,4.441912,-12.37005,38.21047
-3.148957,-1.120485,4.441912,-12.37005,35.57364
-3.148957,-1.120485,4.441912,-12.37005,29.96598
-3.148957,-1.120485,4.441912,-12.37005,5.247993
-3.148957,-1.120485,4.441912,-12.37005,15.7618
-3.148957,-1.120485,4.441912,-12.37005,28.71291
-3.148957,-1.120485,4.441912,-12.37005,48.93772
-3.148957,-1.120485,4.441912,-12.37005,14.75953
-3.148957,-1.120485,4.441912,-12.37005,7.946934
-3.148957,-1.120485,4.441912,-12.37005,8.119739
-3.148957,-1.120485,4.441912,-12.37005,41.19365
-3.148957,-1.120485,4.441912,-12.37005,15.55991
-3.148957,-1.120485,4.441912,-12.37005,30.25422
-3.148957,-1.120485,4.441912,-12.37005,18.68635
-3.148957,-1.120485,4.441912,-12.37005,20.12976
-3.148957,-1.120485,4.441912,-12.37005,14.96575
-3.148957,-1.120485,4.441912,-12.37005,29.85995
-3.148957,-1.120485,4.441912,-12.37005,43.75338
-3.148957,-1.120485,4.441912,-12.37005,1.93362
-3.148957,-1.120485,4.441912,-12.37005,29.98346
-3.148957,-1.120485,4.441912,-12.37005,36.26751
-3.148957,-1.120485,4.441912,-12.37005,36.05666
-3.148957,-1.120485,4.441912,-12.37005,7.043301
