surface_dist,mean_patchiness,mean_phi,num_points
2,0.644947,19.68572,179
3,0.639434,14.17879,405
4,0.5436283,11.40156,718
5,0.4526218,8.442899,1107
6,0.4251477,5.473946,1620
7,0.4035728,4.534795,2287
8,0.4098299,4.15861,3090
9,0.4443434,3.693149,4045
10,0.4585955,3.239346,5157
11,0.4559971,3.550446,6447
12,0.4411416,4.311865,7874
13,0.4192721,4.4197,9271
14,0.3991826,4.363598,10729
15,0.3924606,4.473721,12298
16,0.3914475,4.53774,14058
17,0.3939367,4.296506,15917
18,0.3938293,4.005897,17922
19,0.3935613,3.806338,20160
20,0.3969598,3.65329,22506
21,0.4046977,3.51957,25120
22,0.4106179,3.517625,27910
23,0.4149125,3.505352,30656
24,0.4165353,3.479282,33400
25,0.4181451,3.312994,36212
26,0.4226245,3.050177,39102
27,0.4294947,2.827939,42085
28,0.4346146,2.688029,44926
29,0.4370094,2.542598,47707
30,0.4352153,2.240062,50413
31,0.4335326,1.929267,53170
32,0.4351222,1.714202,55894
33,0.4381004,1.530349,58594
34,0.4387606,1.447443,61121
35,0.4394252,1.439398,63678
36,0.4400677,1.401278,66377
37,0.4400647,1.395498,69061
38,0.4414255,1.42523,71918
39,0.4435007,1.357204,74837
40,0.4446647,1.325404,77874
41,0.4437739,1.308974,81009
42,0.4427095,1.31971,84060
43,0.4428081,1.350658,86920
44,0.4423784,1.32867,89410
45,0.4421287,1.347605,91789
46,0.4425251,1.501775,94023
47,0.4433275,1.69546,96070
48,0.4440372,1.761632,98032
49,0.4444025,1.736777,100224
50,0.4439768,1.775379,102515
51,0.4434402,1.832716,104771
52,0.4426486,1.824179,107211
53,0.4424751,1.833168,109695
54,0.4411902,1.842982,112276
55,0.4384342,1.809533,114799
56,0.4357934,1.775009,117105
57,0.4338458,1.769965,119302
58,0.4323246,1.826442,121619
59,0.4316595,1.905006,123972
60,0.4316025,1.910927,126262
61,0.4317364,1.898653,128583
62,0.432364,1.873484,130839
63,0.433109,1.889679,133095
64,0.4332205,1.923386,135284
65,0.4329372,1.911707,137555
66,0.4334002,1.896853,139952
67,0.4337903,1.887684,142366
68,0.4339826,1.893863,144651
69,0.4329948,1.900063,146768
70,0.4314362,1.889315,148376
71,0.4302897,1.899302,149514
72,0.4296659,1.90183,150186
73,0.4293949,1.917,150587
74,0.4294053,1.940618,150889
75,0.4295408,1.957219,151070
76,0.429558,1.957962,151075
