surface_dist,mean_patchiness,mean_phi,num_points
2,0.6307912,15.30035,157
3,0.4897597,10.34186,364
4,0.3703806,5.619032,694
5,0.355673,4.786505,1124
6,0.3859741,6.757338,1684
7,0.4234931,9.65382,2327
8,0.4468995,12.3289,3089
9,0.4672178,14.09322,3964
10,0.4799358,14.31752,4923
11,0.4816875,13.96302,5900
12,0.4773215,12.75394,6937
13,0.4765637,11.42354,8101
14,0.4881451,10.1217,9443
15,0.4906444,8.633079,10918
16,0.4771785,7.293743,12529
17,0.4660219,6.358141,14304
18,0.4591231,5.613831,16259
19,0.4491913,5.25355,18181
20,0.4413344,5.004144,20192
21,0.429545,4.744378,22283
22,0.4209585,4.461578,24344
23,0.4220272,4.378654,26474
24,0.4282725,4.285023,28833
25,0.4348335,4.019398,31468
26,0.4320389,3.755627,34492
27,0.4262802,3.394181,37661
28,0.4204724,3.088264,40849
29,0.4121106,2.890466,43995
30,0.4054052,2.689048,47145
31,0.4006894,2.319757,50225
32,0.398365,2.071143,52929
33,0.3972941,2.080198,55344
34,0.3972197,2.179325,57621
35,0.396894,2.343641,59817
36,0.3971253,2.454942,61830
37,0.3980825,2.453994,63780
38,0.3986989,2.469121,65785
39,0.3985909,2.473846,67767
40,0.3967876,2.4681,69602
41,0.393889,2.477243,71395
42,0.3916751,2.442627,73033
43,0.3911491,2.391299,74511
44,0.3912452,2.401745,75854
45,0.3915627,2.377292,77120
46,0.3922626,2.292205,78298
47,0.392199,2.224066,79370
48,0.3919542,2.155926,80410
49,0.3922214,2.136944,81297
50,0.3922298,2.14516,82069
51,0.3927388,2.134758,82737
52,0.3942875,2.08363,83383
53,0.3956987,2.036712,83970
54,0.3967884,1.989922,84456
55,0.39755,1.962559,84583
56,0.3976166,1.958876,84593
