surface_dist,mean_patchiness,mean_phi,num_points
2,0.290506,-5.188424,43
3,0.3320393,-4.743906,95
4,0.3634986,-4.272296,163
5,0.3419462,-3.002027,254
6,0.3370825,-2.281635,363
7,0.3289163,-3.556255,501
8,0.3298291,-4.558097,664
9,0.3319396,-4.298955,862
10,0.3303888,-3.237153,1093
11,0.3498928,-1.938521,1353
12,0.378848,-0.7993916,1694
13,0.4095409,0.6842751,2091
14,0.4305914,1.511921,2509
15,0.4397145,1.840838,2920
16,0.446477,2.081281,3323
17,0.4499766,2.583129,3753
18,0.4547639,3.072273,4188
19,0.458777,2.973557,4611
20,0.4567502,2.826108,5044
21,0.4506964,2.687566,5496
22,0.4447974,2.760109,5975
23,0.4372645,3.022369,6483
24,0.4236908,2.853068,7001
25,0.4110939,2.705314,7536
26,0.4030058,2.711956,8104
27,0.4000466,2.508597,8728
28,0.3993397,2.238661,9361
29,0.4000288,1.890175,10024
30,0.4032331,1.636264,10782
31,0.4047866,1.533259,11580
32,0.4079731,1.401099,12426
33,0.4112149,1.264394,13351
34,0.4135835,1.320541,14304
35,0.4150523,1.357505,15253
36,0.4168952,1.286486,16218
37,0.4203663,1.04805,17201
38,0.4238331,0.9601222,18181
39,0.4282645,1.006244,19218
40,0.4336157,0.9651657,20332
41,0.43879,0.9321886,21419
42,0.4429688,0.9899225,22555
43,0.4470669,1.097473,23605
44,0.4489617,1.164597,24594
45,0.4484876,1.336031,25557
46,0.4472915,1.528377,26491
47,0.4445982,1.615626,27321
48,0.4431143,1.775156,28103
49,0.4422265,1.870654,28842
50,0.4416411,1.891195,29539
51,0.4412337,1.903624,30176
52,0.4403284,1.89084,30834
53,0.4402502,1.892535,31500
54,0.440467,1.890113,32164
55,0.4399275,1.906277,32810
56,0.4384204,1.918774,33368
57,0.4366919,1.978267,33890
58,0.4352404,2.054492,34412
59,0.4343048,2.061809,34902
60,0.4340734,2.012387,35369
61,0.4336492,1.900427,35785
62,0.432518,1.841797,36192
63,0.4317797,1.783801,36594
64,0.4314926,1.732607,36983
65,0.4316142,1.727065,37394
66,0.4326107,1.762594,37825
67,0.4340959,1.757806,38288
68,0.4355175,1.726046,38764
69,0.4366633,1.693509,39263
70,0.4377949,1.659611,39733
71,0.4391671,1.646626,40173
72,0.4404025,1.646662,40656
73,0.441038,1.635073,41153
74,0.4410651,1.652462,41633
75,0.4419924,1.704206,42143
76,0.4433746,1.754798,42634
77,0.4437278,1.783756,43022
78,0.4432176,1.79994,43407
79,0.442066,1.793221,43809
80,0.4401086,1.774445,44203
81,0.4382916,1.735369,44611
82,0.4365673,1.677031,45051
83,0.4349511,1.643378,45481
84,0.4336712,1.594099,45925
85,0.4320816,1.550299,46344
86,0.4310344,1.50774,46702
87,0.4299764,1.473288,47027
88,0.4289561,1.444952,47338
89,0.4283671,1.43936,47620
90,0.4273314,1.437564,47930
91,0.4261844,1.420724,48246
92,0.4253162,1.397195,48580
93,0.4246607,1.377706,48925
94,0.4242696,1.35701,49264
95,0.4236966,1.359748,49545
96,0.4228022,1.37708,49829
97,0.4219548,1.381247,50134
98,0.4215845,1.408295,50455
99,0.4215975,1.421718,50792
100,0.4213166,1.422765,51096
101,0.4210724,1.419,51385
102,0.4205252,1.40882,51660
103,0.4192401,1.398654,51946
104,0.417905,1.37155,52237
105,0.4169554,1.349803,52518
106,0.4161084,1.33469,52785
107,0.4155189,1.320399,53045
108,0.4154004,1.311399,53326
109,0.4152073,1.299909,53590
110,0.4148268,1.284076,53842
111,0.4141508,1.289978,54097
112,0.4134174,1.29574,54331
113,0.4130171,1.314104,54569
114,0.4131095,1.326489,54818
115,0.4133767,1.338255,55088
116,0.4135037,1.326853,55360
117,0.4137129,1.29115,55642
118,0.414125,1.254228,55924
119,0.4145696,1.20882,56222
120,0.4148884,1.171271,56488
121,0.4151784,1.142423,56770
122,0.4153307,1.142479,57072
123,0.4152288,1.159545,57366
124,0.4153487,1.152092,57678
125,0.4158587,1.129079,58004
126,0.417229,1.107593,58354
127,0.4181859,1.104585,58691
128,0.4185776,1.107107,59045
129,0.4189098,1.119581,59407
130,0.4189715,1.124285,59792
131,0.4188528,1.139718,60187
132,0.4188902,1.165096,60619
133,0.4192199,1.173253,61066
134,0.4196299,1.177578,61547
135,0.4197593,1.195529,62024
136,0.4197056,1.196278,62547
137,0.4196081,1.187161,63073
138,0.4195251,1.167064,63618
139,0.4196406,1.180007,64179
140,0.4195737,1.185457,64767
141,0.4189603,1.187377,65375
142,0.418281,1.183371,66078
143,0.4181685,1.154341,66789
144,0.4186735,1.125901,67576
145,0.419574,1.095985,68429
146,0.4198398,1.072012,69314
147,0.4193708,1.025049,70226
148,0.4194098,1.007688,71142
149,0.4195811,1.00473,72075
150,0.4195895,1.020099,73041
151,0.4191874,1.048267,74027
152,0.4183811,1.038038,75058
153,0.4179016,1.021174,76106
154,0.4168749,1.001214,77166
155,0.4151832,0.9867361,78233
156,0.4137229,0.979417,79245
157,0.412955,0.9681076,80176
158,0.4123031,0.9601259,81024
159,0.4120317,0.9666523,81833
160,0.4124624,1.000051,82587
161,0.4132685,1.003003,83203
162,0.4137816,0.9877036,83627
163,0.4142409,0.964502,83962
164,0.4146101,0.9533496,84234
165,0.4149716,0.9538053,84479
166,0.4152479,0.9585988,84730
167,0.4154041,0.9549918,84974
168,0.4154861,0.9457861,85214
169,0.4155951,0.9453599,85450
170,0.4157029,0.9544764,85697
171,0.415662,0.9725481,85964
172,0.4154994,0.9714252,86238
173,0.4154904,0.9607741,86510
174,0.4152462,0.9408486,86762
175,0.414951,0.9306111,87000
176,0.4147406,0.9217573,87257
177,0.4145502,0.9088413,87531
178,0.4146203,0.8844399,87834
179,0.4147865,0.8557741,88120
180,0.4152232,0.8205913,88398
181,0.4155647,0.8036558,88634
182,0.4160007,0.7895822,88860
183,0.4164377,0.7797219,89072
184,0.416658,0.781256,89259
185,0.4169463,0.7848028,89434
186,0.4171728,0.7973877,89605
187,0.4172589,0.7933168,89770
188,0.4173736,0.7824358,89938
189,0.417192,0.7763346,90112
190,0.4168291,0.7707269,90286
191,0.416491,0.7591906,90471
192,0.416359,0.7466133,90649
193,0.4163459,0.7488924,90845
194,0.4164236,0.7553722,91049
195,0.4164293,0.7515218,91213
196,0.4163906,0.7528242,91346
197,0.416425,0.7549544,91465
198,0.4163919,0.7556058,91576
199,0.4162862,0.7650856,91668
200,0.4164114,0.7756569,91745
201,0.4166179,0.7812377,91803
202,0.4168964,0.7928827,91847
203,0.4170983,0.8109274,91879
204,0.4172516,0.8289825,91904
205,0.417271,0.8307613,91907
