patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
26.37393,8.874742,6.023207,-12.86548,61.20821
26.37393,8.874742,6.023207,-12.86548,68.4588
26.37393,8.874742,6.023207,-12.86548,54.86687
26.37393,8.874742,6.023207,-12.86548,46.8411
26.37393,8.874742,6.023207,-12.86548,57.18887
26.37393,8.874742,6.023207,-12.86548,50.11501
26.37393,8.874742,6.023207,-12.86548,71.41544
26.37393,8.874742,6.023207,-12.86548,64.55499
26.37393,8.874742,6.023207,-12.86548,60.40285
26.37393,8.874742,6.023207,-12.86548,59.25443
26.37393,8.874742,6.023207,-12.86548,59.76255
26.37393,8.874742,6.023207,-12.86548,60.01154
26.37393,8.874742,6.023207,-12.86548,50.70277
26.37393,8.874742,6.023207,-12.86548,70.1544
26.37393,8.874742,6.023207,-12.86548,54.58592
26.37393,8.874742,6.023207,-12.86548,65.28741
26.37393,8.874742,6.023207,-12.86548,66.7553
26.37393,8.874742,6.023207,-12.86548,44.13636
26.37393,8.874742,6.023207,-12.86548,63.56309
26.37393,8.874742,6.023207,-12.86548,49.9385
26.37393,8.874742,6.023207,-12.86548,55.55201
26.37393,8.874742,6.023207,-12.86548,60.0378
26.37393,8.874742,6.023207,-12.86548,54.74998
26.37393,8.874742,6.023207,-12.86548,68.82104
26.37393,8.874742,6.023207,-12.86548,55.36415
26.37393,8.874742,6.023207,-12.86548,66.39436
26.37393,8.874742,6.023207,-12.86548,66.69069
26.37393,8.874742,6.023207,-12.86548,51.45238
26.37393,8.874742,6.023207,-12.86548,55.16901
26.37393,8.874742,6.023207,-12.86548,59.47738
26.37393,8.874742,6.023207,-12.86548,54.72264
26.37393,8.874742,6.023207,-12.86548,54.92812
26.37393,8.874742,6.023207,-12.86548,59.28156
26.37393,8.874742,6.023207,-12.86548,53.67062
26.37393,8.874742,6.023207,-12.86548,57.2243
26.37393,8.874742,6.023207,-12.86548,65.69731
26.37393,8.874742,6.023207,-12.86548,58.32417
26.37393,8.874742,6.023207,-12.86548,55.81959
26.37393,8.874742,6.023207,-12.86548,53.89452
26.37393,8.874742,6.023207,-12.86548,67.96745
26.37393,8.874742,6.023207,-12.86548,51.61522
26.37393,8.874742,6.023207,-12.86548,51.00959
26.37393,8.874742,6.023207,-12.86548,58.56058
26.37393,8.874742,6.023207,-12.86548,51.34901
26.37393,8.874742,6.023207,-12.86548,70.83014
26.37393,8.874742,6.023207,-12.86548,60.60754
26.37393,8.874742,6.023207,-12.86548,55.44112
26.37393,8.874742,6.023207,-12.86548,53.92363
26.37393,8.874742,6.023207,-12.86548,68.58588
26.37393,8.874742,6.023207,-12.86548,55.51759
26.37393,8.874742,6.023207,-12.86548,56.20313
26.37393,8.874742,6.023207,-12.86548,49.40753
26.37393,8.874742,6.023207,-12.86548,46.45885
26.37393,8.874742,6.023207,-12.86548,54.17553
26.37393,8.874742,6.023207,-12.86548,65.01971
26.37393,8.874742,6.023207,-12.86548,65.93023
26.37393,8.874742,6.023207,-12.86548,65.46969
26.37393,8.874742,6.023207,-12.86548,64.35594
26.37393,8.874742,6.023207,-12.86548,65.02801
26.37393,8.874742,6.023207,-12.86548,65.10088
26.37393,8.874742,6.023207,-12.86548,61.60692
26.37393,8.874742,6.023207,-12.86548,54.57602
26.37393,8.874742,6.023207,-12.86548,56.16578
26.37393,8.874742,6.023207,-12.86548,58.9879
26.37393,8.874742,6.023207,-12.86548,54.82316
26.37393,8.874742,6.023207,-12.86548,60.50084
26.37393,8.874742,6.023207,-12.86548,59.28056
26.37393,8.874742,6.023207,-12.86548,48.49743
26.37393,8.874742,6.023207,-12.86548,60.61194
26.37393,8.874742,6.023207,-12.86548,50.42999
26.37393,8.874742,6.023207,-12.86548,48.36517
26.37393,8.874742,6.023207,-12.86548,60.42678
26.37393,8.874742,6.023207,-12.86548,53.45729
26.37393,8.874742,6.023207,-12.86548,54.99571
26.37393,8.874742,6.023207,-12.86548,56.77377
26.37393,8.874742,6.023207,-12.86548,57.4744
26.37393,8.874742,6.023207,-12.86548,55.72342
26.37393,8.874742,6.023207,-12.86548,56.33982
26.37393,8.874742,6.023207,-12.86548,49.28191
26.37393,8.874742,6.023207,-12.86548,62.42537
