surface_dist,mean_patchiness,mean_phi,num_points
2,0.3664886,13.57823,171
3,0.4529349,8.068757,376
4,0.4552679,6.033631,672
5,0.4740485,5.073302,1038
6,0.4734855,4.414424,1534
7,0.4302851,4.244541,2141
8,0.3918204,4.56529,2895
9,0.3742943,4.540605,3817
10,0.3708437,4.38363,4892
11,0.3853167,4.144708,6137
12,0.3936224,3.895865,7505
13,0.4027172,3.950186,8932
14,0.4044655,4.342167,10438
15,0.3941775,4.219604,12014
16,0.383048,3.680722,13598
17,0.380521,2.580177,15206
18,0.3850832,1.613539,16816
19,0.3901268,1.159736,18553
20,0.3934397,0.7112405,20398
21,0.3948384,0.1464649,22288
22,0.3964312,-0.2177857,24170
23,0.3972915,-0.4904541,26238
24,0.399509,-0.7373528,28245
25,0.4011199,-0.8449055,29975
26,0.3996893,-1.026178,31579
27,0.396658,-1.065868,32996
28,0.3906697,-0.972378,34214
29,0.386461,-0.8083219,35329
30,0.3837418,-0.7956227,36339
31,0.3833162,-0.8335643,37272
32,0.3816501,-0.8517479,38147
33,0.3785217,-0.8835779,38927
34,0.3741495,-0.8850925,39508
35,0.3724332,-0.8953359,39742
36,0.3722814,-0.8952053,39759
