surface_dist,mean_patchiness,mean_phi,num_points
2,0.3697629,1.217782,183
3,0.4131576,2.106614,429
4,0.4426677,2.877985,757
5,0.4160962,4.522454,1160
6,0.3868735,7.837112,1702
7,0.3771601,6.242653,2311
8,0.3837647,3.870135,3013
9,0.3931077,1.883449,3858
10,0.4034924,0.8812232,4826
11,0.407079,0.2488181,5864
12,0.4089235,0.1525456,6978
13,0.4158963,-0.1320152,8188
14,0.422276,-0.6194797,9437
15,0.4238609,-1.238654,10732
16,0.4242461,-1.530959,12116
17,0.430102,-1.901758,13700
18,0.4387552,-2.082489,15376
19,0.4449691,-2.112641,17059
20,0.45091,-2.08163,18701
21,0.4512727,-2.053068,20329
22,0.4488583,-2.065277,21960
23,0.4486072,-2.322623,23694
24,0.4494658,-2.35746,25431
25,0.4510193,-2.350107,27229
26,0.4550274,-2.317903,29146
27,0.4575319,-2.196348,31202
28,0.4540597,-2.032675,33175
29,0.448809,-1.880882,35122
30,0.445192,-1.875438,37157
31,0.4459078,-1.796856,39097
32,0.4479403,-1.718734,41216
33,0.4472658,-1.680207,43521
34,0.4437534,-1.671588,45674
35,0.4398673,-1.644022,47627
36,0.4377078,-1.614885,49432
37,0.4356171,-1.571689,51235
38,0.4321073,-1.482015,53046
39,0.4291507,-1.423009,54768
40,0.4266568,-1.370616,56508
41,0.4237533,-1.277486,58317
42,0.4229648,-1.066097,60191
43,0.4242743,-0.8661074,62260
44,0.4251324,-0.6769497,64521
45,0.4260502,-0.349503,66891
46,0.4253839,-0.1991273,69078
47,0.4239094,-0.133834,71023
48,0.422177,-0.04124775,72973
49,0.4215297,0.1060958,74887
50,0.4201033,0.1586467,76840
51,0.4174883,0.1437199,78890
52,0.4146666,0.1370083,80956
53,0.4119474,0.1702143,82825
54,0.4095246,0.2120283,84718
55,0.4082609,0.2716098,86528
56,0.4081943,0.3610645,88323
57,0.408293,0.410261,90141
58,0.4091148,0.4395679,92019
59,0.4095089,0.480408,93882
60,0.4084396,0.5334175,95573
61,0.4075595,0.6134267,97299
62,0.4074298,0.6813766,99093
63,0.4071149,0.739248,100861
64,0.4075735,0.8130273,102613
65,0.4085592,0.9051793,104298
66,0.4091772,0.9847788,105824
67,0.4099429,1.095137,107293
68,0.4106173,1.180716,108754
69,0.4108862,1.213122,110078
70,0.4103221,1.210912,111101
71,0.4089107,1.240842,111900
72,0.4079267,1.233891,112619
73,0.4080463,1.190758,113339
74,0.4086787,1.188085,114000
75,0.4091812,1.182707,114596
76,0.4097973,1.183574,115184
77,0.4104338,1.193713,115753
78,0.4108234,1.154383,116114
79,0.4109276,1.136462,116163
