patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-39.30063,7.877044,107.6049,16.18453,37.60226
-39.30063,7.877044,107.6049,16.18453,23.65947
-39.30063,7.877044,107.6049,16.18453,29.53276
-39.30063,7.877044,107.6049,16.18453,25.99813
-39.30063,7.877044,107.6049,16.18453,31.29207
-39.30063,7.877044,107.6049,16.18453,29.95899
-39.30063,7.877044,107.6049,16.18453,25.5623
-39.30063,7.877044,107.6049,16.18453,29.4655
-39.30063,7.877044,107.6049,16.18453,35.83356
-39.30063,7.877044,107.6049,16.18453,24.01888
-39.30063,7.877044,107.6049,16.18453,30.93432
-39.30063,7.877044,107.6049,16.18453,36.77837
-39.30063,7.877044,107.6049,16.18453,26.38681
-39.30063,7.877044,107.6049,16.18453,26.99711
-39.30063,7.877044,107.6049,16.18453,30.83426
-39.30063,7.877044,107.6049,16.18453,23.28284
-39.30063,7.877044,107.6049,16.18453,21.67665
-39.30063,7.877044,107.6049,16.18453,23.37539
-39.30063,7.877044,107.6049,16.18453,31.02773
-39.30063,7.877044,107.6049,16.18453,31.49334
-39.30063,7.877044,107.6049,16.18453,21.24653
-39.30063,7.877044,107.6049,16.18453,30.68251
-39.30063,7.877044,107.6049,16.18453,37.14339
-39.30063,7.877044,107.6049,16.18453,29.21775
-39.30063,7.877044,107.6049,16.18453,36.37792
-39.30063,7.877044,107.6049,16.18453,32.9972
-39.30063,7.877044,107.6049,16.18453,30.57406
-39.30063,7.877044,107.6049,16.18453,24.04142
-39.30063,7.877044,107.6049,16.18453,34.7179
-39.30063,7.877044,107.6049,16.18453,35.09254
-39.30063,7.877044,107.6049,16.18453,25.56306
-39.30063,7.877044,107.6049,16.18453,21.548
-39.30063,7.877044,107.6049,16.18453,23.16331
-39.30063,7.877044,107.6049,16.18453,29.93494
-39.30063,7.877044,107.6049,16.18453,24.16515
-39.30063,7.877044,107.6049,16.18453,28.33098
-39.30063,7.877044,107.6049,16.18453,25.97116
-39.30063,7.877044,107.6049,16.18453,30.01013
-39.30063,7.877044,107.6049,16.18453,31.33951
-39.30063,7.877044,107.6049,16.18453,33.68435
-39.30063,7.877044,107.6049,16.18453,36.6359
-39.30063,7.877044,107.6049,16.18453,29.46391
-39.30063,7.877044,107.6049,16.18453,37.26021
-39.30063,7.877044,107.6049,16.18453,25.03621
-39.30063,7.877044,107.6049,16.18453,25.0467
-39.30063,7.877044,107.6049,16.18453,25.9152
-39.30063,7.877044,107.6049,16.18453,29.25953
-39.30063,7.877044,107.6049,16.18453,25.54308
-39.30063,7.877044,107.6049,16.18453,27.86833
-39.30063,7.877044,107.6049,16.18453,29.79975
-39.30063,7.877044,107.6049,16.18453,30.50991
-39.30063,7.877044,107.6049,16.18453,20.45322
-39.30063,7.877044,107.6049,16.18453,26.87102
-39.30063,7.877044,107.6049,16.18453,26.89156
-39.30063,7.877044,107.6049,16.18453,29.8254
-39.30063,7.877044,107.6049,16.18453,23.8787
-39.30063,7.877044,107.6049,16.18453,19.33426
-39.30063,7.877044,107.6049,16.18453,21.0524
-39.30063,7.877044,107.6049,16.18453,23.94107
-39.30063,7.877044,107.6049,16.18453,27.91381
-39.30063,7.877044,107.6049,16.18453,26.90132
-39.30063,7.877044,107.6049,16.18453,24.86647
-39.30063,7.877044,107.6049,16.18453,35.53852
-39.30063,7.877044,107.6049,16.18453,25.88405
-39.30063,7.877044,107.6049,16.18453,37.86012
-39.30063,7.877044,107.6049,16.18453,29.62218
-39.30063,7.877044,107.6049,16.18453,26.99921
-39.30063,7.877044,107.6049,16.18453,25.42637
-39.30063,7.877044,107.6049,16.18453,26.44204
-39.30063,7.877044,107.6049,16.18453,28.78737
-39.30063,7.877044,107.6049,16.18453,30.29635
-39.30063,7.877044,107.6049,16.18453,27.07412
-39.30063,7.877044,107.6049,16.18453,35.28865
-39.30063,7.877044,107.6049,16.18453,18.94428
-39.30063,7.877044,107.6049,16.18453,26.43004
-39.30063,7.877044,107.6049,16.18453,27.7988
-39.30063,7.877044,107.6049,16.18453,25.85481
-39.30063,7.877044,107.6049,16.18453,32.34766
-39.30063,7.877044,107.6049,16.18453,26.8252
-39.30063,7.877044,107.6049,16.18453,31.80271
-39.30063,7.877044,107.6049,16.18453,30.00839
-39.30063,7.877044,107.6049,16.18453,26.69753
-39.30063,7.877044,107.6049,16.18453,34.37032
-39.30063,7.877044,107.6049,16.18453,24.5664
-39.30063,7.877044,107.6049,16.18453,35.54925
-39.30063,7.877044,107.6049,16.18453,36.11281
-39.30063,7.877044,107.6049,16.18453,25.78288
