surface_dist,mean_patchiness,mean_phi,num_points
2,0.3757342,13.76766,171
3,0.439338,4.114815,397
4,0.484918,-0.2470442,718
5,0.5260429,-1.678657,1097
6,0.5474988,-3.459177,1601
7,0.5653993,-4.898469,2206
8,0.5687513,-5.43156,2896
9,0.5706117,-5.227728,3655
10,0.5688115,-5.023599,4458
11,0.561919,-5.427789,5407
12,0.5476939,-5.354612,6550
13,0.5234925,-4.880682,7863
14,0.4828048,-4.166009,9433
15,0.4513969,-3.88328,11288
16,0.4357125,-3.853438,13449
17,0.4208062,-3.356466,15761
18,0.4070829,-2.900625,18204
19,0.4075681,-2.325214,20737
20,0.41177,-1.736399,23344
21,0.4163112,-1.162541,26145
22,0.4176266,-0.8593592,28958
23,0.4144206,-0.8757334,31711
24,0.4107423,-0.8190205,34367
25,0.4069674,-0.6892578,37209
26,0.4032966,-0.6249444,40001
27,0.398732,-0.5964298,42828
28,0.3939401,-0.6503435,45883
29,0.3914299,-0.6374812,48754
30,0.3907004,-0.645822,51328
31,0.3882912,-0.5347351,53700
32,0.3859863,-0.43415,55899
33,0.3838301,-0.4277852,57818
34,0.3825388,-0.4214411,59239
35,0.3815191,-0.3274738,60522
36,0.3813917,-0.1535805,61595
37,0.3809658,-0.02116018,62251
38,0.3816347,0.03247482,62653
39,0.382888,0.07342074,62865
40,0.3832317,0.09456754,62908
