patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
75.02378,137.4795,91.01136,-12.82141,10.52784
75.02378,137.4795,91.01136,-12.82141,6.261717
75.02378,137.4795,91.01136,-12.82141,19.64005
75.02378,137.4795,91.01136,-12.82141,4.71331
75.02378,137.4795,91.01136,-12.82141,17.50562
75.02378,137.4795,91.01136,-12.82141,9.610813
75.02378,137.4795,91.01136,-12.82141,9.855374
75.02378,137.4795,91.01136,-12.82141,13.97121
75.02378,137.4795,91.01136,-12.82141,14.72895
75.02378,137.4795,91.01136,-12.82141,7.95263
75.02378,137.4795,91.01136,-12.82141,6.189991
75.02378,137.4795,91.01136,-12.82141,36.92467
75.02378,137.4795,91.01136,-12.82141,35.92385
75.02378,137.4795,91.01136,-12.82141,9.782073
75.02378,137.4795,91.01136,-12.82141,22.9546
75.02378,137.4795,91.01136,-12.82141,7.921696
75.02378,137.4795,91.01136,-12.82141,22.64863
75.02378,137.4795,91.01136,-12.82141,36.24886
75.02378,137.4795,91.01136,-12.82141,21.07414
75.02378,137.4795,91.01136,-12.82141,19.61084
75.02378,137.4795,91.01136,-12.82141,7.565034
75.02378,137.4795,91.01136,-12.82141,10.08949
75.02378,137.4795,91.01136,-12.82141,10.12369
75.02378,137.4795,91.01136,-12.82141,30.196
75.02378,137.4795,91.01136,-12.82141,9.435192
75.02378,137.4795,91.01136,-12.82141,34.80095
75.02378,137.4795,91.01136,-12.82141,8.61815
75.02378,137.4795,91.01136,-12.82141,28.27588
75.02378,137.4795,91.01136,-12.82141,22.89147
75.02378,137.4795,91.01136,-12.82141,33.66896
75.02378,137.4795,91.01136,-12.82141,3.377882
75.02378,137.4795,91.01136,-12.82141,8.45554
75.02378,137.4795,91.01136,-12.82141,32.24973
75.02378,137.4795,91.01136,-12.82141,33.29614
75.02378,137.4795,91.01136,-12.82141,19.48895
75.02378,137.4795,91.01136,-12.82141,8.46298
75.02378,137.4795,91.01136,-12.82141,34.48067
75.02378,137.4795,91.01136,-12.82141,32.57186
75.02378,137.4795,91.01136,-12.82141,24.41409
75.02378,137.4795,91.01136,-12.82141,17.21377
75.02378,137.4795,91.01136,-12.82141,33.02588
75.02378,137.4795,91.01136,-12.82141,3.465151
75.02378,137.4795,91.01136,-12.82141,30.79703
75.02378,137.4795,91.01136,-12.82141,29.24817
75.02378,137.4795,91.01136,-12.82141,19.57714
75.02378,137.4795,91.01136,-12.82141,8.680217
75.02378,137.4795,91.01136,-12.82141,8.919667
75.02378,137.4795,91.01136,-12.82141,20.60096
75.02378,137.4795,91.01136,-12.82141,17.07954
75.02378,137.4795,91.01136,-12.82141,29.75409
75.02378,137.4795,91.01136,-12.82141,17.48184
75.02378,137.4795,91.01136,-12.82141,9.868004
75.02378,137.4795,91.01136,-12.82141,6.573632
75.02378,137.4795,91.01136,-12.82141,17.44382
75.02378,137.4795,91.01136,-12.82141,8.551287
75.02378,137.4795,91.01136,-12.82141,8.779726
75.02378,137.4795,91.01136,-12.82141,29.84155
75.02378,137.4795,91.01136,-12.82141,30.22044
75.02378,137.4795,91.01136,-12.82141,11.16222
75.02378,137.4795,91.01136,-12.82141,5.812433
75.02378,137.4795,91.01136,-12.82141,29.95233
75.02378,137.4795,91.01136,-12.82141,27.66411
75.02378,137.4795,91.01136,-12.82141,1.747512
75.02378,137.4795,91.01136,-12.82141,3.084809
75.02378,137.4795,91.01136,-12.82141,22.58336
75.02378,137.4795,91.01136,-12.82141,33.52874
75.02378,137.4795,91.01136,-12.82141,27.06307
75.02378,137.4795,91.01136,-12.82141,29.28419
75.02378,137.4795,91.01136,-12.82141,9.137873
75.02378,137.4795,91.01136,-12.82141,7.902785
