radius,mean_patchiness,mean_phi,num_points
2,0.9581971,-13.6581,86
3,0.9183646,-14.29014,516
4,0.8538634,-13.08341,1223
5,0.753871,-10.85363,1797
6,0.618831,-8.922193,2613
7,0.537769,-7.680881,3861
8,0.4945591,-5.531722,5377
9,0.4666658,-5.170717,6866
10,0.4424279,-4.805307,8260
11,0.4029344,-4.216326,9947
12,0.3859511,-3.841152,11289
13,0.3812656,-3.544511,12926
14,0.3769758,-3.002269,14822
15,0.3752482,-2.873832,16549
16,0.3687622,-2.948685,18196
17,0.3592796,-2.608011,20049
18,0.3470393,-2.109803,22026
19,0.3403737,-1.694003,24387
20,0.3361486,-1.209183,27068
21,0.3379885,-0.5508943,29863
22,0.3472732,0.07932245,33124
23,0.3632581,0.9639146,36618
24,0.3681529,1.298815,40439
25,0.372924,1.665829,44100
26,0.3838547,1.950808,47414
27,0.3969601,2.333493,50247
28,0.4044224,2.422559,53296
29,0.4096114,2.38976,57166
30,0.4079336,2.28516,60558
31,0.4025744,2.204081,64053
32,0.4001239,2.297219,67501
33,0.4018042,2.555636,70912
34,0.4043918,2.705571,74142
35,0.408371,2.873248,76816
36,0.4114755,3.014371,79383
37,0.4111412,3.059728,81729
38,0.4095554,3.053506,83872
39,0.4094162,2.992557,86012
40,0.4113909,2.959203,88318
41,0.4152792,3.002797,91049
42,0.4173996,3.076754,93633
43,0.4176499,3.140004,96418
44,0.4192203,3.160713,99849
45,0.4201357,3.181703,102962
46,0.4179787,3.114666,105265
47,0.415603,3.105743,107285
48,0.4138965,3.093558,108988
49,0.4129049,3.032899,110551
50,0.412766,2.985503,112042
51,0.4119763,2.956522,113576
52,0.4111196,2.89343,115197
53,0.4100684,2.823931,116713
54,0.4081877,2.785832,118252
55,0.4049799,2.755804,120152
56,0.402355,2.696489,122091
57,0.4011417,2.597939,124122
58,0.3999589,2.572772,125194
59,0.3999099,2.568228,125678
60,0.4002351,2.59983,126006
61,0.4007654,2.65753,126127
62,0.4009057,2.675804,126161
