radius,mean_patchiness,mean_phi,num_points
2,0.280439,6.57749,83
3,0.3813195,8.369784,331
4,0.4604927,1.470429,880
5,0.3996231,1.428598,1438
6,0.3847772,-0.4342487,2151
7,0.3986721,-1.776011,3128
8,0.3690652,-1.56324,4231
9,0.347178,-1.35812,5436
10,0.3315682,-0.7254696,6623
11,0.3370093,0.03031589,7816
12,0.3477366,0.6370404,9046
13,0.3656042,0.7278664,10444
14,0.3837247,0.6132187,12239
15,0.3976287,0.4865286,14445
16,0.4004441,0.2380374,17453
17,0.4029377,0.651639,20864
18,0.3913258,0.7631845,24396
19,0.3816109,0.7267085,27743
20,0.3809328,0.9657325,30814
21,0.3841258,1.210141,33663
22,0.3877641,1.227504,36185
23,0.3907736,1.515198,38834
24,0.3932419,1.743881,41166
25,0.3924075,1.882987,43628
26,0.3890644,1.889761,46255
27,0.3850768,1.759247,49618
28,0.3895019,1.727065,53498
29,0.3918273,1.660254,57281
30,0.392449,1.612885,60729
31,0.3926062,1.574361,64391
32,0.3942286,1.620496,67680
33,0.3961986,1.558631,70974
34,0.3965726,1.51678,74261
35,0.3933036,1.547989,77396
36,0.3910735,1.492545,81894
37,0.3912008,1.486758,84767
38,0.3906219,1.481562,88252
39,0.3935274,1.603274,90980
40,0.3963514,1.821216,93147
41,0.3987606,1.913426,94761
42,0.3993849,1.928477,95320
43,0.3986863,1.959692,95598
44,0.3978928,1.967463,95848
45,0.3973714,1.994468,96087
46,0.3971751,1.993916,96139
