surface_dist,mean_patchiness,mean_phi,num_points
2,0.08391333,1.791768,175
3,0.1084044,4.428196,394
4,0.1604291,1.413227,724
5,0.2801368,0.7015694,1178
6,0.4055692,-0.4216277,1782
7,0.4800985,-1.854373,2496
8,0.5189035,-2.713764,3395
9,0.5259825,-2.912232,4407
10,0.5029804,-2.238499,5494
11,0.4824131,-1.340476,6646
12,0.4792212,-0.6080445,7987
13,0.4866727,-0.642852,9481
14,0.5011849,-1.111722,11211
15,0.5121405,-1.582388,13231
16,0.5060191,-1.669518,15371
17,0.4968838,-1.569617,17581
18,0.4864447,-1.273023,20020
19,0.4774904,-1.088785,22670
20,0.4675038,-0.929034,25335
21,0.4584396,-0.732149,28038
22,0.4500718,-0.6180105,30748
23,0.4422711,-0.517486,33346
24,0.4378243,-0.4182476,35859
25,0.4349662,-0.3664916,38379
26,0.4298885,-0.3904854,40967
27,0.4227897,-0.4123256,43603
28,0.4165798,-0.3543763,46273
29,0.4129989,-0.3819189,48857
30,0.4109766,-0.5447434,51544
31,0.4107646,-0.7082222,54380
32,0.4112668,-0.8462419,57352
33,0.4096195,-0.9145916,60475
34,0.4084601,-0.9736909,63758
35,0.4094734,-1.094078,67138
36,0.4118228,-1.077209,70556
37,0.4126286,-0.9384149,73996
38,0.4134202,-0.6557294,77437
39,0.4148026,-0.3539289,80835
40,0.4169337,-0.07833898,84132
41,0.4209268,0.2086394,87504
42,0.4248407,0.491619,90834
43,0.4285801,0.6429853,94323
44,0.4319911,0.759829,97983
45,0.4347073,0.9684162,101708
46,0.4369259,1.172851,105391
47,0.4390722,1.307553,108947
48,0.4400034,1.425999,112440
49,0.4389486,1.449697,115745
50,0.4364649,1.431243,118901
51,0.4337597,1.403662,121904
52,0.4319478,1.390847,124907
53,0.4297934,1.342689,127877
54,0.428232,1.297147,130537
55,0.426566,1.273256,132690
56,0.4253748,1.268061,134493
57,0.4242388,1.274415,136190
58,0.4229394,1.27842,137546
59,0.4227681,1.283154,138365
60,0.4230157,1.289312,138959
61,0.4231805,1.297312,139562
62,0.423523,1.26736,140165
63,0.4241395,1.236011,140756
64,0.4245478,1.222028,141182
65,0.424687,1.235975,141345
66,0.424684,1.237395,141360
