surface_dist,mean_patchiness,mean_phi,num_points
2,0.003938221,-0.3672557,170
3,0.08828525,-1.514412,376
4,0.1527112,-0.7306898,685
5,0.2276473,0.6761405,1086
6,0.3046212,1.918352,1587
7,0.3547708,0.02802171,2158
8,0.3813091,-1.076788,2737
9,0.4009123,-1.501508,3375
10,0.4205055,-1.673296,4051
11,0.4347294,-1.364057,4768
12,0.4474825,-0.9230934,5566
13,0.4565498,-0.885833,6400
14,0.4548497,-0.6560737,7265
15,0.4491454,-0.5499838,8178
16,0.4500743,-0.2161119,9198
17,0.4562221,0.1213436,10381
18,0.4662944,0.3232583,11737
19,0.4691438,0.4041076,13255
20,0.4638549,0.1739705,14797
21,0.4581826,-0.1346985,16571
22,0.4577348,-0.1623957,18581
23,0.4592037,-0.05840925,20763
24,0.4579003,-0.0325487,23060
25,0.4590489,-0.01278056,25501
26,0.4600593,0.05095764,28035
27,0.4554458,0.3377499,30712
28,0.4505136,0.5116742,33429
29,0.4505878,0.5412256,36122
30,0.4519205,0.3927155,38974
31,0.450663,0.2612485,41778
32,0.4467972,0.2633016,44645
33,0.4422019,0.3335893,47600
34,0.434409,0.3361986,50405
35,0.4262142,0.4192213,53076
36,0.4216968,0.6145868,55797
37,0.419952,0.8558884,58496
38,0.418222,0.9736384,61043
39,0.4159604,1.020735,63565
40,0.4127951,1.027908,66249
41,0.4100977,1.023491,68954
42,0.4096255,0.9898698,71368
43,0.4095283,0.9782687,73667
44,0.4084674,1.00136,75743
45,0.406303,1.05886,77558
46,0.4050641,1.070134,79335
47,0.4056403,1.022637,81200
48,0.4076835,0.97396,83069
49,0.4096113,0.9795515,84808
50,0.4096518,1.04099,86495
51,0.4089566,1.173666,87934
52,0.4092889,1.344984,89186
53,0.4112684,1.478411,90381
54,0.4128838,1.555443,91113
55,0.4142916,1.629347,91368
56,0.4148404,1.684945,91457
57,0.4148466,1.685389,91458
