radius,mean_patchiness,mean_phi,num_points
3,0.2952136,5.776879,18
4,0.1479827,2.263446,188
5,0.1454743,-0.06032779,555
6,0.1404973,0.3543964,1113
7,0.2654599,2.639787,2095
8,0.2984951,2.736518,3278
9,0.2920763,2.386406,5256
10,0.3329332,2.117577,7544
11,0.3635717,1.969939,10152
12,0.3726473,1.683848,13017
13,0.3710375,1.400822,16873
14,0.3688772,1.468015,21961
15,0.3628061,1.371361,27266
16,0.3607972,1.379343,33231
17,0.3537219,1.643839,39712
18,0.351452,1.538339,46372
19,0.3560225,1.255567,52662
20,0.3688503,0.8623461,58678
21,0.3799401,0.5463001,63948
22,0.3880222,0.1990254,68538
23,0.3962382,-0.01803193,74309
24,0.4011994,-0.09198,80533
25,0.4051833,0.0900026,86061
26,0.4074817,0.2575531,91829
27,0.4091714,0.3150779,97508
28,0.4045322,0.3713323,103337
29,0.3991051,0.4907211,109583
30,0.3954127,0.4804403,115110
31,0.3942,0.4596917,120249
32,0.3954256,0.3605299,124952
33,0.3969732,0.2324944,130436
34,0.396089,0.3285359,136599
35,0.3952102,0.387821,142375
36,0.3939647,0.4724188,147511
37,0.3946459,0.5033234,151956
38,0.3950723,0.5080907,155775
39,0.3948837,0.4854196,158295
40,0.3954182,0.4849562,159745
41,0.3955206,0.5205342,160713
42,0.3954663,0.5402181,161215
43,0.3954706,0.5404423,161227
