patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-4.541192,-3.702973,15.68668,15.94562,28.40671
-4.541192,-3.702973,15.68668,15.94562,19.32232
-4.541192,-3.702973,15.68668,15.94562,25.15235
-4.541192,-3.702973,15.68668,15.94562,44.59138
-4.541192,-3.702973,15.68668,15.94562,31.35004
-4.541192,-3.702973,15.68668,15.94562,42.32989
-4.541192,-3.702973,15.68668,15.94562,23.81953
-4.541192,-3.702973,15.68668,15.94562,44.81077
-4.541192,-3.702973,15.68668,15.94562,5.570339
-4.541192,-3.702973,15.68668,15.94562,27.58059
-4.541192,-3.702973,15.68668,15.94562,28.68616
-4.541192,-3.702973,15.68668,15.94562,9.221478
-4.541192,-3.702973,15.68668,15.94562,51.37972
-4.541192,-3.702973,15.68668,15.94562,30.1337
-4.541192,-3.702973,15.68668,15.94562,30.45866
-4.541192,-3.702973,15.68668,15.94562,50.44733
-4.541192,-3.702973,15.68668,15.94562,13.94701
-4.541192,-3.702973,15.68668,15.94562,42.42722
-4.541192,-3.702973,15.68668,15.94562,36.29802
-4.541192,-3.702973,15.68668,15.94562,21.66889
-4.541192,-3.702973,15.68668,15.94562,25.70614
-4.541192,-3.702973,15.68668,15.94562,39.55614
-4.541192,-3.702973,15.68668,15.94562,23.22613
-4.541192,-3.702973,15.68668,15.94562,28.95423
-4.541192,-3.702973,15.68668,15.94562,44.55273
-4.541192,-3.702973,15.68668,15.94562,47.52868
-4.541192,-3.702973,15.68668,15.94562,26.18888
-4.541192,-3.702973,15.68668,15.94562,58.98256
-4.541192,-3.702973,15.68668,15.94562,37.25174
-4.541192,-3.702973,15.68668,15.94562,30.59466
-4.541192,-3.702973,15.68668,15.94562,35.59792
-4.541192,-3.702973,15.68668,15.94562,34.92483
-4.541192,-3.702973,15.68668,15.94562,46.2751
-4.541192,-3.702973,15.68668,15.94562,14.37969
-4.541192,-3.702973,15.68668,15.94562,27.48887
-4.541192,-3.702973,15.68668,15.94562,24.97994
-4.541192,-3.702973,15.68668,15.94562,34.08791
-4.541192,-3.702973,15.68668,15.94562,16.72125
-4.541192,-3.702973,15.68668,15.94562,33.36966
-4.541192,-3.702973,15.68668,15.94562,29.27076
-4.541192,-3.702973,15.68668,15.94562,19.94176
-4.541192,-3.702973,15.68668,15.94562,21.62355
-4.541192,-3.702973,15.68668,15.94562,6.932345
-4.541192,-3.702973,15.68668,15.94562,46.00938
-4.541192,-3.702973,15.68668,15.94562,44.48878
-4.541192,-3.702973,15.68668,15.94562,20.23752
-4.541192,-3.702973,15.68668,15.94562,7.427177
-4.541192,-3.702973,15.68668,15.94562,11.63567
-4.541192,-3.702973,15.68668,15.94562,19.02524
-4.541192,-3.702973,15.68668,15.94562,32.73477
-4.541192,-3.702973,15.68668,15.94562,20.86221
-4.541192,-3.702973,15.68668,15.94562,8.88257
-4.541192,-3.702973,15.68668,15.94562,14.42648
-4.541192,-3.702973,15.68668,15.94562,37.53061
-4.541192,-3.702973,15.68668,15.94562,40.96469
-4.541192,-3.702973,15.68668,15.94562,11.54415
-4.541192,-3.702973,15.68668,15.94562,17.95161
-4.541192,-3.702973,15.68668,15.94562,28.78797
-4.541192,-3.702973,15.68668,15.94562,50.35793
-4.541192,-3.702973,15.68668,15.94562,26.12717
-4.541192,-3.702973,15.68668,15.94562,35.814
-4.541192,-3.702973,15.68668,15.94562,39.23537
-4.541192,-3.702973,15.68668,15.94562,19.09661
-4.541192,-3.702973,15.68668,15.94562,7.370827
-4.541192,-3.702973,15.68668,15.94562,10.64468
-4.541192,-3.702973,15.68668,15.94562,31.59188
-4.541192,-3.702973,15.68668,15.94562,22.48414
-4.541192,-3.702973,15.68668,15.94562,50.88631
-4.541192,-3.702973,15.68668,15.94562,31.81296
-4.541192,-3.702973,15.68668,15.94562,14.815
-4.541192,-3.702973,15.68668,15.94562,22.82623
-4.541192,-3.702973,15.68668,15.94562,47.3896
-4.541192,-3.702973,15.68668,15.94562,41.40441
-4.541192,-3.702973,15.68668,15.94562,17.49279
-4.541192,-3.702973,15.68668,15.94562,16.99303
-4.541192,-3.702973,15.68668,15.94562,42.30864
-4.541192,-3.702973,15.68668,15.94562,40.94036
-4.541192,-3.702973,15.68668,15.94562,33.09711
-4.541192,-3.702973,15.68668,15.94562,23.07106
-4.541192,-3.702973,15.68668,15.94562,35.37257
-4.541192,-3.702973,15.68668,15.94562,45.46102
-4.541192,-3.702973,15.68668,15.94562,13.77364
-4.541192,-3.702973,15.68668,15.94562,40.32909
-4.541192,-3.702973,15.68668,15.94562,59.6818
-4.541192,-3.702973,15.68668,15.94562,22.42823
-4.541192,-3.702973,15.68668,15.94562,43.11515
-4.541192,-3.702973,15.68668,15.94562,30.83046
-4.541192,-3.702973,15.68668,15.94562,37.39825
-4.541192,-3.702973,15.68668,15.94562,46.12901
-4.541192,-3.702973,15.68668,15.94562,30.71423
-4.541192,-3.702973,15.68668,15.94562,26.12181
-4.541192,-3.702973,15.68668,15.94562,22.64401
-4.541192,-3.702973,15.68668,15.94562,19.70214
-4.541192,-3.702973,15.68668,15.94562,10.75137
-4.541192,-3.702973,15.68668,15.94562,8.609502
-4.541192,-3.702973,15.68668,15.94562,37.18345
-4.541192,-3.702973,15.68668,15.94562,23.3073
-4.541192,-3.702973,15.68668,15.94562,40.78914
-4.541192,-3.702973,15.68668,15.94562,40.45834
-4.541192,-3.702973,15.68668,15.94562,40.01997
-4.541192,-3.702973,15.68668,15.94562,54.98104
-4.541192,-3.702973,15.68668,15.94562,34.88106
-4.541192,-3.702973,15.68668,15.94562,10.0288
-4.541192,-3.702973,15.68668,15.94562,38.38655
-4.541192,-3.702973,15.68668,15.94562,42.38691
-4.541192,-3.702973,15.68668,15.94562,37.6558
-4.541192,-3.702973,15.68668,15.94562,46.41983
-4.541192,-3.702973,15.68668,15.94562,26.35828
-4.541192,-3.702973,15.68668,15.94562,15.1488
-4.541192,-3.702973,15.68668,15.94562,33.71739
-4.541192,-3.702973,15.68668,15.94562,50.02578
-4.541192,-3.702973,15.68668,15.94562,65.10681
