patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
38.53464,36.80022,6.848529,-13.12729,57.29728
38.53464,36.80022,6.848529,-13.12729,39.36668
38.53464,36.80022,6.848529,-13.12729,48.32116
38.53464,36.80022,6.848529,-13.12729,42.00728
38.53464,36.80022,6.848529,-13.12729,34.23959
38.53464,36.80022,6.848529,-13.12729,43.03643
38.53464,36.80022,6.848529,-13.12729,33.29317
38.53464,36.80022,6.848529,-13.12729,45.02425
38.53464,36.80022,6.848529,-13.12729,54.73669
38.53464,36.80022,6.848529,-13.12729,33.16677
38.53464,36.80022,6.848529,-13.12729,38.45519
38.53464,36.80022,6.848529,-13.12729,31.33588
38.53464,36.80022,6.848529,-13.12729,43.04754
38.53464,36.80022,6.848529,-13.12729,53.61068
38.53464,36.80022,6.848529,-13.12729,34.12485
38.53464,36.80022,6.848529,-13.12729,32.9345
38.53464,36.80022,6.848529,-13.12729,37.52396
38.53464,36.80022,6.848529,-13.12729,40.9007
38.53464,36.80022,6.848529,-13.12729,47.30822
38.53464,36.80022,6.848529,-13.12729,42.7582
38.53464,36.80022,6.848529,-13.12729,19.18819
38.53464,36.80022,6.848529,-13.12729,53.1985
38.53464,36.80022,6.848529,-13.12729,19.099
38.53464,36.80022,6.848529,-13.12729,42.53713
38.53464,36.80022,6.848529,-13.12729,43.15441
38.53464,36.80022,6.848529,-13.12729,43.68465
38.53464,36.80022,6.848529,-13.12729,31.57814
38.53464,36.80022,6.848529,-13.12729,43.85883
38.53464,36.80022,6.848529,-13.12729,14.6214
38.53464,36.80022,6.848529,-13.12729,47.1244
38.53464,36.80022,6.848529,-13.12729,29.83958
38.53464,36.80022,6.848529,-13.12729,45.30755
38.53464,36.80022,6.848529,-13.12729,57.12985
38.53464,36.80022,6.848529,-13.12729,56.12682
38.53464,36.80022,6.848529,-13.12729,58.92254
38.53464,36.80022,6.848529,-13.12729,55.23003
38.53464,36.80022,6.848529,-13.12729,23.5307
38.53464,36.80022,6.848529,-13.12729,42.17413
38.53464,36.80022,6.848529,-13.12729,36.09046
38.53464,36.80022,6.848529,-13.12729,55.80847
38.53464,36.80022,6.848529,-13.12729,18.44343
38.53464,36.80022,6.848529,-13.12729,42.61262
38.53464,36.80022,6.848529,-13.12729,32.89706
38.53464,36.80022,6.848529,-13.12729,57.83191
38.53464,36.80022,6.848529,-13.12729,45.17292
38.53464,36.80022,6.848529,-13.12729,54.36559
38.53464,36.80022,6.848529,-13.12729,28.90468
38.53464,36.80022,6.848529,-13.12729,44.09576
38.53464,36.80022,6.848529,-13.12729,27.70843
38.53464,36.80022,6.848529,-13.12729,37.49458
38.53464,36.80022,6.848529,-13.12729,51.50921
38.53464,36.80022,6.848529,-13.12729,33.88623
38.53464,36.80022,6.848529,-13.12729,35.61169
38.53464,36.80022,6.848529,-13.12729,37.11765
38.53464,36.80022,6.848529,-13.12729,41.21772
38.53464,36.80022,6.848529,-13.12729,49.77565
38.53464,36.80022,6.848529,-13.12729,40.59672
38.53464,36.80022,6.848529,-13.12729,28.96612
38.53464,36.80022,6.848529,-13.12729,5.878166
38.53464,36.80022,6.848529,-13.12729,40.80098
38.53464,36.80022,6.848529,-13.12729,54.60929
38.53464,36.80022,6.848529,-13.12729,38.28429
38.53464,36.80022,6.848529,-13.12729,37.43529
38.53464,36.80022,6.848529,-13.12729,39.51656
38.53464,36.80022,6.848529,-13.12729,43.76262
38.53464,36.80022,6.848529,-13.12729,37.55449
38.53464,36.80022,6.848529,-13.12729,30.25639
38.53464,36.80022,6.848529,-13.12729,27.48476
38.53464,36.80022,6.848529,-13.12729,18.05399
38.53464,36.80022,6.848529,-13.12729,13.24531
38.53464,36.80022,6.848529,-13.12729,45.09356
38.53464,36.80022,6.848529,-13.12729,48.17781
38.53464,36.80022,6.848529,-13.12729,32.98474
38.53464,36.80022,6.848529,-13.12729,11.70933
38.53464,36.80022,6.848529,-13.12729,53.53837
38.53464,36.80022,6.848529,-13.12729,42.5027
38.53464,36.80022,6.848529,-13.12729,42.9466
38.53464,36.80022,6.848529,-13.12729,37.89762
38.53464,36.80022,6.848529,-13.12729,40.00795
38.53464,36.80022,6.848529,-13.12729,44.01737
38.53464,36.80022,6.848529,-13.12729,36.04131
38.53464,36.80022,6.848529,-13.12729,54.99456
38.53464,36.80022,6.848529,-13.12729,33.63381
38.53464,36.80022,6.848529,-13.12729,41.87915
38.53464,36.80022,6.848529,-13.12729,27.68973
38.53464,36.80022,6.848529,-13.12729,42.12651
38.53464,36.80022,6.848529,-13.12729,43.87461
38.53464,36.80022,6.848529,-13.12729,17.67934
38.53464,36.80022,6.848529,-13.12729,13.74848
38.53464,36.80022,6.848529,-13.12729,26.57584
38.53464,36.80022,6.848529,-13.12729,13.67482
38.53464,36.80022,6.848529,-13.12729,53.98304
38.53464,36.80022,6.848529,-13.12729,14.88187
38.53464,36.80022,6.848529,-13.12729,40.26865
38.53464,36.80022,6.848529,-13.12729,40.18917
38.53464,36.80022,6.848529,-13.12729,23.50891
38.53464,36.80022,6.848529,-13.12729,28.49881
38.53464,36.80022,6.848529,-13.12729,34.11138
38.53464,36.80022,6.848529,-13.12729,40.98989
38.53464,36.80022,6.848529,-13.12729,51.0783
38.53464,36.80022,6.848529,-13.12729,42.79415
38.53464,36.80022,6.848529,-13.12729,14.41994
38.53464,36.80022,6.848529,-13.12729,40.42315
38.53464,36.80022,6.848529,-13.12729,19.76575
38.53464,36.80022,6.848529,-13.12729,23.15951
38.53464,36.80022,6.848529,-13.12729,43.34017
38.53464,36.80022,6.848529,-13.12729,15.70411
38.53464,36.80022,6.848529,-13.12729,44.96315
38.53464,36.80022,6.848529,-13.12729,43.83016
38.53464,36.80022,6.848529,-13.12729,31.31739
38.53464,36.80022,6.848529,-13.12729,32.26051
38.53464,36.80022,6.848529,-13.12729,41.63208
38.53464,36.80022,6.848529,-13.12729,38.71928
38.53464,36.80022,6.848529,-13.12729,43.01514
38.53464,36.80022,6.848529,-13.12729,41.13772
38.53464,36.80022,6.848529,-13.12729,37.9944
38.53464,36.80022,6.848529,-13.12729,18.86816
38.53464,36.80022,6.848529,-13.12729,39.20406
38.53464,36.80022,6.848529,-13.12729,34.86125
38.53464,36.80022,6.848529,-13.12729,53.76471
38.53464,36.80022,6.848529,-13.12729,44.11146
38.53464,36.80022,6.848529,-13.12729,46.98252
38.53464,36.80022,6.848529,-13.12729,47.93361
38.53464,36.80022,6.848529,-13.12729,54.71878
38.53464,36.80022,6.848529,-13.12729,27.09247
38.53464,36.80022,6.848529,-13.12729,26.77692
38.53464,36.80022,6.848529,-13.12729,38.13821
38.53464,36.80022,6.848529,-13.12729,45.11179
38.53464,36.80022,6.848529,-13.12729,28.28751
38.53464,36.80022,6.848529,-13.12729,25.31997
38.53464,36.80022,6.848529,-13.12729,50.43589
38.53464,36.80022,6.848529,-13.12729,49.66886
38.53464,36.80022,6.848529,-13.12729,35.9063
38.53464,36.80022,6.848529,-13.12729,34.70446
38.53464,36.80022,6.848529,-13.12729,27.20432
38.53464,36.80022,6.848529,-13.12729,37.93116
38.53464,36.80022,6.848529,-13.12729,22.77134
38.53464,36.80022,6.848529,-13.12729,41.86729
38.53464,36.80022,6.848529,-13.12729,34.30521
38.53464,36.80022,6.848529,-13.12729,40.08536
38.53464,36.80022,6.848529,-13.12729,37.37516
38.53464,36.80022,6.848529,-13.12729,37.57561
38.53464,36.80022,6.848529,-13.12729,48.17282
38.53464,36.80022,6.848529,-13.12729,44.21906
38.53464,36.80022,6.848529,-13.12729,54.76496
38.53464,36.80022,6.848529,-13.12729,47.58192
38.53464,36.80022,6.848529,-13.12729,35.44939
38.53464,36.80022,6.848529,-13.12729,39.82227
38.53464,36.80022,6.848529,-13.12729,60.41432
38.53464,36.80022,6.848529,-13.12729,26.96103
38.53464,36.80022,6.848529,-13.12729,22.6875
38.53464,36.80022,6.848529,-13.12729,5.024424
38.53464,36.80022,6.848529,-13.12729,55.64373
38.53464,36.80022,6.848529,-13.12729,44.04171
38.53464,36.80022,6.848529,-13.12729,40.67594
38.53464,36.80022,6.848529,-13.12729,15.47903
38.53464,36.80022,6.848529,-13.12729,46.28468
38.53464,36.80022,6.848529,-13.12729,24.08826
38.53464,36.80022,6.848529,-13.12729,50.33468
38.53464,36.80022,6.848529,-13.12729,40.72142
38.53464,36.80022,6.848529,-13.12729,59.18182
38.53464,36.80022,6.848529,-13.12729,39.02211
38.53464,36.80022,6.848529,-13.12729,60.09385
38.53464,36.80022,6.848529,-13.12729,12.18767
38.53464,36.80022,6.848529,-13.12729,18.69302
38.53464,36.80022,6.848529,-13.12729,34.95406
38.53464,36.80022,6.848529,-13.12729,53.37323
38.53464,36.80022,6.848529,-13.12729,20.57195
38.53464,36.80022,6.848529,-13.12729,43.24272
38.53464,36.80022,6.848529,-13.12729,44.92931
38.53464,36.80022,6.848529,-13.12729,40.97742
38.53464,36.80022,6.848529,-13.12729,15.73901
38.53464,36.80022,6.848529,-13.12729,21.58229
38.53464,36.80022,6.848529,-13.12729,44.75631
38.53464,36.80022,6.848529,-13.12729,44.88316
38.53464,36.80022,6.848529,-13.12729,18.74
38.53464,36.80022,6.848529,-13.12729,37.4931
38.53464,36.80022,6.848529,-13.12729,45.46774
38.53464,36.80022,6.848529,-13.12729,38.97559
38.53464,36.80022,6.848529,-13.12729,41.66723
38.53464,36.80022,6.848529,-13.12729,44.51737
38.53464,36.80022,6.848529,-13.12729,39.58979
38.53464,36.80022,6.848529,-13.12729,29.94249
38.53464,36.80022,6.848529,-13.12729,26.73932
38.53464,36.80022,6.848529,-13.12729,25.62753
38.53464,36.80022,6.848529,-13.12729,40.53065
38.53464,36.80022,6.848529,-13.12729,41.01381
38.53464,36.80022,6.848529,-13.12729,33.92163
38.53464,36.80022,6.848529,-13.12729,46.37209
38.53464,36.80022,6.848529,-13.12729,28.70102
38.53464,36.80022,6.848529,-13.12729,37.39568
38.53464,36.80022,6.848529,-13.12729,16.72113
38.53464,36.80022,6.848529,-13.12729,27.53359
38.53464,36.80022,6.848529,-13.12729,44.6026
38.53464,36.80022,6.848529,-13.12729,44.28329
38.53464,36.80022,6.848529,-13.12729,31.41696
38.53464,36.80022,6.848529,-13.12729,40.336
38.53464,36.80022,6.848529,-13.12729,20.12251
38.53464,36.80022,6.848529,-13.12729,38.8248
38.53464,36.80022,6.848529,-13.12729,44.99231
38.53464,36.80022,6.848529,-13.12729,42.7237
38.53464,36.80022,6.848529,-13.12729,23.52939
38.53464,36.80022,6.848529,-13.12729,36.17285
38.53464,36.80022,6.848529,-13.12729,19.23438
38.53464,36.80022,6.848529,-13.12729,38.95777
38.53464,36.80022,6.848529,-13.12729,48.26484
38.53464,36.80022,6.848529,-13.12729,30.58848
38.53464,36.80022,6.848529,-13.12729,47.3383
38.53464,36.80022,6.848529,-13.12729,15.70238
38.53464,36.80022,6.848529,-13.12729,54.00017
38.53464,36.80022,6.848529,-13.12729,8.909814
38.53464,36.80022,6.848529,-13.12729,38.89623
38.53464,36.80022,6.848529,-13.12729,53.87507
