patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
22.59532,36.62191,21.89213,12.74284,23.80403
22.59532,36.62191,21.89213,12.74284,21.92571
22.59532,36.62191,21.89213,12.74284,21.9731
22.59532,36.62191,21.89213,12.74284,23.4518
22.59532,36.62191,21.89213,12.74284,23.99376
22.59532,36.62191,21.89213,12.74284,20.9087
22.59532,36.62191,21.89213,12.74284,16.66838
22.59532,36.62191,21.89213,12.74284,22.55693
22.59532,36.62191,21.89213,12.74284,19.60333
22.59532,36.62191,21.89213,12.74284,20.44221
22.59532,36.62191,21.89213,12.74284,19.78357
22.59532,36.62191,21.89213,12.74284,21.96881
22.59532,36.62191,21.89213,12.74284,19.91384
22.59532,36.62191,21.89213,12.74284,23.39056
22.59532,36.62191,21.89213,12.74284,23.19264
22.59532,36.62191,21.89213,12.74284,19.19905
22.59532,36.62191,21.89213,12.74284,23.05165
22.59532,36.62191,21.89213,12.74284,23.45625
22.59532,36.62191,21.89213,12.74284,21.33556
22.59532,36.62191,21.89213,12.74284,17.86871
22.59532,36.62191,21.89213,12.74284,23.7325
22.59532,36.62191,21.89213,12.74284,17.86786
22.59532,36.62191,21.89213,12.74284,21.53511
22.59532,36.62191,21.89213,12.74284,23.53288
22.59532,36.62191,21.89213,12.74284,23.58723
22.59532,36.62191,21.89213,12.74284,20.92279
22.59532,36.62191,21.89213,12.74284,24.89992
22.59532,36.62191,21.89213,12.74284,21.15134
22.59532,36.62191,21.89213,12.74284,19.40789
22.59532,36.62191,21.89213,12.74284,15.83968
22.59532,36.62191,21.89213,12.74284,20.2254
22.59532,36.62191,21.89213,12.74284,19.95569
22.59532,36.62191,21.89213,12.74284,19.41664
22.59532,36.62191,21.89213,12.74284,13.87191
22.59532,36.62191,21.89213,12.74284,18.96894
22.59532,36.62191,21.89213,12.74284,21.35202
22.59532,36.62191,21.89213,12.74284,21.82311
22.59532,36.62191,21.89213,12.74284,21.72405
22.59532,36.62191,21.89213,12.74284,20.09596
22.59532,36.62191,21.89213,12.74284,16.35885
22.59532,36.62191,21.89213,12.74284,20.3873
22.59532,36.62191,21.89213,12.74284,19.09555
22.59532,36.62191,21.89213,12.74284,17.68423
22.59532,36.62191,21.89213,12.74284,18.28775
22.59532,36.62191,21.89213,12.74284,15.58507
22.59532,36.62191,21.89213,12.74284,23.4335
22.59532,36.62191,21.89213,12.74284,20.60366
22.59532,36.62191,21.89213,12.74284,19.5849
22.59532,36.62191,21.89213,12.74284,21.04248
22.59532,36.62191,21.89213,12.74284,16.25997
22.59532,36.62191,21.89213,12.74284,22.87248
22.59532,36.62191,21.89213,12.74284,15.57222
22.59532,36.62191,21.89213,12.74284,15.32486
22.59532,36.62191,21.89213,12.74284,22.96644
22.59532,36.62191,21.89213,12.74284,16.81654
22.59532,36.62191,21.89213,12.74284,20.86144
22.59532,36.62191,21.89213,12.74284,21.98738
22.59532,36.62191,21.89213,12.74284,17.96378
22.59532,36.62191,21.89213,12.74284,19.90566
22.59532,36.62191,21.89213,12.74284,18.52952
22.59532,36.62191,21.89213,12.74284,16.75879
22.59532,36.62191,21.89213,12.74284,21.94155
