radius,mean_patchiness,mean_phi,num_points
2,0.7989781,-9.686971,123
3,0.8400461,-21.49526,485
4,0.8431152,-19.55663,847
5,0.803295,-17.72017,1058
6,0.746173,-15.31713,1319
7,0.638669,-12.57295,1697
8,0.5208523,-9.758264,2175
9,0.434167,-6.502942,3014
10,0.3940975,-5.390018,3839
11,0.3724528,-4.633575,4366
12,0.3608597,-4.685786,4908
13,0.3572558,-4.852166,5298
14,0.3589236,-5.021071,5676
15,0.360013,-4.679273,6104
16,0.3623902,-4.13594,6559
17,0.36169,-3.830123,7039
18,0.3616642,-3.475725,7562
19,0.3570748,-2.852731,8103
20,0.3470868,-2.608417,8613
21,0.3414659,-2.68022,9094
22,0.340014,-2.692253,9507
23,0.3372557,-2.594552,9840
24,0.3394921,-2.510741,10211
25,0.3422111,-2.286335,10703
26,0.3408342,-2.195781,11178
27,0.3353671,-2.121328,11843
28,0.3367527,-1.872059,12703
29,0.3419656,-1.661311,13674
30,0.3493279,-1.437688,14667
31,0.351269,-1.368993,15732
32,0.3496212,-1.03588,16786
33,0.3461722,-0.4955998,17929
34,0.34163,-0.7131761,18990
35,0.339372,-0.810441,20371
36,0.3419227,-0.8651522,21676
37,0.3488901,-0.9204608,23084
38,0.3569246,-1.138788,24614
39,0.3636197,-1.227239,26185
40,0.3645897,-1.179006,27620
41,0.3634649,-1.230526,29019
42,0.365086,-1.471116,30509
43,0.3603607,-1.45531,31728
44,0.353102,-1.444185,33058
45,0.3510465,-1.542616,34409
46,0.3569894,-1.786103,36039
47,0.3570201,-1.635466,37647
48,0.359679,-1.231316,39881
49,0.3644915,-0.8930137,42148
50,0.3652301,-0.6534471,44552
51,0.364874,-0.574922,47289
52,0.3609283,-0.5550572,50325
53,0.3577564,-0.6301697,53575
54,0.3574161,-0.6151481,56574
55,0.3611596,-0.4896358,59161
56,0.3631701,-0.235223,61536
57,0.3642344,-0.1150159,63860
58,0.3659469,-0.1332066,66125
59,0.3678842,-0.1370987,67986
60,0.3695162,-0.05000895,69682
61,0.3718307,-0.02373421,71554
62,0.3747935,0.06118687,73681
63,0.3761421,0.1284964,76024
64,0.3769089,0.2698317,78667
65,0.3775583,0.3335175,80984
66,0.3789043,0.4259794,83327
67,0.382099,0.5682064,85924
68,0.3860978,0.7328366,88984
69,0.3878963,0.8508669,91916
70,0.3872052,0.911031,94840
71,0.3889245,1.015367,97957
72,0.3917584,1.003898,100597
73,0.3930916,1.066154,103174
74,0.3935568,1.07856,105316
75,0.3950669,1.129877,107399
76,0.3964222,1.135748,108896
77,0.3963879,1.100912,110013
78,0.3954789,1.074326,110695
79,0.3952733,1.072962,110762
