patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-4.984332,14.99831,-21.44235,-14.37383,3.732827
-4.984332,14.99831,-21.44235,-14.37383,16.91745
-4.984332,14.99831,-21.44235,-14.37383,29.49203
-4.984332,14.99831,-21.44235,-14.37383,25.82184
-4.984332,14.99831,-21.44235,-14.37383,41.2899
-4.984332,14.99831,-21.44235,-14.37383,28.97952
-4.984332,14.99831,-21.44235,-14.37383,16.09115
-4.984332,14.99831,-21.44235,-14.37383,53.822
-4.984332,14.99831,-21.44235,-14.37383,17.78382
-4.984332,14.99831,-21.44235,-14.37383,15.62037
-4.984332,14.99831,-21.44235,-14.37383,11.51867
-4.984332,14.99831,-21.44235,-14.37383,9.637342
-4.984332,14.99831,-21.44235,-14.37383,32.74398
-4.984332,14.99831,-21.44235,-14.37383,47.867
-4.984332,14.99831,-21.44235,-14.37383,32.77093
-4.984332,14.99831,-21.44235,-14.37383,34.33595
-4.984332,14.99831,-21.44235,-14.37383,42.45792
-4.984332,14.99831,-21.44235,-14.37383,31.95883
-4.984332,14.99831,-21.44235,-14.37383,35.61766
-4.984332,14.99831,-21.44235,-14.37383,14.06689
-4.984332,14.99831,-21.44235,-14.37383,10.75668
-4.984332,14.99831,-21.44235,-14.37383,56.51768
-4.984332,14.99831,-21.44235,-14.37383,37.55331
-4.984332,14.99831,-21.44235,-14.37383,46.43314
-4.984332,14.99831,-21.44235,-14.37383,2.463852
-4.984332,14.99831,-21.44235,-14.37383,12.92303
-4.984332,14.99831,-21.44235,-14.37383,1.139364
-4.984332,14.99831,-21.44235,-14.37383,51.82787
-4.984332,14.99831,-21.44235,-14.37383,31.3967
-4.984332,14.99831,-21.44235,-14.37383,32.3594
-4.984332,14.99831,-21.44235,-14.37383,55.8088
-4.984332,14.99831,-21.44235,-14.37383,34.57222
-4.984332,14.99831,-21.44235,-14.37383,11.64242
-4.984332,14.99831,-21.44235,-14.37383,51.71164
-4.984332,14.99831,-21.44235,-14.37383,41.95053
-4.984332,14.99831,-21.44235,-14.37383,7.375585
-4.984332,14.99831,-21.44235,-14.37383,62.88113
-4.984332,14.99831,-21.44235,-14.37383,55.25688
-4.984332,14.99831,-21.44235,-14.37383,41.43475
-4.984332,14.99831,-21.44235,-14.37383,38.44855
-4.984332,14.99831,-21.44235,-14.37383,20.46111
-4.984332,14.99831,-21.44235,-14.37383,13.88023
-4.984332,14.99831,-21.44235,-14.37383,35.80691
-4.984332,14.99831,-21.44235,-14.37383,43.72684
-4.984332,14.99831,-21.44235,-14.37383,54.03074
-4.984332,14.99831,-21.44235,-14.37383,27.9842
-4.984332,14.99831,-21.44235,-14.37383,50.04432
-4.984332,14.99831,-21.44235,-14.37383,7.554358
-4.984332,14.99831,-21.44235,-14.37383,48.51484
-4.984332,14.99831,-21.44235,-14.37383,62.02464
-4.984332,14.99831,-21.44235,-14.37383,50.81765
-4.984332,14.99831,-21.44235,-14.37383,16.00228
-4.984332,14.99831,-21.44235,-14.37383,37.22229
-4.984332,14.99831,-21.44235,-14.37383,58.29702
-4.984332,14.99831,-21.44235,-14.37383,15.85861
-4.984332,14.99831,-21.44235,-14.37383,7.577863
-4.984332,14.99831,-21.44235,-14.37383,36.54801
-4.984332,14.99831,-21.44235,-14.37383,8.64546
-4.984332,14.99831,-21.44235,-14.37383,36.26344
-4.984332,14.99831,-21.44235,-14.37383,3.651403
-4.984332,14.99831,-21.44235,-14.37383,14.98627
-4.984332,14.99831,-21.44235,-14.37383,22.60712
-4.984332,14.99831,-21.44235,-14.37383,37.23853
-4.984332,14.99831,-21.44235,-14.37383,44.06697
-4.984332,14.99831,-21.44235,-14.37383,10.92084
-4.984332,14.99831,-21.44235,-14.37383,38.96565
-4.984332,14.99831,-21.44235,-14.37383,52.62657
-4.984332,14.99831,-21.44235,-14.37383,46.71046
-4.984332,14.99831,-21.44235,-14.37383,42.23431
-4.984332,14.99831,-21.44235,-14.37383,55.02876
