radius,mean_patchiness,mean_phi,num_points
2,0.5846133,-4.910842,44
3,0.638175,-8.429116,253
4,0.597734,-10.13482,719
5,0.5296994,-8.628882,1360
6,0.4176318,-6.583467,2189
7,0.3532808,-5.466719,3170
8,0.3194743,-4.489583,4427
9,0.3066502,-2.18182,5741
10,0.3189424,-0.6217734,7154
11,0.3250616,-0.07396796,8891
12,0.321682,-0.3961399,10726
13,0.3192337,-0.7857972,12959
14,0.320472,-0.06758065,15166
15,0.335205,0.6697282,17441
16,0.3408194,1.024991,19938
17,0.3413166,1.373955,23135
18,0.3336228,1.724901,27300
19,0.3362854,1.902844,31914
20,0.3423219,1.641053,36329
21,0.3507759,1.416388,40533
22,0.3558426,1.379266,44256
23,0.3514163,1.345331,47061
24,0.3438632,1.380073,50423
25,0.3439307,1.3149,53149
26,0.3472054,1.18119,55543
27,0.3486381,1.098966,57900
28,0.3542891,0.9719996,60539
29,0.362165,0.7036089,63383
30,0.3648745,0.5029516,66385
31,0.3672272,0.4739957,69316
32,0.3673254,0.547573,71535
33,0.3675418,0.6827606,74152
34,0.3680863,0.7875193,77243
35,0.3715392,1.05232,80479
36,0.3759424,1.246543,83711
37,0.37593,1.325661,87100
38,0.3770918,1.291682,89661
39,0.3776748,1.222983,91631
40,0.3753062,1.168783,93893
41,0.3750134,1.073858,96463
42,0.3750828,0.983646,97878
43,0.375417,0.9293814,98818
44,0.3755751,0.85869,99483
45,0.3765154,0.7845882,99892
46,0.3774244,0.7276036,100156
