patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
4.168203,64.71883,-24.32426,18.45304,44.7785
4.168203,64.71883,-24.32426,18.45304,40.2368
4.168203,64.71883,-24.32426,18.45304,45.34494
4.168203,64.71883,-24.32426,18.45304,42.87927
4.168203,64.71883,-24.32426,18.45304,37.00315
4.168203,64.71883,-24.32426,18.45304,47.40587
4.168203,64.71883,-24.32426,18.45304,44.64561
4.168203,64.71883,-24.32426,18.45304,32.73251
4.168203,64.71883,-24.32426,18.45304,35.13767
4.168203,64.71883,-24.32426,18.45304,35.82566
4.168203,64.71883,-24.32426,18.45304,44.80826
4.168203,64.71883,-24.32426,18.45304,33.8222
4.168203,64.71883,-24.32426,18.45304,27.68312
4.168203,64.71883,-24.32426,18.45304,44.22953
4.168203,64.71883,-24.32426,18.45304,30.08645
4.168203,64.71883,-24.32426,18.45304,25.0925
4.168203,64.71883,-24.32426,18.45304,42.1962
4.168203,64.71883,-24.32426,18.45304,42.53912
4.168203,64.71883,-24.32426,18.45304,45.6957
4.168203,64.71883,-24.32426,18.45304,35.69683
4.168203,64.71883,-24.32426,18.45304,35.90202
4.168203,64.71883,-24.32426,18.45304,38.75367
4.168203,64.71883,-24.32426,18.45304,36.92111
4.168203,64.71883,-24.32426,18.45304,40.63275
4.168203,64.71883,-24.32426,18.45304,29.48983
4.168203,64.71883,-24.32426,18.45304,42.5168
4.168203,64.71883,-24.32426,18.45304,34.61755
4.168203,64.71883,-24.32426,18.45304,43.65017
4.168203,64.71883,-24.32426,18.45304,47.48457
4.168203,64.71883,-24.32426,18.45304,28.72896
4.168203,64.71883,-24.32426,18.45304,32.14688
4.168203,64.71883,-24.32426,18.45304,36.12743
4.168203,64.71883,-24.32426,18.45304,22.54594
4.168203,64.71883,-24.32426,18.45304,33.97132
4.168203,64.71883,-24.32426,18.45304,51.24677
4.168203,64.71883,-24.32426,18.45304,35.66839
4.168203,64.71883,-24.32426,18.45304,39.99304
4.168203,64.71883,-24.32426,18.45304,34.12166
4.168203,64.71883,-24.32426,18.45304,44.79006
4.168203,64.71883,-24.32426,18.45304,35.95786
4.168203,64.71883,-24.32426,18.45304,28.83867
4.168203,64.71883,-24.32426,18.45304,30.31984
4.168203,64.71883,-24.32426,18.45304,25.95205
4.168203,64.71883,-24.32426,18.45304,44.51542
4.168203,64.71883,-24.32426,18.45304,32.4279
4.168203,64.71883,-24.32426,18.45304,41.38968
4.168203,64.71883,-24.32426,18.45304,38.14795
4.168203,64.71883,-24.32426,18.45304,41.28038
4.168203,64.71883,-24.32426,18.45304,43.95417
4.168203,64.71883,-24.32426,18.45304,44.58116
4.168203,64.71883,-24.32426,18.45304,33.97069
4.168203,64.71883,-24.32426,18.45304,23.95736
4.168203,64.71883,-24.32426,18.45304,26.49763
4.168203,64.71883,-24.32426,18.45304,28.55448
4.168203,64.71883,-24.32426,18.45304,32.00925
4.168203,64.71883,-24.32426,18.45304,26.36519
4.168203,64.71883,-24.32426,18.45304,32.79994
4.168203,64.71883,-24.32426,18.45304,24.91587
4.168203,64.71883,-24.32426,18.45304,25.69277
4.168203,64.71883,-24.32426,18.45304,34.77535
4.168203,64.71883,-24.32426,18.45304,34.83907
4.168203,64.71883,-24.32426,18.45304,37.2492
4.168203,64.71883,-24.32426,18.45304,33.19887
