surface_dist,mean_patchiness,mean_phi,num_points
2,0.9796004,-19.39697,192
3,0.9359249,-25.93161,422
4,0.8776339,-22.42282,744
5,0.8206288,-17.55785,1175
6,0.7196417,-14.1532,1744
7,0.633531,-12.22229,2397
8,0.5891751,-11.22956,3146
9,0.5710064,-10.3814,4020
10,0.5560904,-9.414161,4983
11,0.5245499,-8.169303,6135
12,0.4963514,-6.947409,7397
13,0.4760301,-6.200438,8648
14,0.4654577,-5.761253,9981
15,0.4666935,-5.095356,11496
16,0.4752099,-3.921127,13178
17,0.4864729,-2.956804,15047
18,0.4943754,-2.633308,17094
19,0.4998124,-2.885228,19411
20,0.4955294,-3.190736,22053
21,0.4919263,-3.103415,24876
22,0.4934188,-2.84312,27783
23,0.4962902,-2.664277,30636
24,0.5022498,-2.504648,33439
25,0.5059249,-2.414404,36089
26,0.5074112,-2.484921,38690
27,0.5049901,-2.643826,41488
28,0.5000728,-2.68912,44576
29,0.4972076,-2.700248,48006
30,0.4941031,-2.795674,51738
31,0.4903895,-2.914012,55480
32,0.4855458,-2.806581,59246
33,0.4803184,-2.657945,63171
34,0.4753739,-2.535414,67383
35,0.4730666,-2.205419,71963
36,0.4724611,-1.856398,77040
37,0.4725932,-1.572611,82305
38,0.4723753,-1.40617,87764
39,0.4704918,-1.233247,93381
40,0.4697198,-1.061499,98732
41,0.4686757,-0.913493,103995
42,0.4678982,-0.7679998,109442
43,0.4671608,-0.5951734,115242
44,0.4668434,-0.4609116,121282
45,0.4648279,-0.3442078,127244
46,0.462676,-0.2720377,132505
47,0.4613985,-0.1735235,137319
48,0.4608672,-0.1378846,141508
49,0.4599102,-0.1203652,145347
50,0.4586971,-0.07027859,148979
51,0.4573371,-0.01463115,152434
52,0.4556215,-0.02250538,155673
53,0.4540137,-0.05211853,158590
54,0.4527845,-0.0739827,161213
55,0.4523612,-0.06991011,163199
56,0.4522876,-0.03334407,164549
57,0.451674,-0.004030525,165491
58,0.4513154,0.01198979,166098
59,0.4511096,0.01644852,166542
60,0.4512433,-0.002755088,166939
61,0.4515353,-0.03127811,167250
62,0.4516112,-0.03377834,167278
