patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
4.308853,76.70683,26.01908,18.51028,34.59379
4.308853,76.70683,26.01908,18.51028,18.26065
4.308853,76.70683,26.01908,18.51028,23.62362
4.308853,76.70683,26.01908,18.51028,22.15661
4.308853,76.70683,26.01908,18.51028,23.58537
4.308853,76.70683,26.01908,18.51028,14.00794
4.308853,76.70683,26.01908,18.51028,38.27864
4.308853,76.70683,26.01908,18.51028,27.24891
4.308853,76.70683,26.01908,18.51028,29.72057
4.308853,76.70683,26.01908,18.51028,12.96832
4.308853,76.70683,26.01908,18.51028,30.73187
4.308853,76.70683,26.01908,18.51028,39.3377
4.308853,76.70683,26.01908,18.51028,36.81306
4.308853,76.70683,26.01908,18.51028,32.71984
4.308853,76.70683,26.01908,18.51028,35.77977
4.308853,76.70683,26.01908,18.51028,30.69913
4.308853,76.70683,26.01908,18.51028,26.29475
4.308853,76.70683,26.01908,18.51028,30.79651
4.308853,76.70683,26.01908,18.51028,32.23443
4.308853,76.70683,26.01908,18.51028,28.03727
4.308853,76.70683,26.01908,18.51028,25.78188
4.308853,76.70683,26.01908,18.51028,32.94893
4.308853,76.70683,26.01908,18.51028,38.60013
4.308853,76.70683,26.01908,18.51028,30.44884
4.308853,76.70683,26.01908,18.51028,18.01929
4.308853,76.70683,26.01908,18.51028,34.11216
4.308853,76.70683,26.01908,18.51028,31.40369
4.308853,76.70683,26.01908,18.51028,22.73336
4.308853,76.70683,26.01908,18.51028,30.84646
4.308853,76.70683,26.01908,18.51028,18.74382
4.308853,76.70683,26.01908,18.51028,28.73504
4.308853,76.70683,26.01908,18.51028,32.18172
4.308853,76.70683,26.01908,18.51028,17.74557
4.308853,76.70683,26.01908,18.51028,31.10867
4.308853,76.70683,26.01908,18.51028,17.69899
4.308853,76.70683,26.01908,18.51028,28.19619
4.308853,76.70683,26.01908,18.51028,31.37617
4.308853,76.70683,26.01908,18.51028,22.12844
4.308853,76.70683,26.01908,18.51028,32.45299
4.308853,76.70683,26.01908,18.51028,33.92711
4.308853,76.70683,26.01908,18.51028,31.46397
4.308853,76.70683,26.01908,18.51028,20.73455
4.308853,76.70683,26.01908,18.51028,19.19832
4.308853,76.70683,26.01908,18.51028,34.74095
4.308853,76.70683,26.01908,18.51028,39.21185
4.308853,76.70683,26.01908,18.51028,31.36015
4.308853,76.70683,26.01908,18.51028,31.67481
4.308853,76.70683,26.01908,18.51028,23.24895
4.308853,76.70683,26.01908,18.51028,34.88032
4.308853,76.70683,26.01908,18.51028,25.77892
4.308853,76.70683,26.01908,18.51028,34.48867
4.308853,76.70683,26.01908,18.51028,32.99033
4.308853,76.70683,26.01908,18.51028,39.22223
4.308853,76.70683,26.01908,18.51028,22.64963
4.308853,76.70683,26.01908,18.51028,36.00824
4.308853,76.70683,26.01908,18.51028,26.37433
4.308853,76.70683,26.01908,18.51028,22.84871
4.308853,76.70683,26.01908,18.51028,13.64257
4.308853,76.70683,26.01908,18.51028,15.64277
4.308853,76.70683,26.01908,18.51028,26.08535
4.308853,76.70683,26.01908,18.51028,34.03329
4.308853,76.70683,26.01908,18.51028,18.4598
4.308853,76.70683,26.01908,18.51028,32.1404
4.308853,76.70683,26.01908,18.51028,25.68459
4.308853,76.70683,26.01908,18.51028,23.44623
4.308853,76.70683,26.01908,18.51028,35.95821
4.308853,76.70683,26.01908,18.51028,35.29019
4.308853,76.70683,26.01908,18.51028,28.55506
4.308853,76.70683,26.01908,18.51028,21.02733
4.308853,76.70683,26.01908,18.51028,28.9903
4.308853,76.70683,26.01908,18.51028,36.47585
4.308853,76.70683,26.01908,18.51028,27.98253
4.308853,76.70683,26.01908,18.51028,31.98799
4.308853,76.70683,26.01908,18.51028,32.06048
4.308853,76.70683,26.01908,18.51028,31.10325
4.308853,76.70683,26.01908,18.51028,16.72901
4.308853,76.70683,26.01908,18.51028,38.92756
4.308853,76.70683,26.01908,18.51028,22.2788
4.308853,76.70683,26.01908,18.51028,26.43278
4.308853,76.70683,26.01908,18.51028,26.43762
4.308853,76.70683,26.01908,18.51028,26.42814
4.308853,76.70683,26.01908,18.51028,35.21498
4.308853,76.70683,26.01908,18.51028,40.2264
4.308853,76.70683,26.01908,18.51028,30.93605
4.308853,76.70683,26.01908,18.51028,40.41406
4.308853,76.70683,26.01908,18.51028,29.60552
4.308853,76.70683,26.01908,18.51028,36.35424
4.308853,76.70683,26.01908,18.51028,30.51518
4.308853,76.70683,26.01908,18.51028,24.99021
4.308853,76.70683,26.01908,18.51028,30.95699
4.308853,76.70683,26.01908,18.51028,24.13931
4.308853,76.70683,26.01908,18.51028,21.45481
4.308853,76.70683,26.01908,18.51028,30.95607
4.308853,76.70683,26.01908,18.51028,27.68879
4.308853,76.70683,26.01908,18.51028,29.18037
4.308853,76.70683,26.01908,18.51028,26.02919
4.308853,76.70683,26.01908,18.51028,23.12365
4.308853,76.70683,26.01908,18.51028,22.95057
4.308853,76.70683,26.01908,18.51028,23.58045
4.308853,76.70683,26.01908,18.51028,17.47192
4.308853,76.70683,26.01908,18.51028,30.15362
4.308853,76.70683,26.01908,18.51028,28.23517
4.308853,76.70683,26.01908,18.51028,30.70608
4.308853,76.70683,26.01908,18.51028,39.16757
4.308853,76.70683,26.01908,18.51028,18.39347
4.308853,76.70683,26.01908,18.51028,26.39049
4.308853,76.70683,26.01908,18.51028,24.82004
4.308853,76.70683,26.01908,18.51028,24.0011
4.308853,76.70683,26.01908,18.51028,31.78728
4.308853,76.70683,26.01908,18.51028,15.9105
4.308853,76.70683,26.01908,18.51028,25.58863
4.308853,76.70683,26.01908,18.51028,22.02668
4.308853,76.70683,26.01908,18.51028,34.85517
4.308853,76.70683,26.01908,18.51028,34.56449
4.308853,76.70683,26.01908,18.51028,30.41289
4.308853,76.70683,26.01908,18.51028,37.00135
4.308853,76.70683,26.01908,18.51028,37.77055
4.308853,76.70683,26.01908,18.51028,32.83278
4.308853,76.70683,26.01908,18.51028,30.19586
4.308853,76.70683,26.01908,18.51028,29.41905
4.308853,76.70683,26.01908,18.51028,35.58827
4.308853,76.70683,26.01908,18.51028,31.32736
4.308853,76.70683,26.01908,18.51028,22.66788
4.308853,76.70683,26.01908,18.51028,21.4206
4.308853,76.70683,26.01908,18.51028,37.1013
4.308853,76.70683,26.01908,18.51028,35.53549
4.308853,76.70683,26.01908,18.51028,24.99949
4.308853,76.70683,26.01908,18.51028,31.47311
4.308853,76.70683,26.01908,18.51028,25.84508
4.308853,76.70683,26.01908,18.51028,34.21733
