radius,mean_patchiness,mean_phi,num_points
2,0.6013994,-18.05688,47
3,0.7916418,-25.95029,670
4,0.7540017,-21.50889,1117
5,0.6931629,-16.52535,1671
6,0.6301898,-11.77268,2446
7,0.5914466,-8.689173,3249
8,0.5695109,-7.634204,4069
9,0.5624858,-6.420362,4969
10,0.5458716,-5.629129,6068
11,0.5392817,-4.352726,7491
12,0.52434,-3.692442,9160
13,0.5162045,-3.50561,11009
14,0.5205048,-3.415286,13322
15,0.5260051,-3.340106,15733
16,0.5331337,-3.280867,17627
17,0.5287064,-2.869572,19687
18,0.5195542,-2.357141,22247
19,0.506887,-2.015208,24619
20,0.4959345,-1.537855,27220
21,0.4846813,-0.8571755,30057
22,0.4777131,-0.1208461,33208
23,0.4666286,0.09227313,36697
24,0.4539534,0.2384368,40435
25,0.4398602,0.4507029,45104
26,0.4268408,0.4294044,49870
27,0.4106565,0.5850505,55364
28,0.4058686,0.615726,61205
29,0.4068674,0.5582671,66720
30,0.4060438,0.6799137,73213
31,0.4090837,0.6200146,78861
32,0.4121237,0.6353069,84055
33,0.4164093,0.6870295,89301
34,0.4195272,0.9433213,94529
35,0.4208858,1.267591,100238
36,0.4209469,1.485285,105381
37,0.4172343,1.540294,110946
38,0.41484,1.74721,116263
39,0.4136645,2.011248,121901
40,0.414147,2.154298,126696
41,0.4126454,2.175988,130984
42,0.4093927,2.044707,135593
43,0.4089822,1.940233,139950
44,0.4087304,1.88803,143399
45,0.4088633,1.81947,146363
46,0.4083447,1.802159,148791
47,0.4067596,1.780614,150968
48,0.4049261,1.751849,152604
49,0.4034086,1.733507,154520
50,0.4017456,1.716371,155825
51,0.4011026,1.692873,156577
52,0.4013642,1.701288,156899
53,0.4019619,1.709915,157255
54,0.4020685,1.711755,157503
