patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
2.322914,-25.94578,-25.34904,-15.99949,30.02305
2.322914,-25.94578,-25.34904,-15.99949,47.46876
2.322914,-25.94578,-25.34904,-15.99949,55.49406
2.322914,-25.94578,-25.34904,-15.99949,32.39454
2.322914,-25.94578,-25.34904,-15.99949,52.99444
2.322914,-25.94578,-25.34904,-15.99949,39.33487
2.322914,-25.94578,-25.34904,-15.99949,32.72562
2.322914,-25.94578,-25.34904,-15.99949,44.06371
2.322914,-25.94578,-25.34904,-15.99949,31.2468
2.322914,-25.94578,-25.34904,-15.99949,38.57103
2.322914,-25.94578,-25.34904,-15.99949,47.37011
2.322914,-25.94578,-25.34904,-15.99949,52.60611
2.322914,-25.94578,-25.34904,-15.99949,20.52037
2.322914,-25.94578,-25.34904,-15.99949,49.72398
2.322914,-25.94578,-25.34904,-15.99949,32.33676
2.322914,-25.94578,-25.34904,-15.99949,35.33467
2.322914,-25.94578,-25.34904,-15.99949,36.28
2.322914,-25.94578,-25.34904,-15.99949,23.98617
2.322914,-25.94578,-25.34904,-15.99949,31.45093
2.322914,-25.94578,-25.34904,-15.99949,23.02611
2.322914,-25.94578,-25.34904,-15.99949,43.97601
2.322914,-25.94578,-25.34904,-15.99949,41.41001
2.322914,-25.94578,-25.34904,-15.99949,40.8427
2.322914,-25.94578,-25.34904,-15.99949,47.57384
2.322914,-25.94578,-25.34904,-15.99949,55.07904
2.322914,-25.94578,-25.34904,-15.99949,44.31942
2.322914,-25.94578,-25.34904,-15.99949,30.08852
2.322914,-25.94578,-25.34904,-15.99949,26.70166
2.322914,-25.94578,-25.34904,-15.99949,28.11108
2.322914,-25.94578,-25.34904,-15.99949,30.83748
2.322914,-25.94578,-25.34904,-15.99949,38.49916
2.322914,-25.94578,-25.34904,-15.99949,22.52118
2.322914,-25.94578,-25.34904,-15.99949,53.15165
2.322914,-25.94578,-25.34904,-15.99949,42.47304
2.322914,-25.94578,-25.34904,-15.99949,44.84381
2.322914,-25.94578,-25.34904,-15.99949,43.90787
2.322914,-25.94578,-25.34904,-15.99949,28.58934
2.322914,-25.94578,-25.34904,-15.99949,43.5275
2.322914,-25.94578,-25.34904,-15.99949,38.21187
