surface_dist,mean_patchiness,mean_phi,num_points
2,0.1679707,10.31226,169
3,0.2364195,5.893137,405
4,0.2559174,2.4971,753
5,0.2952802,-0.01948583,1258
6,0.3134095,-2.049511,1901
7,0.3399732,-3.063022,2612
8,0.3678865,-3.06726,3422
9,0.392718,-2.687297,4321
10,0.3998703,-2.481057,5332
11,0.4050819,-2.175331,6328
12,0.4105138,-2.254123,7412
13,0.4078448,-2.216267,8537
14,0.4106107,-2.423577,9785
15,0.4184239,-2.309097,11134
16,0.4265468,-1.647016,12649
17,0.4309013,-1.333404,14212
18,0.4282343,-1.203307,15637
19,0.4263298,-1.175081,16990
20,0.4257153,-1.223392,18413
21,0.4294624,-1.486718,19992
22,0.4319678,-1.727805,21635
23,0.4307823,-1.9672,23345
24,0.4282523,-2.168176,25039
25,0.4294168,-2.105932,26802
26,0.4344776,-1.971457,28698
27,0.4385924,-1.76088,30641
28,0.4402278,-1.442319,32610
29,0.4380746,-1.027018,34598
30,0.4358684,-0.7553755,36551
31,0.4336673,-0.5534785,38357
32,0.4313832,-0.5021926,40184
33,0.4309922,-0.4241255,42151
34,0.4343058,-0.2203381,44369
35,0.4379346,-0.05937373,46702
36,0.438459,-0.008381696,49086
37,0.4398717,-0.1820873,51307
38,0.4413877,-0.3510953,53538
39,0.4408737,-0.4590333,55791
40,0.4394976,-0.6522773,58088
41,0.4362648,-0.7314594,60282
42,0.4326423,-0.6470345,62418
43,0.4305652,-0.6552138,64378
44,0.4298829,-0.647059,66322
45,0.4292502,-0.6188625,68321
46,0.4282684,-0.6207591,70356
47,0.4272684,-0.6401945,72369
48,0.4277027,-0.6763167,74347
49,0.4279125,-0.6556658,76290
50,0.4252151,-0.5751548,78261
51,0.4220556,-0.4709466,80201
52,0.4196229,-0.3549408,82088
53,0.417129,-0.2787456,83964
54,0.4157884,-0.2413479,85575
55,0.4158443,-0.2105852,86934
56,0.4159102,-0.1306494,88244
57,0.4153232,-0.04886619,89435
58,0.4149892,0.07326282,90501
59,0.4153792,0.1993759,91349
60,0.4163864,0.3045378,92031
61,0.4172585,0.3777028,92614
62,0.4171555,0.4144073,92993
63,0.4173823,0.4199456,93076
