surface_dist,mean_patchiness,mean_phi,num_points
2,0.3900668,-6.389873,181
3,0.3634839,-5.718174,412
4,0.396358,-4.651588,746
5,0.4173207,-4.465883,1169
6,0.4237596,-3.582595,1694
7,0.4253185,-2.565604,2275
8,0.4234546,-1.606669,3074
9,0.4310689,0.1298014,4057
10,0.4450675,1.853898,5143
11,0.449952,2.648079,6360
12,0.4422595,2.995304,7607
13,0.4338806,3.376999,8940
14,0.4274508,4.158853,10443
15,0.4198626,4.4026,12169
16,0.4101021,4.596377,14028
17,0.3983651,4.557792,15869
18,0.3913597,4.163728,17691
19,0.3848709,3.734144,19544
20,0.3811642,3.524151,21375
21,0.3815988,3.545358,23185
22,0.386456,3.643489,25128
23,0.3960025,3.695746,27132
24,0.4064161,3.627164,29220
25,0.4132598,3.511254,31419
26,0.4163711,3.615744,33668
27,0.4176105,3.407387,35961
28,0.4181913,3.175683,38200
29,0.4197424,3.08822,40584
30,0.4229297,2.90434,43064
31,0.4244422,2.563773,45794
32,0.4244399,2.368845,48553
33,0.4255988,2.333034,51467
34,0.4267391,2.270198,54535
35,0.4262426,2.117035,57809
36,0.4259783,1.963582,61304
37,0.4244312,1.919294,64836
38,0.424251,1.885612,68748
39,0.4253566,1.881453,72953
40,0.4262646,1.875606,77267
41,0.4248166,1.828018,81408
42,0.4221716,1.750513,85402
43,0.4217716,1.730833,89087
44,0.422921,1.698833,92839
45,0.4251839,1.612156,96739
46,0.428624,1.550059,100800
47,0.4323832,1.568148,104885
48,0.4344395,1.653008,108854
49,0.4341292,1.709211,112899
50,0.4328732,1.825882,116937
51,0.4313453,1.924062,120660
52,0.4314265,2.013883,124298
53,0.4319457,2.080558,128143
54,0.4319208,2.143196,131751
55,0.4322318,2.244014,134985
56,0.4322878,2.301716,137799
57,0.4313582,2.363404,140483
58,0.4300704,2.422211,143221
59,0.4295028,2.438985,145812
60,0.4291895,2.453115,148210
61,0.4282655,2.456629,150403
62,0.4281903,2.490211,152552
63,0.4284944,2.566138,154641
64,0.4287363,2.602992,156676
65,0.4286184,2.591966,158708
66,0.427964,2.580552,160524
67,0.4268246,2.592978,162359
68,0.4258466,2.623736,164261
69,0.4254184,2.623196,166038
70,0.4251671,2.598517,167630
71,0.4248244,2.606082,169020
72,0.4246641,2.61195,170401
73,0.425111,2.626672,171857
74,0.4262683,2.688016,173487
75,0.4282026,2.776481,175195
76,0.4302119,2.863971,176928
77,0.4317509,2.92731,178632
78,0.4318703,2.96766,179897
79,0.4317591,3.008717,180997
80,0.4310371,3.029634,182038
81,0.4302802,3.036792,182984
82,0.4302039,3.050755,183778
83,0.4302469,3.056676,184466
84,0.430036,3.080572,185184
85,0.4298848,3.097496,185906
86,0.429652,3.10363,186617
87,0.4293977,3.102653,187310
88,0.4290145,3.106559,187993
89,0.4291132,3.117428,188723
90,0.4292531,3.120127,189366
91,0.4295617,3.123924,189967
92,0.4297628,3.129212,190552
93,0.4293859,3.113477,191158
94,0.428888,3.088377,191747
95,0.4287013,3.063299,192225
96,0.4288222,3.040001,192561
97,0.4291159,3.023149,192702
98,0.4291871,3.01919,192729
