surface_dist,mean_patchiness,mean_phi,num_points
2,0.2950355,-5.679135,178
3,0.4362193,-8.122552,425
4,0.4824107,-8.495496,808
5,0.5056778,-9.15521,1278
6,0.5230458,-10.85625,1792
7,0.5292683,-10.71028,2369
8,0.5295117,-9.814893,3018
9,0.5269969,-8.230189,3772
10,0.528321,-6.52566,4643
11,0.5187892,-5.399771,5628
12,0.5052691,-4.878599,6743
13,0.5056813,-4.277187,7982
14,0.5125671,-3.198218,9383
15,0.5157577,-2.284112,11014
16,0.5141782,-1.512496,12852
17,0.5008014,-1.087544,14834
18,0.4897068,-0.9360107,16775
19,0.4838606,-0.9509893,18732
20,0.4832992,-0.7409366,20769
21,0.4860135,-0.8529583,22835
22,0.4935076,-0.9855508,24983
23,0.5024755,-1.123744,27290
24,0.5070733,-1.110813,29573
25,0.5144107,-1.22349,31863
26,0.5237784,-1.538923,34200
27,0.5307495,-1.818384,36567
28,0.5333872,-2.124875,39086
29,0.5277932,-2.154921,41674
30,0.5244736,-2.219164,44244
31,0.5239414,-2.198534,46695
32,0.5221123,-2.230424,49023
33,0.5213231,-2.229252,51393
34,0.5201292,-2.192839,54042
35,0.5194234,-2.17911,56959
36,0.5220605,-2.20549,60067
37,0.5234486,-2.286669,63417
38,0.523245,-2.31119,66896
39,0.5234371,-2.129941,70568
40,0.5225756,-1.817295,74165
41,0.5202006,-1.608438,77845
42,0.5155112,-1.468542,81787
43,0.5111569,-1.404259,85577
44,0.5089523,-1.356043,89105
45,0.5074444,-1.200358,92684
46,0.5077974,-1.021124,96271
47,0.5065157,-0.9071597,99788
48,0.5023923,-0.8140336,103115
49,0.4980147,-0.7351488,106457
50,0.4955493,-0.6244844,109890
51,0.4927888,-0.4743475,113542
52,0.4893627,-0.3625551,117132
53,0.4851936,-0.3060494,120341
54,0.4825841,-0.2179597,122961
55,0.4808101,-0.1568369,125453
56,0.4800881,-0.1577397,128002
57,0.480019,-0.168673,130702
58,0.4793197,-0.1898817,133383
59,0.4785427,-0.1748179,135691
60,0.4791232,-0.06142957,137574
61,0.4808754,0.08629191,139331
62,0.4821318,0.2435863,140644
63,0.4831226,0.3299516,141677
64,0.484022,0.3824995,142506
65,0.4844174,0.40658,143003
66,0.4843508,0.4097477,143240
67,0.4842927,0.4087886,143268
