patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
15.17925,22.52084,95.70535,-14.34326,35.447
15.17925,22.52084,95.70535,-14.34326,35.86786
15.17925,22.52084,95.70535,-14.34326,35.88309
15.17925,22.52084,95.70535,-14.34326,34.32752
15.17925,22.52084,95.70535,-14.34326,45.48952
15.17925,22.52084,95.70535,-14.34326,33.33345
15.17925,22.52084,95.70535,-14.34326,22.48713
15.17925,22.52084,95.70535,-14.34326,38.8601
15.17925,22.52084,95.70535,-14.34326,9.029892
15.17925,22.52084,95.70535,-14.34326,41.87647
15.17925,22.52084,95.70535,-14.34326,33.8135
15.17925,22.52084,95.70535,-14.34326,16.26848
15.17925,22.52084,95.70535,-14.34326,39.97205
15.17925,22.52084,95.70535,-14.34326,31.84038
15.17925,22.52084,95.70535,-14.34326,35.43795
15.17925,22.52084,95.70535,-14.34326,33.84429
15.17925,22.52084,95.70535,-14.34326,33.03144
15.17925,22.52084,95.70535,-14.34326,35.1648
15.17925,22.52084,95.70535,-14.34326,27.7043
15.17925,22.52084,95.70535,-14.34326,21.51701
15.17925,22.52084,95.70535,-14.34326,32.66269
15.17925,22.52084,95.70535,-14.34326,23.15957
15.17925,22.52084,95.70535,-14.34326,42.08025
15.17925,22.52084,95.70535,-14.34326,43.61254
15.17925,22.52084,95.70535,-14.34326,33.05062
15.17925,22.52084,95.70535,-14.34326,40.17914
15.17925,22.52084,95.70535,-14.34326,42.21638
15.17925,22.52084,95.70535,-14.34326,27.09538
15.17925,22.52084,95.70535,-14.34326,14.02562
15.17925,22.52084,95.70535,-14.34326,42.34457
15.17925,22.52084,95.70535,-14.34326,35.18855
15.17925,22.52084,95.70535,-14.34326,9.236979
15.17925,22.52084,95.70535,-14.34326,37.79205
15.17925,22.52084,95.70535,-14.34326,38.94311
15.17925,22.52084,95.70535,-14.34326,7.746867
15.17925,22.52084,95.70535,-14.34326,39.3725
15.17925,22.52084,95.70535,-14.34326,26.58412
15.17925,22.52084,95.70535,-14.34326,25.34751
15.17925,22.52084,95.70535,-14.34326,39.05492
15.17925,22.52084,95.70535,-14.34326,36.60344
15.17925,22.52084,95.70535,-14.34326,18.9719
15.17925,22.52084,95.70535,-14.34326,47.28786
15.17925,22.52084,95.70535,-14.34326,24.43314
15.17925,22.52084,95.70535,-14.34326,39.43399
15.17925,22.52084,95.70535,-14.34326,14.92492
15.17925,22.52084,95.70535,-14.34326,36.38965
15.17925,22.52084,95.70535,-14.34326,23.8833
15.17925,22.52084,95.70535,-14.34326,23.77841
15.17925,22.52084,95.70535,-14.34326,34.02195
15.17925,22.52084,95.70535,-14.34326,40.80559
15.17925,22.52084,95.70535,-14.34326,32.23027
15.17925,22.52084,95.70535,-14.34326,23.90942
15.17925,22.52084,95.70535,-14.34326,20.10356
15.17925,22.52084,95.70535,-14.34326,33.20213
15.17925,22.52084,95.70535,-14.34326,39.48159
15.17925,22.52084,95.70535,-14.34326,11.66811
15.17925,22.52084,95.70535,-14.34326,32.44054
15.17925,22.52084,95.70535,-14.34326,26.91872
15.17925,22.52084,95.70535,-14.34326,33.0938
15.17925,22.52084,95.70535,-14.34326,38.19668
15.17925,22.52084,95.70535,-14.34326,38.56239
15.17925,22.52084,95.70535,-14.34326,25.0525
15.17925,22.52084,95.70535,-14.34326,40.72055
15.17925,22.52084,95.70535,-14.34326,30.87823
15.17925,22.52084,95.70535,-14.34326,19.5108
15.17925,22.52084,95.70535,-14.34326,37.68117
15.17925,22.52084,95.70535,-14.34326,34.11358
15.17925,22.52084,95.70535,-14.34326,33.04793
15.17925,22.52084,95.70535,-14.34326,37.41609
15.17925,22.52084,95.70535,-14.34326,40.75182
15.17925,22.52084,95.70535,-14.34326,36.85458
15.17925,22.52084,95.70535,-14.34326,39.14872
15.17925,22.52084,95.70535,-14.34326,33.13777
15.17925,22.52084,95.70535,-14.34326,30.10654
15.17925,22.52084,95.70535,-14.34326,40.73774
15.17925,22.52084,95.70535,-14.34326,31.38543
15.17925,22.52084,95.70535,-14.34326,35.00754
15.17925,22.52084,95.70535,-14.34326,21.35572
15.17925,22.52084,95.70535,-14.34326,41.70072
15.17925,22.52084,95.70535,-14.34326,22.7494
15.17925,22.52084,95.70535,-14.34326,28.2652
15.17925,22.52084,95.70535,-14.34326,31.58411
15.17925,22.52084,95.70535,-14.34326,41.75367
15.17925,22.52084,95.70535,-14.34326,38.66999
15.17925,22.52084,95.70535,-14.34326,15.87085
15.17925,22.52084,95.70535,-14.34326,46.21551
15.17925,22.52084,95.70535,-14.34326,33.66296
15.17925,22.52084,95.70535,-14.34326,40.64125
15.17925,22.52084,95.70535,-14.34326,15.66121
15.17925,22.52084,95.70535,-14.34326,9.682076
15.17925,22.52084,95.70535,-14.34326,38.37476
15.17925,22.52084,95.70535,-14.34326,32.74623
15.17925,22.52084,95.70535,-14.34326,27.42934
15.17925,22.52084,95.70535,-14.34326,32.16767
15.17925,22.52084,95.70535,-14.34326,22.7972
15.17925,22.52084,95.70535,-14.34326,24.70856
15.17925,22.52084,95.70535,-14.34326,40.88952
15.17925,22.52084,95.70535,-14.34326,31.84815
15.17925,22.52084,95.70535,-14.34326,29.25802
15.17925,22.52084,95.70535,-14.34326,9.756966
15.17925,22.52084,95.70535,-14.34326,23.11007
15.17925,22.52084,95.70535,-14.34326,37.81195
15.17925,22.52084,95.70535,-14.34326,47.51357
15.17925,22.52084,95.70535,-14.34326,26.80558
15.17925,22.52084,95.70535,-14.34326,20.446
15.17925,22.52084,95.70535,-14.34326,37.13695
15.17925,22.52084,95.70535,-14.34326,14.72159
15.17925,22.52084,95.70535,-14.34326,26.12747
15.17925,22.52084,95.70535,-14.34326,38.30252
15.17925,22.52084,95.70535,-14.34326,29.39632
15.17925,22.52084,95.70535,-14.34326,35.80707
15.17925,22.52084,95.70535,-14.34326,32.53022
15.17925,22.52084,95.70535,-14.34326,35.75945
15.17925,22.52084,95.70535,-14.34326,47.41049
15.17925,22.52084,95.70535,-14.34326,33.3516
15.17925,22.52084,95.70535,-14.34326,22.76433
15.17925,22.52084,95.70535,-14.34326,33.48901
15.17925,22.52084,95.70535,-14.34326,30.30281
15.17925,22.52084,95.70535,-14.34326,40.44611
15.17925,22.52084,95.70535,-14.34326,34.27971
15.17925,22.52084,95.70535,-14.34326,38.91945
15.17925,22.52084,95.70535,-14.34326,32.84336
15.17925,22.52084,95.70535,-14.34326,32.16217
15.17925,22.52084,95.70535,-14.34326,32.09585
15.17925,22.52084,95.70535,-14.34326,30.49292
15.17925,22.52084,95.70535,-14.34326,20.33801
15.17925,22.52084,95.70535,-14.34326,33.98122
15.17925,22.52084,95.70535,-14.34326,42.3448
15.17925,22.52084,95.70535,-14.34326,34.57983
15.17925,22.52084,95.70535,-14.34326,35.38567
15.17925,22.52084,95.70535,-14.34326,18.298
15.17925,22.52084,95.70535,-14.34326,34.50836
15.17925,22.52084,95.70535,-14.34326,37.87865
15.17925,22.52084,95.70535,-14.34326,38.60389
15.17925,22.52084,95.70535,-14.34326,38.02913
15.17925,22.52084,95.70535,-14.34326,36.99327
15.17925,22.52084,95.70535,-14.34326,30.72453
15.17925,22.52084,95.70535,-14.34326,39.44863
15.17925,22.52084,95.70535,-14.34326,31.96473
15.17925,22.52084,95.70535,-14.34326,28.30591
15.17925,22.52084,95.70535,-14.34326,33.63234
15.17925,22.52084,95.70535,-14.34326,28.9895
15.17925,22.52084,95.70535,-14.34326,29.95568
15.17925,22.52084,95.70535,-14.34326,29.71935
15.17925,22.52084,95.70535,-14.34326,25.85452
15.17925,22.52084,95.70535,-14.34326,32.48906
15.17925,22.52084,95.70535,-14.34326,32.91816
15.17925,22.52084,95.70535,-14.34326,23.14604
15.17925,22.52084,95.70535,-14.34326,29.35566
15.17925,22.52084,95.70535,-14.34326,33.05421
15.17925,22.52084,95.70535,-14.34326,15.78025
15.17925,22.52084,95.70535,-14.34326,30.62367
15.17925,22.52084,95.70535,-14.34326,38.33424
15.17925,22.52084,95.70535,-14.34326,41.57576
15.17925,22.52084,95.70535,-14.34326,31.72713
15.17925,22.52084,95.70535,-14.34326,34.38324
15.17925,22.52084,95.70535,-14.34326,30.61441
15.17925,22.52084,95.70535,-14.34326,25.72494
15.17925,22.52084,95.70535,-14.34326,30.75273
15.17925,22.52084,95.70535,-14.34326,19.66959
15.17925,22.52084,95.70535,-14.34326,20.12635
15.17925,22.52084,95.70535,-14.34326,25.16587
15.17925,22.52084,95.70535,-14.34326,43.5088
15.17925,22.52084,95.70535,-14.34326,22.52901
15.17925,22.52084,95.70535,-14.34326,40.34026
15.17925,22.52084,95.70535,-14.34326,31.22894
15.17925,22.52084,95.70535,-14.34326,36.31457
15.17925,22.52084,95.70535,-14.34326,26.62964
15.17925,22.52084,95.70535,-14.34326,26.07626
15.17925,22.52084,95.70535,-14.34326,40.02785
15.17925,22.52084,95.70535,-14.34326,23.77956
15.17925,22.52084,95.70535,-14.34326,46.40443
15.17925,22.52084,95.70535,-14.34326,37.24405
15.17925,22.52084,95.70535,-14.34326,41.81296
15.17925,22.52084,95.70535,-14.34326,21.5909
15.17925,22.52084,95.70535,-14.34326,40.23578
15.17925,22.52084,95.70535,-14.34326,24.51221
15.17925,22.52084,95.70535,-14.34326,20.7073
15.17925,22.52084,95.70535,-14.34326,29.59292
15.17925,22.52084,95.70535,-14.34326,37.73555
15.17925,22.52084,95.70535,-14.34326,21.68983
15.17925,22.52084,95.70535,-14.34326,26.84503
15.17925,22.52084,95.70535,-14.34326,42.91466
15.17925,22.52084,95.70535,-14.34326,38.12968
15.17925,22.52084,95.70535,-14.34326,36.24072
15.17925,22.52084,95.70535,-14.34326,42.10891
15.17925,22.52084,95.70535,-14.34326,24.24108
15.17925,22.52084,95.70535,-14.34326,42.64913
15.17925,22.52084,95.70535,-14.34326,36.25194
15.17925,22.52084,95.70535,-14.34326,33.41724
15.17925,22.52084,95.70535,-14.34326,27.9577
15.17925,22.52084,95.70535,-14.34326,26.78609
15.17925,22.52084,95.70535,-14.34326,34.54745
15.17925,22.52084,95.70535,-14.34326,20.422
15.17925,22.52084,95.70535,-14.34326,35.21583
15.17925,22.52084,95.70535,-14.34326,42.6201
15.17925,22.52084,95.70535,-14.34326,47.64811
15.17925,22.52084,95.70535,-14.34326,35.29095
