radius,mean_patchiness,mean_phi,num_points
2,0.8106796,53.47861,17
3,0.8021239,47.92398,397
4,0.6282926,26.84664,857
5,0.5610263,20.48909,1335
6,0.4926457,15.38271,2117
7,0.467721,11.35806,3147
8,0.44076,8.071433,4573
9,0.4219899,5.941697,6305
10,0.4102983,4.693654,8084
11,0.4110591,3.8253,9987
12,0.3999128,3.048592,12268
13,0.3802289,2.887179,14084
14,0.3602651,2.812205,15895
15,0.3382943,2.540839,18225
16,0.3174782,2.601773,21220
17,0.3140999,2.584091,23787
18,0.318097,2.354296,26611
19,0.32113,2.102822,29679
20,0.3191737,1.805613,33028
21,0.3148918,1.864155,36463
22,0.3132443,1.78476,40475
23,0.3200959,2.047726,44674
24,0.3314489,2.44795,48951
25,0.3467284,2.854403,53718
26,0.3580598,3.290051,59199
27,0.3654498,3.460974,64103
28,0.3701321,3.553459,69556
29,0.3763483,3.318077,75152
30,0.3823729,3.043143,80187
31,0.3866227,2.87184,84796
32,0.3909256,2.977002,89137
33,0.3923995,2.872139,92734
34,0.3934243,2.782025,96133
35,0.3925133,2.748721,100153
36,0.393829,2.818377,102245
37,0.3951393,2.851147,103366
38,0.3955443,2.917745,104339
39,0.3954824,2.941323,104832
40,0.3950019,2.92863,105029
41,0.3949679,2.908817,105179
42,0.3950172,2.90409,105198
