patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
84.9754,22.06415,28.09715,-13.13111,43.59941
84.9754,22.06415,28.09715,-13.13111,37.9026
84.9754,22.06415,28.09715,-13.13111,0.9707276
84.9754,22.06415,28.09715,-13.13111,11.51863
84.9754,22.06415,28.09715,-13.13111,43.14808
84.9754,22.06415,28.09715,-13.13111,51.84145
84.9754,22.06415,28.09715,-13.13111,21.51875
84.9754,22.06415,28.09715,-13.13111,16.58227
84.9754,22.06415,28.09715,-13.13111,48.84851
84.9754,22.06415,28.09715,-13.13111,39.83728
84.9754,22.06415,28.09715,-13.13111,51.44579
84.9754,22.06415,28.09715,-13.13111,15.87495
84.9754,22.06415,28.09715,-13.13111,23.31047
84.9754,22.06415,28.09715,-13.13111,37.41121
84.9754,22.06415,28.09715,-13.13111,31.44797
84.9754,22.06415,28.09715,-13.13111,49.66954
84.9754,22.06415,28.09715,-13.13111,9.988463
84.9754,22.06415,28.09715,-13.13111,41.36423
84.9754,22.06415,28.09715,-13.13111,43.6306
84.9754,22.06415,28.09715,-13.13111,7.563631
84.9754,22.06415,28.09715,-13.13111,4.629768
84.9754,22.06415,28.09715,-13.13111,41.9062
84.9754,22.06415,28.09715,-13.13111,49.47657
84.9754,22.06415,28.09715,-13.13111,9.369731
84.9754,22.06415,28.09715,-13.13111,41.74804
84.9754,22.06415,28.09715,-13.13111,49.7863
84.9754,22.06415,28.09715,-13.13111,37.1499
84.9754,22.06415,28.09715,-13.13111,44.3768
84.9754,22.06415,28.09715,-13.13111,10.1041
84.9754,22.06415,28.09715,-13.13111,13.65089
84.9754,22.06415,28.09715,-13.13111,39.68842
84.9754,22.06415,28.09715,-13.13111,46.76661
84.9754,22.06415,28.09715,-13.13111,36.87347
84.9754,22.06415,28.09715,-13.13111,17.93258
84.9754,22.06415,28.09715,-13.13111,20.17421
84.9754,22.06415,28.09715,-13.13111,10.05617
84.9754,22.06415,28.09715,-13.13111,39.53388
84.9754,22.06415,28.09715,-13.13111,22.47767
84.9754,22.06415,28.09715,-13.13111,7.016421
84.9754,22.06415,28.09715,-13.13111,27.65236
84.9754,22.06415,28.09715,-13.13111,43.57265
84.9754,22.06415,28.09715,-13.13111,29.83332
84.9754,22.06415,28.09715,-13.13111,33.01577
84.9754,22.06415,28.09715,-13.13111,27.95633
84.9754,22.06415,28.09715,-13.13111,3.623838
84.9754,22.06415,28.09715,-13.13111,50.61304
84.9754,22.06415,28.09715,-13.13111,34.1543
84.9754,22.06415,28.09715,-13.13111,31.40642
84.9754,22.06415,28.09715,-13.13111,10.78841
84.9754,22.06415,28.09715,-13.13111,7.246534
84.9754,22.06415,28.09715,-13.13111,39.77719
84.9754,22.06415,28.09715,-13.13111,46.07717
84.9754,22.06415,28.09715,-13.13111,36.18658
84.9754,22.06415,28.09715,-13.13111,52.1966
84.9754,22.06415,28.09715,-13.13111,52.0645
84.9754,22.06415,28.09715,-13.13111,46.88854
84.9754,22.06415,28.09715,-13.13111,39.89548
84.9754,22.06415,28.09715,-13.13111,2.055545
84.9754,22.06415,28.09715,-13.13111,22.90926
84.9754,22.06415,28.09715,-13.13111,12.58361
84.9754,22.06415,28.09715,-13.13111,46.87849
84.9754,22.06415,28.09715,-13.13111,39.16959
84.9754,22.06415,28.09715,-13.13111,40.18211
84.9754,22.06415,28.09715,-13.13111,43.21647
84.9754,22.06415,28.09715,-13.13111,27.22548
84.9754,22.06415,28.09715,-13.13111,38.84576
84.9754,22.06415,28.09715,-13.13111,22.68848
84.9754,22.06415,28.09715,-13.13111,42.58569
84.9754,22.06415,28.09715,-13.13111,39.39828
84.9754,22.06415,28.09715,-13.13111,9.228157
84.9754,22.06415,28.09715,-13.13111,12.8199
84.9754,22.06415,28.09715,-13.13111,40.47682
84.9754,22.06415,28.09715,-13.13111,46.01632
84.9754,22.06415,28.09715,-13.13111,37.33088
84.9754,22.06415,28.09715,-13.13111,4.475256
84.9754,22.06415,28.09715,-13.13111,41.39501
84.9754,22.06415,28.09715,-13.13111,44.21551
84.9754,22.06415,28.09715,-13.13111,20.2616
84.9754,22.06415,28.09715,-13.13111,21.1562
84.9754,22.06415,28.09715,-13.13111,8.164217
84.9754,22.06415,28.09715,-13.13111,43.38833
84.9754,22.06415,28.09715,-13.13111,24.97828
84.9754,22.06415,28.09715,-13.13111,39.936
84.9754,22.06415,28.09715,-13.13111,12.34727
84.9754,22.06415,28.09715,-13.13111,12.45375
84.9754,22.06415,28.09715,-13.13111,46.81529
84.9754,22.06415,28.09715,-13.13111,44.66668
84.9754,22.06415,28.09715,-13.13111,34.65444
84.9754,22.06415,28.09715,-13.13111,41.43469
84.9754,22.06415,28.09715,-13.13111,20.10002
84.9754,22.06415,28.09715,-13.13111,9.928166
