radius,mean_patchiness,mean_phi,num_points
2,0.08661985,2.272919,64
3,0.1048525,1.416635,257
4,0.1494785,-0.1878514,521
5,0.1744836,-0.9864171,1046
6,0.207568,-0.2077864,1882
7,0.2305821,0.3729051,3123
8,0.2756579,0.935772,4707
9,0.3262973,1.950132,6438
10,0.3406254,1.365107,7895
11,0.3583685,0.8736167,9793
12,0.3634605,0.7527354,11632
13,0.3493274,0.8436885,14146
14,0.3556102,1.441643,17463
15,0.3654441,1.841203,21060
16,0.3810869,1.81527,24152
17,0.3854374,1.613461,26832
18,0.388209,1.708408,29312
19,0.3845371,1.623003,31432
20,0.3850974,1.401388,34203
21,0.3831196,1.244818,37285
22,0.3837212,1.434968,40389
23,0.3861678,1.540178,43219
24,0.3891158,1.549642,46126
25,0.3892603,1.551102,49190
26,0.3906439,1.731773,52734
27,0.393602,1.949516,55572
28,0.3935429,2.033631,57643
29,0.3938982,2.03182,59616
30,0.3928922,2.004627,61494
31,0.3918078,1.995817,63346
32,0.3915736,1.993819,65336
33,0.3925372,1.990662,66976
34,0.3939186,2.029217,69162
35,0.3955254,1.99881,71467
36,0.3954777,2.002335,74087
37,0.3972889,1.955289,76767
38,0.4015715,2.079272,79724
39,0.4053898,2.165111,82299
40,0.4061512,2.217295,84618
41,0.4062333,2.294164,86961
42,0.4044794,2.378649,89077
43,0.4013819,2.448087,91160
44,0.3985385,2.471581,93299
45,0.3973383,2.452282,95337
46,0.3966142,2.363145,97676
47,0.3958903,2.270468,99924
48,0.3958412,2.175861,102046
49,0.3947296,2.156226,104707
50,0.3950394,2.176236,107238
51,0.395328,2.190448,109577
52,0.3952868,2.222886,111821
53,0.3959377,2.253958,114429
54,0.3964638,2.272939,117405
55,0.3973659,2.22987,120958
56,0.3984476,2.238082,123494
57,0.3996394,2.257542,125313
58,0.4013537,2.234853,126524
59,0.4015967,2.202887,127835
60,0.4017977,2.169878,128917
61,0.4016639,2.154439,129645
62,0.4012885,2.165602,129807
63,0.4010184,2.184388,129927
64,0.4010043,2.184977,129938
