surface_dist,mean_patchiness,mean_phi,num_points
2,0.1273611,14.643,186
3,0.1555454,3.707554,406
4,0.2304172,0.2067287,694
5,0.2689454,0.07144795,1083
6,0.2939538,1.069354,1608
7,0.2966276,0.4372135,2243
8,0.2810829,-0.6609643,2996
9,0.268997,-0.8187259,3873
10,0.2619603,-0.3365061,4922
11,0.2667358,0.5095941,6146
12,0.277822,0.8259557,7449
13,0.288763,1.032318,8914
14,0.2996778,0.8344928,10539
15,0.306712,0.5175482,12312
16,0.3055224,0.2035923,14141
17,0.3038919,0.08811285,16093
18,0.3042562,0.1998925,18202
19,0.3058328,0.5764726,20575
20,0.3087014,0.8745703,23254
21,0.3181632,1.061466,26279
22,0.333406,1.281334,29528
23,0.3478923,1.408276,32797
24,0.3582275,1.747747,36050
25,0.3634669,2.091405,39033
26,0.3673108,2.250973,41754
27,0.3725159,2.424587,44485
28,0.3813913,2.61418,47320
29,0.3921859,2.857542,50292
30,0.3995126,3.064569,53521
31,0.402586,3.269836,56914
32,0.4067403,3.471895,60355
33,0.4113125,3.571255,63786
34,0.4165673,3.500103,67343
35,0.4214878,3.493102,71017
36,0.4260747,3.510602,74717
37,0.4294259,3.609611,78335
38,0.4307713,3.844703,81997
39,0.4327303,4.174849,85768
40,0.4337273,4.453755,89579
41,0.4341628,4.647211,93435
42,0.4351334,4.716625,97205
43,0.4360096,4.606573,100708
44,0.4360737,4.497517,104004
45,0.4353736,4.362129,107260
46,0.435267,4.230518,110421
47,0.4351729,4.139211,113337
48,0.4350038,4.057654,116255
49,0.4344498,3.987352,119226
50,0.4344571,3.916361,121890
51,0.4345894,3.877046,124459
52,0.4344917,3.905334,126893
53,0.4340544,3.977132,129152
54,0.4338509,4.016321,131167
55,0.433908,3.973974,133177
56,0.4342886,3.926606,135156
57,0.4348791,3.907088,137156
58,0.4360632,3.886706,139132
59,0.4379973,3.850938,141243
60,0.4390753,3.856459,143280
61,0.4390624,3.841537,145154
62,0.4389796,3.809455,146881
63,0.4394399,3.798368,148299
64,0.43989,3.793863,149589
65,0.4403754,3.762671,150860
66,0.4413466,3.71612,152124
67,0.4419708,3.667389,153311
68,0.4414885,3.633731,154286
69,0.4410276,3.634889,154828
70,0.440796,3.637344,155002
71,0.440779,3.637436,155010
