radius,mean_patchiness,mean_phi,num_points
4,0.6517884,3.962286,218
5,0.6101703,4.894466,796
6,0.5825503,7.313641,1759
7,0.4795178,7.10838,3250
8,0.4164598,5.018626,4765
9,0.4133627,4.647532,6630
10,0.425457,4.419977,9010
11,0.4236816,4.075249,11529
12,0.4180858,3.677319,14084
13,0.4202634,3.814154,16684
14,0.4253699,3.805568,19205
15,0.432586,3.733763,21879
16,0.4420091,3.688765,24281
17,0.455233,3.037563,27019
18,0.4608134,2.401353,29604
19,0.4589871,2.377317,32045
20,0.4593989,2.804528,34998
21,0.4605222,3.170204,38497
22,0.4631505,3.736724,42530
23,0.4613391,4.114642,47056
24,0.4622288,4.261244,51010
25,0.4674721,4.14776,55048
26,0.4715597,3.982649,60058
27,0.4726743,3.782967,66335
28,0.4753301,3.920937,71739
29,0.482315,4.246333,76832
30,0.4866316,4.414788,81585
31,0.486522,4.554806,85650
32,0.4855669,4.656847,89291
33,0.4825674,4.795722,92653
34,0.4782541,4.880754,96122
35,0.4756999,4.908808,99263
36,0.4725765,4.904279,102023
37,0.4690047,4.888419,104767
38,0.4646124,4.892932,107826
39,0.4628675,4.838173,110570
40,0.4610938,4.670026,113117
41,0.4584778,4.559691,115639
42,0.4568503,4.453125,118459
43,0.4561319,4.323358,121323
44,0.4552923,4.281762,123701
45,0.4542094,4.272275,125929
46,0.4531006,4.238842,127958
47,0.4518963,4.206091,129932
48,0.4510242,4.20469,132151
49,0.4493642,4.119021,135312
50,0.4480059,4.006271,138212
51,0.4459795,3.94686,141385
52,0.4456153,3.953505,144007
53,0.4452171,3.974095,146221
54,0.4443039,3.930615,148205
55,0.4428489,3.84562,150382
56,0.4416478,3.776741,152113
57,0.4402092,3.744527,153118
58,0.4397851,3.718521,153834
59,0.43998,3.694379,154248
60,0.44038,3.661666,154620
61,0.4408456,3.636412,154968
62,0.440779,3.637436,155010
