radius,mean_patchiness,mean_phi,num_points
3,0.988841,19.13031,254
4,0.9506965,16.18391,580
5,0.8939348,18.11237,1006
6,0.8059674,15.78549,1504
7,0.6905757,12.759,2184
8,0.5789401,10.18185,3226
9,0.5122893,8.507951,4305
10,0.4560476,7.442793,5540
11,0.439647,6.679546,6559
12,0.4377723,6.294012,7464
13,0.4487771,6.321078,8462
14,0.4602407,6.928453,9444
15,0.4623941,7.416602,10528
16,0.4499125,7.124004,11867
17,0.4401129,6.142617,13690
18,0.4340545,5.417595,16159
19,0.4329045,5.528067,18844
20,0.4282053,5.216474,21871
21,0.4283196,5.064556,24816
22,0.4217016,4.946285,27724
23,0.4082968,4.715863,30956
24,0.399715,4.387508,34459
25,0.3939,4.059275,38081
26,0.3895508,3.639017,41888
27,0.3837567,3.296649,46195
28,0.3803869,2.902952,51624
29,0.3802067,2.737384,56859
30,0.3787734,2.624305,62363
31,0.3753028,2.657588,68217
32,0.3757147,2.667399,73504
33,0.3773287,2.490936,78226
34,0.3850564,2.336222,82221
35,0.3918691,2.247038,86204
36,0.3961107,2.161969,89864
37,0.3991125,2.049875,93690
38,0.4017674,1.938191,98163
39,0.4024658,1.845516,103630
40,0.4025519,1.669387,108477
41,0.4046191,1.500059,112059
42,0.4065515,1.351441,115142
43,0.4068424,1.205333,117782
44,0.4061194,1.099633,120077
45,0.4058913,1.025115,122239
46,0.4059106,1.008276,124633
47,0.4043173,1.02671,127502
48,0.4037862,1.103086,130299
49,0.4041733,1.19443,132792
50,0.4057117,1.188073,134815
51,0.4064476,1.151736,136473
52,0.4079026,1.058351,137633
53,0.4092392,0.9725618,138150
54,0.4096047,0.9498063,138329
