surface_dist,mean_patchiness,mean_phi,num_points
2,0.3951125,6.723563,117
3,0.3627686,6.227586,281
4,0.3664175,7.181596,524
5,0.3557874,7.760185,839
6,0.3673051,7.353016,1266
7,0.3928102,7.585201,1864
8,0.4047075,7.696186,2598
9,0.4029117,7.293825,3450
10,0.3903697,6.126977,4336
11,0.3834921,5.020084,5149
12,0.377554,4.423762,5947
13,0.374682,4.097281,6730
14,0.3695938,4.002311,7511
15,0.3704725,3.594358,8372
16,0.3738554,3.322248,9300
17,0.3761739,3.374058,10324
18,0.3767733,3.079385,11481
19,0.3784164,2.858953,12653
20,0.3826296,3.057612,13958
21,0.3879259,3.132646,15389
22,0.3932951,2.995459,16924
23,0.397328,2.871208,18596
24,0.4032294,2.882644,20275
25,0.4091524,2.708706,21947
26,0.413937,2.486856,23609
27,0.4167649,2.342882,25342
28,0.4184144,2.366438,27228
29,0.4201413,2.15136,29274
30,0.4207546,1.858066,31447
31,0.4184774,1.814453,33585
32,0.4174668,1.930129,35883
33,0.4150749,2.064861,38262
34,0.4111306,2.014284,40783
35,0.4050288,1.878866,43453
36,0.3989487,1.747455,46361
37,0.3948888,1.553842,49437
38,0.3922029,1.392801,52625
39,0.3913278,1.354423,55895
40,0.3916059,1.434186,59141
41,0.3946312,1.606737,62407
42,0.3992234,1.722561,65750
43,0.4005513,1.78653,69316
44,0.399726,1.760986,72821
45,0.3989759,1.779507,76459
46,0.3972604,1.774585,80157
47,0.3968299,1.69344,83624
48,0.3985807,1.663564,87191
49,0.4013945,1.721385,90707
50,0.4039061,1.820394,94394
51,0.4057386,1.866297,98069
52,0.4076033,1.792013,101674
53,0.40926,1.705359,104983
54,0.4100164,1.611892,108072
55,0.4102872,1.524871,110837
56,0.4093866,1.475806,113265
57,0.4079059,1.427593,115318
58,0.4067613,1.378523,117162
59,0.405867,1.305456,118923
60,0.4055744,1.200835,120604
61,0.4054213,1.10075,122067
62,0.4053965,1.010854,123436
63,0.4053259,0.9554794,124724
64,0.4044599,0.9439492,125954
65,0.4037043,0.9203328,127078
66,0.4035492,0.9119208,128258
67,0.4036565,0.8738596,129505
68,0.4041542,0.859053,130744
69,0.4055821,0.8433352,131844
70,0.4070014,0.8501666,132875
71,0.4081496,0.8537825,133880
72,0.4094111,0.8587122,134867
73,0.4100299,0.8682591,135708
74,0.4098637,0.8697482,136436
75,0.4091666,0.8793354,137045
76,0.4087649,0.8838166,137579
77,0.4093017,0.9140382,138020
78,0.4096021,0.9511396,138294
79,0.4096047,0.9498063,138329
