radius,mean_patchiness,mean_phi,num_points
2,0.950313,-9.194796,51
3,0.8292698,-20.75268,334
4,0.7193507,-19.57303,690
5,0.6130179,-14.9232,965
6,0.5313941,-12.27243,1338
7,0.5161586,-11.3744,1594
8,0.4952154,-10.44813,1883
9,0.4819577,-9.841013,2248
10,0.4415423,-9.077002,2556
11,0.4105193,-8.349925,2793
12,0.3875827,-7.837223,3032
13,0.370988,-7.344019,3310
14,0.3578504,-7.139316,3612
15,0.3502437,-6.893628,3953
16,0.343539,-6.235805,4415
17,0.3351848,-5.027366,4813
18,0.330202,-4.153907,5258
19,0.3292217,-3.439242,5747
20,0.31608,-3.120857,6079
21,0.3097796,-2.906041,6353
22,0.3105903,-2.902107,6700
23,0.3162835,-3.107164,7058
24,0.321005,-2.990753,7422
25,0.3250775,-2.433027,7848
26,0.3271255,-2.1544,8353
27,0.3286396,-1.623198,8799
28,0.3270299,-1.325974,9206
29,0.3228756,-1.25338,9493
30,0.3219458,-1.249662,9760
31,0.3211128,-1.344423,10052
32,0.3176123,-1.334869,10304
33,0.3150686,-1.174878,10653
34,0.3135879,-0.810996,11000
35,0.3126067,-0.4596808,11341
36,0.3096119,-0.4147707,11667
37,0.3067001,-0.4341627,11971
38,0.30668,-0.5287165,12257
39,0.3068576,-0.5691013,12570
40,0.3061875,-0.639907,12913
41,0.3056094,-0.6786279,13289
42,0.3071624,-0.7780003,13589
43,0.3085675,-0.8493865,13841
44,0.3094845,-0.9442928,14110
45,0.3128487,-1.101096,14392
46,0.3151525,-1.212317,14702
47,0.3127125,-1.235147,15027
48,0.3084631,-1.214883,15331
49,0.3045096,-1.240458,15631
50,0.3006192,-1.238947,15943
51,0.2966882,-1.23681,16256
52,0.2947195,-1.269453,16578
53,0.2950464,-1.33752,16855
54,0.2966739,-1.397052,17114
55,0.2985265,-1.47233,17400
56,0.2973814,-1.514058,17710
57,0.2942609,-1.434466,18027
58,0.2917421,-1.39641,18354
59,0.2906702,-1.366891,18735
60,0.292407,-1.423558,19172
61,0.2929884,-1.486967,19621
62,0.2940708,-1.581022,20082
63,0.2941532,-1.625744,20497
64,0.2931748,-1.634995,20792
65,0.2932325,-1.522166,21227
66,0.2940097,-1.273929,21693
67,0.2944433,-1.156324,22208
68,0.2968813,-1.193223,23037
69,0.29917,-1.188322,24038
70,0.3005732,-1.186331,25057
71,0.3029863,-1.217692,26352
72,0.3036999,-1.143599,27703
73,0.3068223,-0.9677578,28972
74,0.3090732,-0.6533486,30306
75,0.3133552,-0.3605285,31677
76,0.3180488,-0.1407383,33116
77,0.3199621,-0.1452615,34709
78,0.3174468,-0.1028678,36231
79,0.3153967,-0.1247694,37648
80,0.3126975,-0.07906871,39097
81,0.315277,0.06591757,40713
82,0.3188891,0.1221158,42318
83,0.3195802,0.1902408,43869
84,0.3189256,0.2395845,45387
85,0.319896,0.2435116,47078
86,0.322921,0.1915655,48713
87,0.3277704,0.1642753,50228
88,0.3321289,0.1455632,51951
89,0.3340305,0.05863434,53505
90,0.3343281,0.07016705,55126
91,0.3333368,0.1612161,56797
92,0.3346489,0.2905957,58617
93,0.3369243,0.4178525,60273
94,0.3388685,0.4954857,61931
95,0.3403339,0.5274121,63670
96,0.341511,0.5746706,65264
97,0.3424885,0.5988111,66789
98,0.3447545,0.7086788,68490
99,0.3458245,0.7296966,70225
100,0.3454828,0.6732921,71818
101,0.3463008,0.6695617,73792
102,0.3465375,0.6567509,75077
103,0.3474903,0.7186186,75896
104,0.3479274,0.7686594,76596
105,0.3494454,0.8457277,77359
106,0.3503306,0.8554254,77839
107,0.3499962,0.8334082,78174
108,0.3506549,0.8090575,78305
109,0.3509538,0.7991458,78343
